'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for February 2017,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 March 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/02/2017,8.4,0.0, ,32.0,22.5,81,37,6.86,29.64
REDCLIFFE,02/02/2017,8.0,0.0, ,32.2,24.9,78,49,7.10,29.23
REDCLIFFE,03/02/2017,7.7,0.0, ,31.2,25.1,77,47,6.27,28.59
REDCLIFFE,04/02/2017,7.2,0.0, ,32.0,23.3,79,50,5.35,27.87
REDCLIFFE,05/02/2017,6.9,0.0, ,31.9,24.3,81,50,4.97,26.51
REDCLIFFE,06/02/2017,7.4,0.0, ,31.6,24.0,78,49,5.51,28.92
REDCLIFFE,07/02/2017,7.4,0.0, ,31.3,25.9,73,49,5.40,27.38
REDCLIFFE,08/02/2017,8.4,0.0, ,31.0,26.2,71,51,10.40,26.31
REDCLIFFE,09/02/2017,6.8,0.4, ,30.6,23.5,86,54,7.78,25.80
REDCLIFFE,10/02/2017,6.5,6.2, ,30.5,23.0,90,53,4.90,27.91
REDCLIFFE,11/02/2017,7.3,0.0, ,32.9,22.7,82,50,5.44,28.46
REDCLIFFE,12/02/2017,8.7,0.0, ,35.0,23.5,81,40,6.79,28.36
REDCLIFFE,13/02/2017,7.0,0.0, ,32.6,27.3,85,54,7.86,22.85
REDCLIFFE,14/02/2017,6.5,17.4, ,29.4,22.8,82,50,9.19,19.29
REDCLIFFE,15/02/2017,6.9,0.0, ,29.2,23.7,69,48,6.51,23.19
REDCLIFFE,16/02/2017,6.4,0.0, ,30.0,24.2,65,48,4.82,21.66
REDCLIFFE,17/02/2017,7.0,0.0, ,30.0,24.1,71,47,5.40,26.25
REDCLIFFE,18/02/2017,8.0,0.0, ,31.4,22.4,77,40,7.39,26.50
REDCLIFFE,19/02/2017,5.2,0.0, ,32.3,23.3,89,46,3.97,16.87
REDCLIFFE,20/02/2017,6.1,12.4, ,29.8,21.7,86,42,4.41,24.09
REDCLIFFE,21/02/2017,6.6,0.2, ,30.2,22.3,86,51,6.49,25.95
REDCLIFFE,22/02/2017,6.9,0.2, ,29.3,23.0,70,46,8.42,18.03
REDCLIFFE,23/02/2017,7.5,0.0, ,29.2,21.8,67,44,7.21,25.48
REDCLIFFE,24/02/2017,6.6,0.0, ,29.1,20.8,78,49,6.01,26.74
REDCLIFFE,25/02/2017,7.7,0.0, ,29.5,21.2,74,41,7.85,26.61
REDCLIFFE,26/02/2017,6.9,0.0, ,29.3,21.5,84,44,9.07,21.71
REDCLIFFE,27/02/2017,5.3,0.8, ,26.4,21.3,87,57,8.23,20.86
REDCLIFFE,28/02/2017,5.9,16.2, ,27.9,19.5,78,57,6.23,24.90
Totals:,,197.2,53.8, ,,,,,, 
