'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for April 2017,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/04/2017,6.4,0.0, ,28.6,20.0,65,39,6.42,18.27
REDCLIFFE,02/04/2017,5.8,0.0, ,26.7,20.6,66,47,7.19,16.37
REDCLIFFE,03/04/2017,5.4,0.0, ,25.7,18.7,69,47,8.35,12.10
REDCLIFFE,04/04/2017,5.0,0.0, ,25.1,17.3,72,49,8.06,11.62
REDCLIFFE,05/04/2017,4.8,0.0, ,23.9,17.3,82,47,7.57,16.00
REDCLIFFE,06/04/2017,4.1,1.6, ,23.2,16.9,88,48,7.42,11.29
REDCLIFFE,07/04/2017,5.0,0.0, ,24.5,17.0,80,53,7.69,20.41
REDCLIFFE,08/04/2017,4.9,0.0, ,25.8,17.5,77,55,7.45,17.55
REDCLIFFE,09/04/2017,4.1,0.0, ,25.8,17.9,87,57,4.09,19.81
REDCLIFFE,10/04/2017,5.3,0.0, ,29.6,17.1,91,22,3.56,19.94
REDCLIFFE,11/04/2017,4.9,0.0, ,24.8,12.4,73,28,4.06,19.95
REDCLIFFE,12/04/2017,4.9,0.0, ,26.1,16.3,81,47,5.86,19.69
REDCLIFFE,13/04/2017,4.2,0.0, ,24.8,18.0,80,55,4.81,18.38
REDCLIFFE,14/04/2017,3.7,0.0, ,24.6,17.5,88,51,3.94,15.68
REDCLIFFE,15/04/2017,4.2,0.0, ,25.3,17.5,82,51,4.40,18.90
REDCLIFFE,16/04/2017,3.9,0.0, ,25.1,16.5,85,48,3.37,18.88
REDCLIFFE,17/04/2017,4.2,0.0, ,25.1,16.3,87,47,4.32,19.03
REDCLIFFE,18/04/2017,4.3,0.0, ,25.8,16.2,84,54,5.76,18.03
REDCLIFFE,19/04/2017,4.4,0.0, ,25.1,17.5,81,56,7.25,15.85
REDCLIFFE,20/04/2017,5.1,0.0, ,25.5,16.8,81,46,7.83,16.91
REDCLIFFE,21/04/2017,4.5,0.0, ,24.6,17.5,78,52,6.96,15.60
REDCLIFFE,22/04/2017,3.8,5.4, ,24.1,17.9,92,49,6.40,12.11
REDCLIFFE,23/04/2017,3.8,0.0, ,24.7,16.1,84,59,5.07,18.05
REDCLIFFE,24/04/2017,3.5,0.0, ,24.5,17.6,86,58,4.25,16.09
REDCLIFFE,25/04/2017,3.8,0.0, ,25.9,16.2,88,49,3.65,17.67
REDCLIFFE,26/04/2017,2.5,0.0, ,24.5,18.2,86,58,3.23,7.37
REDCLIFFE,27/04/2017,4.5,0.2, ,22.1,13.6,65,29,4.50,17.68
REDCLIFFE,28/04/2017,4.3,0.0, ,24.6,12.1,68,40,4.61,15.83
REDCLIFFE,29/04/2017,4.4,0.0, ,25.1,15.9,83,38,4.64,17.41
REDCLIFFE,30/04/2017,3.8,0.0, ,24.5,14.7,86,53,4.98,17.28
Totals:,,133.5,7.2, ,,,,,, 
