'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for May 2017,,,,,,,,,,
Issued at 06:30 GMT on Thursday 01 June 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/05/2017,3.5,0.0, ,24.5,15.9,87,54,3.86,16.85
REDCLIFFE,02/05/2017,3.4,0.0, ,26.3,16.0,89,49,3.11,16.19
REDCLIFFE,03/05/2017,4.6,0.0, ,26.8,18.5,85,49,6.25,16.77
REDCLIFFE,04/05/2017,4.2,0.0, ,24.1,17.9,78,58,8.71,13.07
REDCLIFFE,05/05/2017,4.3,0.0, ,23.5,16.1,76,52,7.14,16.21
REDCLIFFE,06/05/2017,3.9,0.0, ,23.5,15.5,80,54,6.20,16.57
REDCLIFFE,07/05/2017,3.7,0.0, ,23.9,17.9,84,52,5.11,15.50
REDCLIFFE,08/05/2017,2.3,0.0, ,21.3,15.6,91,70,6.57,7.66
REDCLIFFE,09/05/2017,3.8,15.6, ,23.0,16.7,92,52,7.94,15.06
REDCLIFFE,10/05/2017,1.7,4.0, ,19.7,15.9,89,72,4.96,3.39
REDCLIFFE,11/05/2017,3.5,4.0, ,23.3,13.8,80,52,4.75,15.02
REDCLIFFE,12/05/2017,3.5,0.0, ,23.2,15.1,79,54,5.39,13.04
REDCLIFFE,13/05/2017,2.6,0.0, ,22.0,17.1,88,63,5.60,8.47
REDCLIFFE,14/05/2017,1.9,4.4, ,20.7,17.3,91,75,3.33,9.52
REDCLIFFE,15/05/2017,3.3,0.4, ,25.9,14.5,93,32,2.69,15.65
REDCLIFFE,16/05/2017,2.9,0.0, ,23.5,12.4,84,42,2.46,15.55
REDCLIFFE,17/05/2017,3.0,0.0, ,23.6,14.1,83,56,3.79,15.07
REDCLIFFE,18/05/2017,2.7,0.0, ,22.4,17.8,90,56,4.55,8.88
REDCLIFFE,19/05/2017,1.3,43.4, ,20.4,17.7,94,86,4.03,5.33
REDCLIFFE,20/05/2017,2.5,0.8, ,23.2,17.4,91,67,3.17,13.62
REDCLIFFE,21/05/2017,2.7,0.0, ,24.3,16.1,93,62,3.25,15.06
REDCLIFFE,22/05/2017,2.6,0.2, ,23.7,16.8,92,68,3.78,14.93
REDCLIFFE,23/05/2017,2.7,0.0, ,23.7,16.5,92,60,3.33,14.90
REDCLIFFE,24/05/2017,2.5,0.2, ,24.5,15.6,93,66,3.04,14.89
REDCLIFFE,25/05/2017,3.1,0.0, ,23.2,14.6,90,55,4.94,14.82
REDCLIFFE,26/05/2017,2.9,0.0, ,23.7,14.4,88,54,3.54,14.44
REDCLIFFE,27/05/2017,2.6,0.0, ,22.8,14.2,90,62,3.51,14.69
REDCLIFFE,28/05/2017,2.6,0.0, ,23.4,14.4,92,63,3.86,14.63
REDCLIFFE,29/05/2017,2.5,0.0, ,23.5,15.7,90,54,2.35,14.56
REDCLIFFE,30/05/2017,2.7,0.0, ,23.2,13.2,86,49,2.90,14.46
REDCLIFFE,31/05/2017,3.6,0.0, ,22.3,11.8,60,24,3.26,14.27
Totals:,,93.1,73, ,,,,,, 
