'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for June 2017,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 July 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/06/2017,3.7,0.0, ,21.0,11.4,70,41,5.45,14.12
REDCLIFFE,02/06/2017,3.7,0.0, ,21.9,11.3,75,39,5.24,14.35
REDCLIFFE,03/06/2017,3.4,0.0, ,22.4,11.3,78,46,4.77,14.27
REDCLIFFE,04/06/2017,3.4,0.0, ,22.3,12.1,80,46,5.18,14.16
REDCLIFFE,05/06/2017,2.9,0.0, ,22.2,11.8,86,43,3.63,14.21
REDCLIFFE,06/06/2017,3.2,0.0, ,22.9,11.2,89,22,3.11,14.16
REDCLIFFE,07/06/2017,3.1,0.0, ,19.9,10.4,60,26,3.06,14.14
REDCLIFFE,08/06/2017,2.5,0.0, ,20.4,9.4,75,34,2.29,14.11
REDCLIFFE,09/06/2017,2.7,0.0, ,23.0,11.1,80,48,2.93,13.34
REDCLIFFE,10/06/2017,2.8,0.0, ,21.7,15.3,91,56,5.34,13.00
REDCLIFFE,11/06/2017,1.9,47.0, ,22.1,15.5,94,72,4.73,8.44
REDCLIFFE,12/06/2017,2.5,8.6, ,22.3,15.2,90,60,4.39,12.10
REDCLIFFE,13/06/2017,1.5,5.6, ,18.0,14.6,91,81,7.52,4.93
REDCLIFFE,14/06/2017,2.1,30.0, ,21.5,15.6,93,72,7.21,7.93
REDCLIFFE,15/06/2017,2.6,39.6, ,21.8,15.6,90,64,6.26,10.51
REDCLIFFE,16/06/2017,2.3,0.0, ,22.5,16.7,90,69,4.66,10.83
REDCLIFFE,17/06/2017,2.4,4.0, ,23.6,17.0,91,66,3.75,12.18
REDCLIFFE,18/06/2017,3.0,0.2, ,23.1,14.0,88,45,3.91,13.91
REDCLIFFE,19/06/2017,3.2,0.0, ,22.3,14.5,73,54,5.34,10.93
REDCLIFFE,20/06/2017,3.0,0.0, ,21.7,15.5,80,55,5.12,12.63
REDCLIFFE,21/06/2017,3.0,0.0, ,21.8,12.7,75,47,3.90,13.07
REDCLIFFE,22/06/2017,2.8,0.0, ,21.7,13.1,85,52,4.34,13.09
REDCLIFFE,23/06/2017,2.7,0.0, ,22.7,10.7,88,48,3.40,13.95
REDCLIFFE,24/06/2017,3.0,0.0, ,24.2,11.4,86,31,2.86,13.78
REDCLIFFE,25/06/2017,2.4,0.0, ,22.1,11.4,89,53,2.85,13.90
REDCLIFFE,26/06/2017,2.2,0.0, ,21.6,12.8,92,54,2.45,13.99
REDCLIFFE,27/06/2017,2.1,0.0, ,22.3,13.6,89,60,2.94,10.41
REDCLIFFE,28/06/2017,2.2,0.0, ,22.5,14.0,90,61,2.82,13.40
REDCLIFFE,29/06/2017,2.7,0.0, ,23.5,14.3,89,56,3.68,13.94
REDCLIFFE,30/06/2017,3.0,4.0, ,21.6,15.4,91,45,4.67,13.30
Totals:,,82,139, ,,,,,, 
