'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for July 2017,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 August 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/07/2017,3.2,0.0, ,18.7,11.1,76,39,5.06,14.11
REDCLIFFE,02/07/2017,2.3,0.0, ,19.7,8.7,84,44,2.51,14.13
REDCLIFFE,03/07/2017,2.2,0.0, ,21.9,9.7,91,56,2.77,13.41
REDCLIFFE,04/07/2017,2.4,0.0, ,24.1,14.0,91,57,3.06,12.33
REDCLIFFE,05/07/2017,3.1,0.0, ,25.9,13.3,91,45,3.40,14.02
REDCLIFFE,06/07/2017,3.0,10.2, ,23.9,13.8,91,35,3.12,14.20
REDCLIFFE,07/07/2017,1.2,0.2, ,17.8,13.7,93,80,2.50,5.18
REDCLIFFE,08/07/2017,2.9,6.0, ,21.6,11.6,90,27,2.80,14.39
REDCLIFFE,09/07/2017,2.4,0.0, ,20.3,7.8,79,34,2.14,13.03
REDCLIFFE,10/07/2017,2.9,0.0, ,20.0,12.3,80,40,3.75,12.14
REDCLIFFE,11/07/2017,3.0,1.4, ,21.1,13.3,89,52,5.53,13.90
REDCLIFFE,12/07/2017,3.4,0.0, ,20.8,11.0,78,48,5.63,14.19
REDCLIFFE,13/07/2017,2.4,0.0, ,19.3,11.3,90,59,4.02,14.56
REDCLIFFE,14/07/2017,2.4,0.0, ,21.6,9.9,92,53,2.98,14.27
REDCLIFFE,15/07/2017,2.7,0.0, ,22.7,11.2,91,55,3.70,14.54
REDCLIFFE,16/07/2017,2.4,4.6, ,21.2,14.6,91,59,3.02,14.13
REDCLIFFE,17/07/2017,2.3,0.2, ,22.2,12.7,92,65,3.15,14.38
REDCLIFFE,18/07/2017,3.4,0.0, ,25.3,13.8,92,46,4.33,15.00
REDCLIFFE,19/07/2017,4.4,0.0, ,19.7,16.0,77,27,6.65,15.04
REDCLIFFE,20/07/2017, ,0.0, , ,9.9,63,30,3.69,15.12
REDCLIFFE,21/07/2017, , , ,19.5, ,76,27,3.56,15.21
REDCLIFFE,22/07/2017,2.3,0.0, ,19.7,7.3,85,40,2.00,15.26
REDCLIFFE,23/07/2017,2.9,0.0, ,23.3,9.1,91,25,2.27,15.35
REDCLIFFE,24/07/2017,2.5,0.0, ,24.7,6.9,82,25,1.39,15.46
REDCLIFFE,25/07/2017,2.6,0.0, ,22.3,7.2,85,27,1.73,15.57
REDCLIFFE,26/07/2017, ,0.0, , ,6.9,83,29,1.62,15.66
REDCLIFFE,27/07/2017, , , ,22.1, ,83,31,2.52,15.70
REDCLIFFE,28/07/2017,2.8,0.0, ,23.4,9.7,88,47,2.68,15.70
REDCLIFFE,29/07/2017,2.8,0.0, ,22.5,10.1,87,31,2.13,15.89
REDCLIFFE,30/07/2017,2.6,0.0, ,22.9,8.2,88,50,2.17,15.99
REDCLIFFE,31/07/2017,3.3,0.0, ,24.3,10.9,92,53,4.70,15.60
Totals:,,73.8,22.6, ,,,,,, 
