'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for August 2017,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 September 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/08/2017,4.6,0.0, ,22.9,13.0,79,19,4.90,16.14
REDCLIFFE,02/08/2017,2.9,0.0, ,20.7,10.1,84,46,3.17,16.22
REDCLIFFE,03/08/2017,2.9,0.0, ,21.2,11.9,82,48,3.15,15.11
REDCLIFFE,04/08/2017,3.7,0.0, ,24.1,14.9,82,31,3.28,16.37
REDCLIFFE,05/08/2017,3.6,0.0, ,23.6,10.3,78,25,2.81,16.52
REDCLIFFE,06/08/2017,2.6,0.0, ,22.4,10.7,88,41,1.83,14.84
REDCLIFFE,07/08/2017,4.4,1.2, ,26.1,14.1,88,24,3.92,15.93
REDCLIFFE,08/08/2017,4.9,0.0, ,22.8,13.3,40,15,4.03,16.91
REDCLIFFE,09/08/2017,2.9,0.0, ,21.5,8.0,79,24,1.93,17.04
REDCLIFFE,10/08/2017,3.1,0.0, ,22.6,8.4,84,44,2.88,17.15
REDCLIFFE,11/08/2017,3.4,0.0, ,24.4,11.6,86,51,3.69,17.27
REDCLIFFE,12/08/2017,2.9,0.0, ,24.5,10.7,93,49,2.55,15.04
REDCLIFFE,13/08/2017,3.1,0.0, ,23.7,12.8,88,55,3.08,17.38
REDCLIFFE,14/08/2017,3.0,0.0, ,23.5,13.0,90,59,3.15,16.85
REDCLIFFE,15/08/2017,3.9,0.0, ,24.9,11.7,90,24,3.00,17.77
REDCLIFFE,16/08/2017,4.8,0.2, ,27.0,11.7,89,42,5.78,17.84
REDCLIFFE,17/08/2017,5.1,0.0, ,31.0,16.7,88,27,3.66,17.86
REDCLIFFE,18/08/2017,6.7,0.0, ,26.3,16.3,36,12,5.30,17.97
REDCLIFFE,19/08/2017,4.9,0.0, ,19.7,12.7,32,18,4.16,18.13
REDCLIFFE,20/08/2017,3.3,0.0, ,20.1,8.1,76,27,2.45,18.27
REDCLIFFE,21/08/2017,2.8,0.0, ,20.5,8.6,84,46,2.33,16.19
REDCLIFFE,22/08/2017,3.7,0.6, ,24.6,13.6,88,46,3.67,17.31
REDCLIFFE,23/08/2017,3.5,0.2, ,25.1,13.6,91,52,3.66,15.96
REDCLIFFE,24/08/2017,3.0,0.0, ,23.8,17.2,86,57,5.05,8.40
REDCLIFFE,25/08/2017,3.7,8.8, ,21.7,11.1,84,46,5.73,13.75
REDCLIFFE,26/08/2017,3.8,0.2, ,21.1,11.4,77,42,3.99,19.05
REDCLIFFE,27/08/2017,3.3,0.0, ,22.6,10.6,87,52,3.33,16.91
REDCLIFFE,28/08/2017,4.3,0.0, ,23.6,10.2,85,19,3.26,19.49
REDCLIFFE,29/08/2017,3.4,0.0, ,20.0,8.3,82,38,2.74,19.43
REDCLIFFE,30/08/2017,3.9,0.0, ,24.4,11.0,87,27,2.57,19.09
REDCLIFFE,31/08/2017,4.4,0.0, ,21.0,11.0,64,35,4.37,19.66
Totals:,,116.5,11.2, ,,,,,, 
