'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for September 2017,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 October 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/09/2017,3.9,0.0, ,20.7,11.8,75,42,3.89,19.57
REDCLIFFE,02/09/2017,3.9,0.0, ,22.6,13.5,80,46,3.58,19.64
REDCLIFFE,03/09/2017,4.6,0.0, ,25.2,13.3,89,45,5.24,20.04
REDCLIFFE,04/09/2017,6.1,0.0, ,29.7,18.1,79,33,5.77,18.41
REDCLIFFE,05/09/2017,5.8,0.0, ,27.8,15.6,81,12,3.95,20.45
REDCLIFFE,06/09/2017,6.2,0.0, ,26.5,12.9,61,13,4.54,20.57
REDCLIFFE,07/09/2017,4.8,0.0, ,26.2,14.0,73,17,2.73,20.76
REDCLIFFE,08/09/2017,5.0,0.0, ,26.1,10.4,73,14,3.07,20.93
REDCLIFFE,09/09/2017,5.3,0.0, ,23.3,10.6,61,17,4.06,20.49
REDCLIFFE,10/09/2017,3.8,0.0, ,22.5,12.2,79,44,2.73,20.83
REDCLIFFE,11/09/2017,4.4,0.0, ,24.5,12.5,88,48,4.66,21.21
REDCLIFFE,12/09/2017,4.9,0.0, ,25.9,15.0,88,48,5.95,21.05
REDCLIFFE,13/09/2017,5.5,0.0, ,25.9,18.0,81,49,7.54,21.15
REDCLIFFE,14/09/2017,6.3,0.0, ,23.2,20.0,74,21,7.33,18.75
REDCLIFFE,15/09/2017,4.3,0.0, ,21.4,8.7,64,22,2.65,21.73
REDCLIFFE,16/09/2017,5.1,0.0, ,24.7,9.4,77,23,3.79,21.91
REDCLIFFE,17/09/2017,4.4,0.0, ,23.0,13.2,79,54,5.65,21.15
REDCLIFFE,18/09/2017,4.9,0.0, ,23.3,17.7,79,44,4.93,21.58
REDCLIFFE,19/09/2017,5.1,0.0, ,25.5,12.5,87,40,4.86,22.24
REDCLIFFE,20/09/2017,4.6,0.0, ,23.3,16.2,87,54,6.32,22.52
REDCLIFFE,21/09/2017,4.4,0.0, ,24.2,16.4,81,58,5.24,20.68
REDCLIFFE,22/09/2017,5.2,0.0, ,26.4,19.5,84,50,6.38,20.31
REDCLIFFE,23/09/2017,5.2,1.4, ,27.4,16.8,85,54,5.81,23.23
REDCLIFFE,24/09/2017,6.7,0.0, ,28.4,19.8,75,48,8.87,23.18
REDCLIFFE,25/09/2017,6.5,0.0, ,28.5,20.5,77,49,8.21,23.33
REDCLIFFE,26/09/2017,4.7,0.0, ,27.1,19.1,87,57,4.84,20.41
REDCLIFFE,27/09/2017,3.4,0.0, ,24.8,19.9,86,63,5.32,11.43
REDCLIFFE,28/09/2017,6.4,0.0, ,30.0,20.4,84,44,6.30,23.86
REDCLIFFE,29/09/2017,7.2,0.0, ,33.7,20.2,85,22,4.30,24.05
REDCLIFFE,30/09/2017,7.5,0.0, ,33.2,18.6,83,17,4.54,23.57
Totals:,,156.1,1.4, ,,,,,, 
