'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for November 2017,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 December 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/11/2017,5.3,0.6, ,25.1,17.3,86,55,5.62,24.97
REDCLIFFE,02/11/2017,6.0,0.0, ,26.0,15.5,86,45,5.04,28.78
REDCLIFFE,03/11/2017,5.9,0.0, ,27.0,18.9,87,50,5.24,26.76
REDCLIFFE,04/11/2017,6.0,0.0, ,27.8,18.1,87,55,4.64,28.97
REDCLIFFE,05/11/2017,6.5,0.6, ,27.7,22.0,78,48,5.11,27.47
REDCLIFFE,06/11/2017,5.2,0.0, ,26.9,20.8,82,62,6.85,20.51
REDCLIFFE,07/11/2017,6.7,0.2, ,28.4,20.8,76,45,7.21,22.50
REDCLIFFE,08/11/2017,5.0,5.0, ,23.7,18.2,86,54,10.20,17.89
REDCLIFFE,09/11/2017,6.6,0.8, ,24.0,15.2,75,42,8.76,28.01
REDCLIFFE,10/11/2017,6.1,0.2, ,24.6,16.5,80,49,8.18,25.85
REDCLIFFE,11/11/2017,6.1,0.0, ,24.9,17.0,82,48,7.79,26.55
REDCLIFFE,12/11/2017,6.4,0.0, ,24.6,16.0,82,42,7.39,27.90
REDCLIFFE,13/11/2017,6.7,0.0, ,25.0,16.1,75,40,6.61,29.63
REDCLIFFE,14/11/2017,6.3,0.0, ,24.9,15.8,76,44,5.25,29.74
REDCLIFFE,15/11/2017,5.7,0.0, ,25.4,16.4,81,52,4.62,28.34
REDCLIFFE,16/11/2017,6.0,0.0, ,26.8,17.8,83,49,4.66,27.88
REDCLIFFE,17/11/2017,6.2,0.0, ,26.3,18.4,78,47,5.19,26.92
REDCLIFFE,18/11/2017,2.6,1.2, ,23.8,18.6,92,62,5.04,5.51
REDCLIFFE,19/11/2017,4.7,26.0, ,24.3,16.5,93,54,6.98,20.31
REDCLIFFE,20/11/2017,6.4,1.8, ,25.2,17.5,85,47,8.59,28.02
REDCLIFFE,21/11/2017,5.6,8.6, ,24.5,17.0,90,58,9.31,27.89
REDCLIFFE,22/11/2017,5.2,0.8, ,24.0,18.1,77,53,7.04,19.53
REDCLIFFE,23/11/2017,5.7,0.0, ,25.2,17.2,83,58,6.00,28.74
REDCLIFFE,24/11/2017,6.2,0.6, ,26.3,17.7,86,53,5.80,30.45
REDCLIFFE,25/11/2017,5.8,0.0, ,27.0,20.0,81,61,6.48,26.20
REDCLIFFE,26/11/2017, ,0.0, ,27.3,21.0,85,59,6.69, 
REDCLIFFE,27/11/2017,6.3,0.0, ,27.1,21.4,84,58,5.84,29.57
REDCLIFFE,28/11/2017,6.1,0.0, ,28.4,22.3,88,57,5.47,27.05
REDCLIFFE,29/11/2017,2.4,10.2, ,24.8,21.3,93,71,5.99,5.33
REDCLIFFE,30/11/2017,3.2,23.4, ,26.1,21.4,89,74,6.67,10.27
Totals:,,162.9,80, ,,,,,, 
