'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for February 2018,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 March 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/02/2018, , , ,24.1, ,89,59,10.57,2.99
REDCLIFFE,02/02/2018,2.5,10.4, ,22.8,18.8,92,71,8.06,5.29
REDCLIFFE,03/02/2018,2.4,6.6, ,23.6,19.1,91,73,6.93,5.38
REDCLIFFE,04/02/2018,6.7,8.8, ,27.2,18.3,84,51,9.56,27.55
REDCLIFFE,05/02/2018,6.7,1.2, ,27.4,18.7,84,50,7.84,29.07
REDCLIFFE,06/02/2018,7.1,0.0, ,27.7,19.4,78,44,7.37,28.51
REDCLIFFE,07/02/2018,7.3,0.0, ,27.8,18.9,75,41,7.36,27.75
REDCLIFFE,08/02/2018,7.2,0.2, ,27.8,19.5,73,45,7.58,27.70
REDCLIFFE,09/02/2018,6.7,0.0, ,28.7,18.6,81,38,4.28,28.72
REDCLIFFE,10/02/2018,7.0,0.0, ,30.0,20.3,82,43,5.15,28.60
REDCLIFFE,11/02/2018,7.2,0.2, ,32.2,22.3,91,52,7.50,27.70
REDCLIFFE,12/02/2018,6.2,21.0, ,31.1,20.5,87,55,4.43,26.97
REDCLIFFE,13/02/2018,6.2,0.0, ,31.2,25.6,87,62,6.15,25.18
REDCLIFFE,14/02/2018,6.5,1.2, ,31.6,22.5,87,61,5.38,28.29
REDCLIFFE,15/02/2018,6.5,0.0, ,32.6,25.3,89,47,3.89,25.79
REDCLIFFE,16/02/2018,6.2,0.0, ,31.4,26.5,83,63,6.28,23.72
REDCLIFFE,17/02/2018,6.1,1.6, ,29.9,23.1,88,56,6.00,25.27
REDCLIFFE,18/02/2018,6.9,0.2, ,30.4,23.2,82,53,6.80,26.99
REDCLIFFE,19/02/2018,6.8,0.0, ,30.6,20.8,83,44,5.21,27.16
REDCLIFFE,20/02/2018,7.7,0.0, ,29.7,23.9,69,45,9.08,22.06
REDCLIFFE,21/02/2018,5.1,0.4, ,26.1,23.5,84,57,13.05,9.87
REDCLIFFE,22/02/2018,3.7,1.8, ,26.2,21.1,93,60,10.76,4.68
REDCLIFFE,23/02/2018,2.4,23.0, ,27.0,21.9,92,78,8.11,4.51
REDCLIFFE,24/02/2018,3.2,74.0, ,27.1,22.1,93,77,4.12,14.20
REDCLIFFE,25/02/2018,4.5,1.8, ,30.1,23.0,92,67,4.94,18.13
REDCLIFFE,26/02/2018,5.6,17.6, ,30.3,23.5,92,65,6.08,24.48
REDCLIFFE,27/02/2018,4.2,22.6, ,27.3,21.4,90,62,8.91,11.20
REDCLIFFE,28/02/2018,5.6,0.0, ,27.4,19.7,83,54,4.45,25.75
Totals:,,154.2,192.6, ,,,,,, 
