'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for April 2018,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 May 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/04/2018,4.7,0.2, ,27.8,21.4,85,63,6.25,20.05
REDCLIFFE,02/04/2018,5.0,0.0, ,28.1,23.5,79,58,5.27,19.63
REDCLIFFE,03/04/2018,5.0,0.8, ,27.4,20.9,90,55,7.44,19.03
REDCLIFFE,04/04/2018,4.1,2.0, ,25.8,21.1,90,59,10.03,10.00
REDCLIFFE,05/04/2018,5.9,6.6, ,27.0,20.4,75,53,9.55,19.60
REDCLIFFE,06/04/2018,5.1,0.0, ,27.1,19.2,90,49,7.51,18.80
REDCLIFFE,07/04/2018,5.0,1.2, ,26.8,20.8,90,53,7.71,18.91
REDCLIFFE,08/04/2018,4.6,0.0, ,27.0,18.7,87,55,5.20,19.87
REDCLIFFE,09/04/2018,4.2,1.8, ,26.9,18.3,90,51,3.57,19.91
REDCLIFFE,10/04/2018,4.7,0.0, ,27.5,17.6,91,55,6.49,19.09
REDCLIFFE,11/04/2018,5.9,0.0, ,26.3,21.2,77,44,8.25,19.00
REDCLIFFE,12/04/2018,4.8,0.0, ,26.1,22.5,71,45,5.49,13.42
REDCLIFFE,13/04/2018,4.6,0.0, ,27.8,19.4,86,50,5.15,17.44
REDCLIFFE,14/04/2018,3.3,0.0, ,26.8,19.7,86,56,3.77,10.94
REDCLIFFE,15/04/2018,4.4,0.0, ,29.7,19.4,90,57,4.64,18.57
REDCLIFFE,16/04/2018,5.3,0.0, ,30.1,16.9,89,32,4.19,19.22
REDCLIFFE,17/04/2018,5.7,0.0, ,29.4,16.8,88,34,5.62,19.08
REDCLIFFE,18/04/2018,3.4,0.0, ,24.1,20.0,89,59,7.87,8.14
REDCLIFFE,19/04/2018,3.9,1.4, ,26.4,18.9,86,61,6.30,14.64
REDCLIFFE,20/04/2018,3.2,0.0, ,26.1,19.8,91,58,4.32,11.58
REDCLIFFE,21/04/2018,3.9,1.6, ,25.7,18.0,92,58,6.15,16.84
REDCLIFFE,22/04/2018,4.4,0.0, ,25.5,17.7,82,54,7.14,14.85
REDCLIFFE,23/04/2018,4.3,0.0, ,26.2,17.0,85,51,5.65,16.01
REDCLIFFE,24/04/2018,4.5,0.0, ,27.9,15.9,88,33,3.80,17.67
REDCLIFFE,25/04/2018,3.6,0.0, ,26.2,18.8,83,51,3.39,15.20
REDCLIFFE,26/04/2018,3.7,0.0, ,26.5,18.0,90,56,3.61,17.71
REDCLIFFE,27/04/2018,4.8,0.0, ,27.2,17.8,88,41,6.42,14.59
REDCLIFFE,28/04/2018,4.6,0.0, ,25.2,16.2,77,48,6.83,15.05
REDCLIFFE,29/04/2018,4.5,0.0, ,24.9,15.4,77,48,6.94,14.44
REDCLIFFE,30/04/2018,4.3,0.0, ,24.2,15.1,79,47,6.57,13.81
Totals:,,135.4,15.6, ,,,,,, 
