'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for July 2018,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 August 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/07/2018,1.6,0.0, ,21.8,14.7,93,73,3.07,7.78
REDCLIFFE,02/07/2018,2.5,0.0, ,22.0,15.0,87,58,3.58,13.18
REDCLIFFE,03/07/2018,3.1,0.0, ,22.7,12.5,87,44,4.06,13.70
REDCLIFFE,04/07/2018,2.9,0.0, ,22.4,15.7,85,59,4.73,13.93
REDCLIFFE,05/07/2018,1.8,2.6, ,22.1,16.9,93,76,2.79,10.50
REDCLIFFE,06/07/2018,2.5,3.2, ,23.2,18.1,93,66,4.90,11.74
REDCLIFFE,07/07/2018,3.4,1.2, ,24.5,18.0,93,33,4.41,9.22
REDCLIFFE,08/07/2018,3.3,10.8, ,19.3,9.4,56,25,3.48,14.38
REDCLIFFE,09/07/2018,2.4,0.0, ,19.2,7.8,76,33,2.23,14.11
REDCLIFFE,10/07/2018,2.8,0.0, ,19.7,9.4,82,46,4.05,13.86
REDCLIFFE,11/07/2018,2.2,0.0, ,19.4,11.6,92,59,4.01,11.34
REDCLIFFE,12/07/2018,2.3,2.0, ,21.6,14.3,93,59,3.24,12.59
REDCLIFFE,13/07/2018,3.1,0.0, ,20.9,10.7,93,17,3.12,14.65
REDCLIFFE,14/07/2018,2.2,0.2, ,19.5,6.6,81,26,1.65,14.71
REDCLIFFE,15/07/2018,2.1,0.0, ,18.9,5.6,88,44,2.06,14.78
REDCLIFFE,16/07/2018,2.9,0.0, ,22.0,10.2,84,25,2.51,14.79
REDCLIFFE,17/07/2018,2.2,0.0, ,21.7,6.8,70,23,1.30,14.90
REDCLIFFE,18/07/2018, ,0.0, , ,6.4,100,28,1.42,14.98
REDCLIFFE,19/07/2018, , , , , ,100,60,2.27,15.02
REDCLIFFE,23/07/2018, ,0.0, , , ,100,100,3.42,15.23
REDCLIFFE,24/07/2018, ,0.0, , , ,100,53,3.14,15.39
REDCLIFFE,25/07/2018, , , ,21.2, ,93,59,1.60,10.21
REDCLIFFE,26/07/2018,3.3,0.2, ,25.9,14.4,93,32,2.68,15.60
REDCLIFFE,27/07/2018,3.0,0.0, ,22.7,10.9,91,52,4.14,15.62
REDCLIFFE,28/07/2018,3.2,0.0, ,25.9,13.1,92,51,3.44,15.78
REDCLIFFE,29/07/2018,2.9,0.0, ,24.9,11.2,93,59,3.66,15.84
REDCLIFFE,30/07/2018,4.0,1.0, ,25.7,14.3,89,23,3.40,15.97
REDCLIFFE,31/07/2018,3.6,0.0, ,22.0,7.9,79,23,3.22,16.06
Totals:,,63.3,21.2, ,,,,,, 
