'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for September 2018,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 October 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/09/2018,5.3,0.0, ,27.0,15.0,75,21,4.02,18.98
REDCLIFFE,02/09/2018,5.0,0.0, ,23.9,12.0,68,29,4.58,20.06
REDCLIFFE,03/09/2018,3.4,0.0, ,20.9,12.3,84,58,7.34,11.93
REDCLIFFE,04/09/2018,3.5,1.0, ,20.5,14.0,92,56,7.98,14.38
REDCLIFFE,05/09/2018,2.9,12.2, ,19.3,13.1,92,66,5.91,15.73
REDCLIFFE,06/09/2018,3.1,3.6, ,21.7,14.1,91,61,3.66,16.70
REDCLIFFE,07/09/2018,3.8,4.4, ,25.3,13.3,92,58,4.95,17.93
REDCLIFFE,08/09/2018,2.7,0.6, ,23.7,17.9,91,64,4.28,9.77
REDCLIFFE,09/09/2018,4.8,1.6, ,26.1,13.5,94,28,3.50,21.16
REDCLIFFE,10/09/2018,4.5,0.0, ,22.4,12.0,91,39,5.08,21.27
REDCLIFFE,11/09/2018,4.1,0.0, ,22.8,12.4,83,47,3.98,21.13
REDCLIFFE,12/09/2018,4.3,0.0, ,24.0,13.5,91,43,3.97,21.14
REDCLIFFE,13/09/2018,4.4,0.0, ,24.8,13.1,86,50,4.24,21.61
REDCLIFFE,14/09/2018,4.3,0.0, ,25.4,14.8,90,46,3.66,20.76
REDCLIFFE,15/09/2018,4.7,0.0, ,26.0,14.2,90,54,5.84,21.97
REDCLIFFE,16/09/2018,6.7,0.0, ,28.2,15.2,89,33,8.22,21.13
REDCLIFFE,17/09/2018,5.2,0.0, ,21.6,13.4,72,44,7.80,20.82
REDCLIFFE,18/09/2018,4.4,0.0, ,24.4,12.8,81,46,4.23,19.92
REDCLIFFE,19/09/2018,4.8,0.0, ,24.3,12.4,86,47,5.73,22.47
REDCLIFFE,20/09/2018,5.9,0.0, ,28.3,16.1,81,35,5.10,22.15
REDCLIFFE,21/09/2018,5.8,0.0, ,22.6,13.2,76,38,8.59,22.64
REDCLIFFE,22/09/2018,4.4,0.0, ,23.1,12.4,80,52,4.50,22.26
REDCLIFFE,23/09/2018,4.9,0.0, ,25.3,13.4,88,45,4.74,23.08
REDCLIFFE,24/09/2018,5.1,0.0, ,24.9,14.5,85,46,6.70,20.70
REDCLIFFE,25/09/2018,3.4,4.8, ,21.3,15.2,91,61,7.39,13.26
REDCLIFFE,26/09/2018,4.1,3.2, ,22.1,14.4,90,54,5.19,21.23
REDCLIFFE,27/09/2018,3.5,0.6, ,22.8,14.1,91,54,3.58,16.21
REDCLIFFE,28/09/2018,4.6,0.0, ,26.4,17.1,86,58,5.14,20.91
REDCLIFFE,29/09/2018,5.4,0.0, ,27.0,17.5,85,51,7.12,20.18
REDCLIFFE,30/09/2018,2.4,9.6, ,19.9,17.9,91,69,8.51,4.14
Totals:,,131.4,41.6, ,,,,,, 
