'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for November 2018,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 December 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/11/2018,5.8,0.0, ,26.5,16.6,90,47,4.50,28.57
REDCLIFFE,02/11/2018,7.1,0.0, ,26.6,21.5,73,43,7.33,27.33
REDCLIFFE,03/11/2018, , , ,29.4, ,100,38,6.17,28.70
REDCLIFFE,04/11/2018,7.1,0.0, ,29.7,21.3,78,55,7.72,28.81
REDCLIFFE,05/11/2018,6.5,0.0, ,30.3,20.7,83,59,5.81,28.90
REDCLIFFE,06/11/2018,6.4,0.0, ,30.2,22.8,87,61,7.48,27.24
REDCLIFFE,07/11/2018,7.3,0.0, ,29.9,22.6,83,55,9.34,29.17
REDCLIFFE,08/11/2018,5.1,0.0, ,24.7,22.6,79,37,7.00,9.28
REDCLIFFE,09/11/2018,7.2,0.0, ,26.3,17.0,71,38,8.13,26.00
REDCLIFFE,10/11/2018,6.2,0.0, ,26.0,14.9,77,44,4.70,29.14
REDCLIFFE,11/11/2018,6.1,0.0, ,26.1,17.2,83,51,5.94,29.17
REDCLIFFE,12/11/2018,7.2,0.0, ,26.2,17.2,74,43,8.11,29.49
REDCLIFFE,13/11/2018,6.5,0.0, ,26.3,17.3,75,48,6.43,28.30
REDCLIFFE,14/11/2018,5.5,0.6, ,27.0,17.9,84,50,4.79,23.58
REDCLIFFE,15/11/2018,6.1,0.0, ,27.7,19.6,88,51,4.55,28.11
REDCLIFFE,16/11/2018,6.4,0.0, ,27.9,20.2,85,44,4.49,28.40
REDCLIFFE,17/11/2018,6.2,0.0, ,28.3,21.1,89,50,5.80,25.99
REDCLIFFE,18/11/2018,5.5,2.8, ,26.7,18.5,88,53,8.49,19.56
REDCLIFFE,19/11/2018,7.2,0.2, ,26.3,19.6,70,40,6.89,27.87
REDCLIFFE,20/11/2018,7.1,0.0, ,27.6,18.3,76,43,6.01,29.92
REDCLIFFE,21/11/2018,7.6,0.0, ,29.9,20.6,82,42,7.47,28.05
REDCLIFFE,22/11/2018,6.6,0.2, ,32.0,22.7,87,38,5.78,18.84
REDCLIFFE,23/11/2018,9.4,0.4, ,31.0,19.3,42,12,5.27,29.48
REDCLIFFE,24/11/2018,9.0,0.0, ,30.9,17.0,51,12,4.87,30.46
REDCLIFFE,25/11/2018,7.7,0.0, ,30.9,18.9,71,20,4.38,26.84
REDCLIFFE,26/11/2018,9.8,0.0, ,35.3,18.7,77,13,5.36,30.58
REDCLIFFE,27/11/2018,4.5,0.0, ,28.9,19.0,86,60,5.64,14.62
REDCLIFFE,28/11/2018,11.1,0.4, ,38.6,22.6,90,19,7.30,29.02
REDCLIFFE,29/11/2018,9.9,0.0, ,34.1,21.9,61,21,5.92,30.10
REDCLIFFE,30/11/2018,6.9,0.0, ,29.4,20.9,79,51,5.68,28.90
Totals:,,205,4.6, ,,,,,, 
