'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for March 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/03/2009,7.1,0.0, ,33.8,19.7,90,48,5.10,28.67
SUNSHINE COAST AIRPORT,02/03/2009,5.8,0.0, ,29.7,20.1,91,61,4.75,28.14
SUNSHINE COAST AIRPORT,03/03/2009,5.5,0.0, ,29.4,20.7,94,59,2.74,27.62
SUNSHINE COAST AIRPORT,04/03/2009,5.8,0.0, ,30.4,21.9,92,60,3.98,27.38
SUNSHINE COAST AIRPORT,05/03/2009,7.1,0.0, ,30.1,20.6,89,21,4.08,28.26
SUNSHINE COAST AIRPORT,06/03/2009,5.0,0.0, ,28.5,17.4,94,53,3.61,23.72
SUNSHINE COAST AIRPORT,07/03/2009,5.2,0.0, ,28.8,18.0,93,58,3.14,26.67
SUNSHINE COAST AIRPORT,08/03/2009,6.2,0.0, ,29.3,21.8,78,56,6.61,24.30
SUNSHINE COAST AIRPORT,09/03/2009,4.0,0.0, ,25.6,24.1,92,59,9.98,8.43
SUNSHINE COAST AIRPORT,10/03/2009,5.3,9.6, ,25.6,22.0,87,45,11.19,9.57
SUNSHINE COAST AIRPORT,11/03/2009,4.4,3.0, ,26.6,21.9,91,65,9.87,15.67
SUNSHINE COAST AIRPORT,12/03/2009,5.1,7.6, ,28.1,21.4,91,60,8.63,19.50
SUNSHINE COAST AIRPORT,13/03/2009,3.8,17.2, ,25.8,20.7,92,66,4.39,16.90
SUNSHINE COAST AIRPORT,14/03/2009,4.2,0.4, ,27.3,19.8,93,64,3.66,19.94
SUNSHINE COAST AIRPORT,15/03/2009,4.7,0.6, ,27.7,17.4,95,60,2.23,26.07
SUNSHINE COAST AIRPORT,16/03/2009,5.0,0.2, ,28.7,18.8,95,64,4.46,25.94
SUNSHINE COAST AIRPORT,17/03/2009,4.5,30.4, ,27.6,19.0,95,72,3.50,24.79
SUNSHINE COAST AIRPORT,18/03/2009,3.9,0.0, ,27.7,21.4,94,67,5.02,16.84
SUNSHINE COAST AIRPORT,19/03/2009,3.0,1.8, ,26.2,21.9,93,73,4.74,11.87
SUNSHINE COAST AIRPORT,20/03/2009, ,3.0, ,28.4,21.2,95,71,4.89, 
SUNSHINE COAST AIRPORT,21/03/2009, ,72.0, ,27.2,20.7,94,57,6.09, 
SUNSHINE COAST AIRPORT,22/03/2009, ,15.8, ,27.4,19.4,92,59,6.34, 
SUNSHINE COAST AIRPORT,23/03/2009,5.4,6.8, ,27.6,19.9,91,52,5.24,25.08
SUNSHINE COAST AIRPORT,24/03/2009,5.0,4.0, ,26.8,19.4,89,58,5.77,23.55
SUNSHINE COAST AIRPORT,25/03/2009,5.5,1.4, ,27.5,19.2,83,53,5.46,24.48
SUNSHINE COAST AIRPORT,26/03/2009,5.3,0.0, ,27.7,19.9,89,46,4.73,22.91
SUNSHINE COAST AIRPORT,27/03/2009, ,0.0, ,27.3,16.7,94,58,4.83, 
SUNSHINE COAST AIRPORT,28/03/2009, ,34.8, ,27.0,19.4,94,60,7.09, 
SUNSHINE COAST AIRPORT,29/03/2009, ,7.6, ,26.1,19.1,91,59,6.96, 
SUNSHINE COAST AIRPORT,30/03/2009,4.5,6.0, ,27.3,19.4,93,62,7.19,19.69
SUNSHINE COAST AIRPORT,31/03/2009,4.4,0.0, ,27.9,17.4,93,54,3.49,21.46
Totals:,,125.7,222.2, ,,,,,, 
