'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for April 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/04/2009,4.2,0.0, ,27.5,16.4,95,62,3.27,22.59
SUNSHINE COAST AIRPORT,02/04/2009,2.0,9.2, ,24.4,21.2,96,84,8.30,7.74
SUNSHINE COAST AIRPORT,03/04/2009,3.3,127.2, ,27.1,21.4,93,77,6.35,15.36
SUNSHINE COAST AIRPORT,04/04/2009,3.5,32.8, ,26.2,22.7,93,76,4.25,17.93
SUNSHINE COAST AIRPORT,05/04/2009,3.3,0.2, ,26.2,21.5,94,75,4.79,16.53
SUNSHINE COAST AIRPORT,06/04/2009,4.0,7.6, ,27.5,20.8,94,68,4.50,19.64
SUNSHINE COAST AIRPORT,07/04/2009,3.8,18.0, ,25.1,20.4,95,64,7.92,16.49
SUNSHINE COAST AIRPORT,08/04/2009,6.0,0.2, ,26.7,21.7,76,51,8.84,20.89
SUNSHINE COAST AIRPORT,09/04/2009,3.3,0.6, ,24.5,18.2,94,71,5.10,17.19
SUNSHINE COAST AIRPORT,10/04/2009,4.0,12.4, ,26.3,17.9,94,58,4.13,19.36
SUNSHINE COAST AIRPORT,11/04/2009,3.6,0.2, ,26.3,20.3,85,64,4.93,13.98
SUNSHINE COAST AIRPORT,12/04/2009,3.4,3.4, ,27.2,20.6,94,66,4.52,14.60
SUNSHINE COAST AIRPORT,13/04/2009,1.9,10.2, ,24.7,20.1,94,82,5.74,6.51
SUNSHINE COAST AIRPORT,14/04/2009,3.0,130.4, ,26.3,20.8,95,71,4.66,13.34
SUNSHINE COAST AIRPORT,15/04/2009,3.4,0.0, ,28.7,19.9,94,58,2.37,15.84
SUNSHINE COAST AIRPORT,16/04/2009,4.3,0.2, ,27.3,19.1,100,47,3.25,21.67
SUNSHINE COAST AIRPORT,17/04/2009, , , ,27.1, ,95,47,2.32,21.52
SUNSHINE COAST AIRPORT,18/04/2009,3.9,0.0, ,25.9,16.3,93,55,3.41,21.00
SUNSHINE COAST AIRPORT,19/04/2009,4.1,1.0, ,26.4,15.5,93,47,3.14,21.07
SUNSHINE COAST AIRPORT,20/04/2009,4.4,0.0, ,27.0,14.4,91,44,3.95,20.72
SUNSHINE COAST AIRPORT,21/04/2009,4.5,0.0, ,26.9,13.9,87,47,4.71,20.29
SUNSHINE COAST AIRPORT,22/04/2009,4.6,0.0, ,25.8,18.3,87,51,5.73,20.22
SUNSHINE COAST AIRPORT,23/04/2009,4.5,0.0, ,25.7,17.7,91,46,5.01,20.64
SUNSHINE COAST AIRPORT,24/04/2009,3.6,0.0, ,25.2,13.3,94,57,3.42,20.59
SUNSHINE COAST AIRPORT,25/04/2009,4.7,0.0, ,29.4,17.4,93,45,4.41,20.08
SUNSHINE COAST AIRPORT,26/04/2009,4.9,0.0, ,29.5,18.5,93,33,3.72,20.33
SUNSHINE COAST AIRPORT,27/04/2009,4.1,0.2, ,27.3,15.0,97,39,2.89,20.33
SUNSHINE COAST AIRPORT,28/04/2009,3.9,0.0, ,24.6,8.5,94,33,2.74,20.84
SUNSHINE COAST AIRPORT,29/04/2009,3.8,0.0, ,25.6,10.1,95,33,2.83,19.37
SUNSHINE COAST AIRPORT,30/04/2009,4.4,0.0, ,27.4,11.8,96,27,3.04,20.13
Totals:,,112.4,353.8, ,,,,,, 
