'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for June 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/06/2009,3.0,7.4, ,22.8,15.2,93,54,5.00,14.58
SUNSHINE COAST AIRPORT,02/06/2009,2.3,4.4, ,22.5,14.9,94,68,3.78,14.17
SUNSHINE COAST AIRPORT,03/06/2009,2.2,19.6, ,22.3,15.8,95,71,3.60,13.22
SUNSHINE COAST AIRPORT,04/06/2009,2.1,1.8, ,22.2,15.3,95,71,3.38,13.03
SUNSHINE COAST AIRPORT,05/06/2009,2.1,0.0, ,22.4,12.4,96,70,2.04,15.60
SUNSHINE COAST AIRPORT,06/06/2009,2.3,0.2, ,22.5,10.8,97,56,2.61,15.39
SUNSHINE COAST AIRPORT,07/06/2009,3.1,3.2, ,25.5,16.4,95,40,3.17,14.98
SUNSHINE COAST AIRPORT,08/06/2009,2.9,0.0, ,22.5,7.7,94,34,2.73,16.11
SUNSHINE COAST AIRPORT,09/06/2009,2.8,0.2, ,22.1,7.6,94,39,3.08,15.69
SUNSHINE COAST AIRPORT,10/06/2009,2.7,0.0, ,20.1,5.6,95,35,3.04,16.03
SUNSHINE COAST AIRPORT,11/06/2009,2.9,0.0, ,17.1,5.5,92,25,3.54,16.46
SUNSHINE COAST AIRPORT,12/06/2009,2.4,0.2, ,18.4,1.5,94,40,2.75,15.96
SUNSHINE COAST AIRPORT,13/06/2009,2.3,0.0, ,21.4,6.2,96,56,2.91,15.66
SUNSHINE COAST AIRPORT,14/06/2009,3.1,0.2, ,23.8,8.6,97,44,3.85,15.53
SUNSHINE COAST AIRPORT,15/06/2009,2.7,0.0, ,24.1,10.3,96,53,3.27,14.98
SUNSHINE COAST AIRPORT,16/06/2009,2.7,6.8, ,21.3,9.1,96,38,2.96,15.80
SUNSHINE COAST AIRPORT,17/06/2009,2.6,0.0, ,21.1,6.7,96,50,3.76,15.51
SUNSHINE COAST AIRPORT,18/06/2009,2.0,0.0, ,18.6,12.0,90,70,5.64,10.16
SUNSHINE COAST AIRPORT,19/06/2009,2.6,6.4, ,21.1,12.7,90,62,5.11,15.09
SUNSHINE COAST AIRPORT,20/06/2009,2.0,0.0, ,20.4,15.1,93,75,5.54,11.76
SUNSHINE COAST AIRPORT,21/06/2009,1.8,11.8, ,22.2,15.1,96,79,3.99,10.64
SUNSHINE COAST AIRPORT,22/06/2009,1.6,17.2, ,22.2,17.3,95,81,4.59,6.95
SUNSHINE COAST AIRPORT,23/06/2009,2.3,22.8, ,23.2,12.2,96,56,2.65,14.25
SUNSHINE COAST AIRPORT,24/06/2009,2.2,0.2, ,22.8,10.3,97,55,2.14,15.13
SUNSHINE COAST AIRPORT,25/06/2009,1.8,0.2, ,21.8,10.2,96,61,2.12,10.91
SUNSHINE COAST AIRPORT,26/06/2009,2.0,0.0, ,21.8,14.5,95,60,2.58,10.30
SUNSHINE COAST AIRPORT,27/06/2009,2.3,12.6, ,21.6,13.7,95,53,2.90,13.35
SUNSHINE COAST AIRPORT,28/06/2009,2.7,0.2, ,21.8,9.4,95,44,3.43,14.63
SUNSHINE COAST AIRPORT,29/06/2009,2.5,0.2, ,20.0,6.0,95,39,2.74,15.76
SUNSHINE COAST AIRPORT,30/06/2009,2.5,0.2, ,21.4,6.1,96,48,3.19,15.39
Totals:,,72.5,115.8, ,,,,,, 
