'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for August 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/08/2009,2.6,0.0, ,21.0,3.9,96,52,2.78,17.32
SUNSHINE COAST AIRPORT,02/08/2009,2.4,0.2, ,21.6,6.3,97,57,2.38,16.89
SUNSHINE COAST AIRPORT,03/08/2009,2.5,0.0, ,21.7,6.5,97,55,2.23,17.35
SUNSHINE COAST AIRPORT,04/08/2009,2.5,0.0, ,21.6,7.5,97,56,2.45,16.19
SUNSHINE COAST AIRPORT,05/08/2009,2.5,0.2, ,21.1,7.0,97,56,2.54,17.46
SUNSHINE COAST AIRPORT,06/08/2009,2.8,0.2, ,21.9,9.0,96,57,3.59,17.67
SUNSHINE COAST AIRPORT,07/08/2009,2.5,0.0, ,21.7,7.8,97,59,2.35,17.75
SUNSHINE COAST AIRPORT,08/08/2009,3.0,0.2, ,21.0,7.9,97,56,4.88,17.08
SUNSHINE COAST AIRPORT,09/08/2009,2.9,0.0, ,20.7,9.6,95,53,3.58,18.50
SUNSHINE COAST AIRPORT,10/08/2009,2.6,0.0, ,20.6,6.1,97,59,2.83,18.63
SUNSHINE COAST AIRPORT,11/08/2009,2.7,0.0, ,21.8,6.7,97,62,3.29,18.49
SUNSHINE COAST AIRPORT,12/08/2009,3.1,0.0, ,23.1,9.8,95,61,5.12,16.93
SUNSHINE COAST AIRPORT,13/08/2009,4.0,4.8, ,26.7,12.8,95,46,4.11,18.74
SUNSHINE COAST AIRPORT,14/08/2009,4.4,0.2, ,26.2,12.4,95,21,3.28,19.27
SUNSHINE COAST AIRPORT,15/08/2009,2.7,0.0, ,21.5,7.3,96,63,2.92,19.31
SUNSHINE COAST AIRPORT,16/08/2009,4.1,0.2, ,25.0,8.5,96,37,4.07,19.70
SUNSHINE COAST AIRPORT,17/08/2009,4.4,0.0, ,28.1,12.4,94,45,4.47,19.08
SUNSHINE COAST AIRPORT,18/08/2009,4.7,0.0, ,22.1,13.3,79,36,6.15,19.60
SUNSHINE COAST AIRPORT,19/08/2009,3.3,0.0, ,21.8,13.0,100,51,4.29,18.83
SUNSHINE COAST AIRPORT,20/08/2009,2.9,0.0, ,21.4,7.3,96,59,2.73,19.65
SUNSHINE COAST AIRPORT,21/08/2009,3.6,0.0, ,23.5,9.4,96,56,4.90,19.74
SUNSHINE COAST AIRPORT,22/08/2009,5.4,0.0, ,29.8,14.4,88,35,4.78,19.34
SUNSHINE COAST AIRPORT,23/08/2009,4.0,0.0, ,28.4,14.4,95,58,4.11,19.77
SUNSHINE COAST AIRPORT,24/08/2009,7.7,0.0, ,35.0,19.0,81,19,5.63,20.15
SUNSHINE COAST AIRPORT,25/08/2009,6.1,0.0, ,30.9,17.3,89,37,6.26,20.36
SUNSHINE COAST AIRPORT,26/08/2009,4.6,0.0, ,27.2,18.3,92,23,2.99,20.35
SUNSHINE COAST AIRPORT,27/08/2009,3.7,0.0, ,23.4,8.1,94,33,2.64,20.28
SUNSHINE COAST AIRPORT,28/08/2009,3.8,0.0, ,26.6,14.6,95,62,4.19,20.45
SUNSHINE COAST AIRPORT,29/08/2009,4.1,0.0, ,26.2,13.2,96,57,5.47,20.09
SUNSHINE COAST AIRPORT,30/08/2009,5.8,0.0, ,31.0,18.8,87,26,4.27,19.63
SUNSHINE COAST AIRPORT,31/08/2009,2.5,0.0, ,19.5,12.7,94,48,2.69,11.12
Totals:,,113.9,6, ,,,,,, 
