'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for November 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/11/2009,4.5,2.4, ,24.3,17.8,93,56,3.70,22.57
SUNSHINE COAST AIRPORT,02/11/2009,5.6,0.4, ,25.4,13.0,94,45,3.12,31.11
SUNSHINE COAST AIRPORT,03/11/2009,6.0,0.0, ,26.9,12.2,94,50,5.20,31.09
SUNSHINE COAST AIRPORT,04/11/2009,7.1,0.0, ,29.7,16.3,90,43,6.02,30.75
SUNSHINE COAST AIRPORT,05/11/2009,5.8,0.0, ,27.5,16.9,94,58,5.70,29.65
SUNSHINE COAST AIRPORT,06/11/2009,5.0,13.4, ,27.1,18.1,93,62,3.96,24.86
SUNSHINE COAST AIRPORT,07/11/2009,6.4,0.0, ,26.7,21.6,71,54,5.26,27.97
SUNSHINE COAST AIRPORT,08/11/2009,6.8,0.0, ,26.6,21.8,81,46,6.72,28.45
SUNSHINE COAST AIRPORT,09/11/2009,5.4,8.8, ,25.5,19.0,88,56,6.55,25.11
SUNSHINE COAST AIRPORT,10/11/2009,6.6,0.0, ,25.5,20.2,69,49,6.38,27.39
SUNSHINE COAST AIRPORT,11/11/2009,6.0,0.4, ,25.8,16.0,88,47,4.20,30.68
SUNSHINE COAST AIRPORT,12/11/2009, ,0.0, ,26.0,14.2,94,52,3.47, 
SUNSHINE COAST AIRPORT,13/11/2009,5.9,0.0, ,27.0,14.2,94,52,4.03,31.13
SUNSHINE COAST AIRPORT,14/11/2009,5.7,0.0, ,27.4,15.6,95,55,3.42,30.60
SUNSHINE COAST AIRPORT,15/11/2009,6.1,0.0, ,27.9,16.1,94,56,4.86,31.41
SUNSHINE COAST AIRPORT,16/11/2009, ,0.0, ,29.6,17.4,93,56,6.45, 
SUNSHINE COAST AIRPORT,17/11/2009, ,0.0, ,34.2,19.5,91,35,7.05, 
SUNSHINE COAST AIRPORT,18/11/2009, ,0.6, ,26.2,21.5,92,67,4.71, 
SUNSHINE COAST AIRPORT,19/11/2009, ,0.0, ,28.7,22.2,94,66,3.27, 
SUNSHINE COAST AIRPORT,20/11/2009, ,0.0, ,30.3,19.6,95,60,4.26, 
SUNSHINE COAST AIRPORT,21/11/2009, ,0.0, ,29.9,20.2,90,64,5.73, 
SUNSHINE COAST AIRPORT,22/11/2009, ,0.0, ,29.2,19.6,93,60,6.27, 
SUNSHINE COAST AIRPORT,23/11/2009, ,0.0, ,29.9,19.8,92,57,5.07, 
SUNSHINE COAST AIRPORT,24/11/2009, ,0.0, ,28.7,22.4,83,56,5.46, 
SUNSHINE COAST AIRPORT,25/11/2009, ,0.0, ,28.3,22.8,76,54,5.13, 
SUNSHINE COAST AIRPORT,26/11/2009, ,0.0, ,29.2,20.1,87,57,4.96, 
SUNSHINE COAST AIRPORT,27/11/2009, ,0.0, ,31.0,17.7,95,52,5.45, 
SUNSHINE COAST AIRPORT,28/11/2009,6.8,0.0, ,32.2,20.4,87,49,5.13,26.35
SUNSHINE COAST AIRPORT,29/11/2009,8.6,0.0, ,33.7,22.9,87,40,6.80,31.27
SUNSHINE COAST AIRPORT,30/11/2009,7.8,2.6, ,31.4,19.7,91,34,5.29,31.12
Totals:,,106.1,28.6, ,,,,,, 
