'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for December 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/12/2009,5.9,0.0, ,28.0,20.1,91,59,7.21,27.01
SUNSHINE COAST AIRPORT,02/12/2009,4.5,3.2, ,25.9,20.7,92,61,7.19,17.87
SUNSHINE COAST AIRPORT,03/12/2009,6.3,6.4, ,27.9,19.5,82,55,6.27,27.23
SUNSHINE COAST AIRPORT,04/12/2009,6.4,0.0, ,27.8,15.3,94,50,3.79,33.08
SUNSHINE COAST AIRPORT,05/12/2009,6.8,0.0, ,28.5,15.4,94,50,5.76,33.07
SUNSHINE COAST AIRPORT,06/12/2009,7.0,0.0, ,29.4,17.6,87,55,6.35,32.86
SUNSHINE COAST AIRPORT,07/12/2009,6.8,0.0, ,30.2,18.4,93,55,5.52,31.93
SUNSHINE COAST AIRPORT,08/12/2009,7.0,0.0, ,30.3,19.9,93,54,6.15,32.42
SUNSHINE COAST AIRPORT,09/12/2009,7.4,0.0, ,30.3,20.8,89,51,6.29,32.69
SUNSHINE COAST AIRPORT,10/12/2009,7.0,0.0, ,31.1,20.6,90,59,6.10,32.07
SUNSHINE COAST AIRPORT,11/12/2009,7.2,0.0, ,31.6,19.4,92,50,4.89,31.90
SUNSHINE COAST AIRPORT,12/12/2009,3.9,8.4, ,27.5,21.2,94,74,1.91,19.20
SUNSHINE COAST AIRPORT,13/12/2009,5.3,0.6, ,30.1,20.5,94,63,2.96,24.90
SUNSHINE COAST AIRPORT,14/12/2009,4.9,0.0, ,28.7,19.7,94,59,2.32,23.25
SUNSHINE COAST AIRPORT,15/12/2009,6.0,0.0, ,29.7,21.7,89,58,4.22,27.32
SUNSHINE COAST AIRPORT,16/12/2009,7.5,0.0, ,29.5,23.9,70,51,4.72,31.65
SUNSHINE COAST AIRPORT,17/12/2009,7.1,0.0, ,28.7,22.8,78,51,5.31,31.02
SUNSHINE COAST AIRPORT,18/12/2009,7.3,0.8, ,29.9,21.0,85,50,5.84,31.75
SUNSHINE COAST AIRPORT,19/12/2009,5.5,0.0, ,29.6,18.8,93,59,3.96,24.94
SUNSHINE COAST AIRPORT,20/12/2009,4.5,0.0, ,29.2,20.2,93,60,3.23,19.15
SUNSHINE COAST AIRPORT,21/12/2009,4.9,0.0, ,28.4,19.4,92,62,3.74,22.70
SUNSHINE COAST AIRPORT,22/12/2009,5.8,0.0, ,30.1,18.5,95,58,3.62,27.72
SUNSHINE COAST AIRPORT,23/12/2009,6.5,0.8, ,30.2,18.8,93,56,3.72,31.94
SUNSHINE COAST AIRPORT,24/12/2009,6.5,2.0, ,29.7,20.4,93,56,3.95,31.32
SUNSHINE COAST AIRPORT,25/12/2009,6.6,2.6, ,30.9,22.2,88,61,5.79,29.28
SUNSHINE COAST AIRPORT,26/12/2009,5.8,6.2, ,30.3,23.0,91,67,6.50,25.55
SUNSHINE COAST AIRPORT,27/12/2009,5.1,2.0, ,30.1,24.6,92,67,6.17,20.57
SUNSHINE COAST AIRPORT,28/12/2009,5.1,13.4, ,29.5,22.6,93,68,4.19,23.50
SUNSHINE COAST AIRPORT,29/12/2009,5.7,0.0, ,30.5,23.8,89,66,5.04,25.01
SUNSHINE COAST AIRPORT,30/12/2009,6.7,0.0, ,29.8,24.5,89,54,5.62,28.62
SUNSHINE COAST AIRPORT,31/12/2009,6.5,1.6, ,29.8,22.4,85,55,6.09,26.44
Totals:,,189.5,48, ,,,,,, 
