'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for February 2010,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/02/2010,4.7,25.0, ,27.3,22.7,92,57,10.11,11.94
SUNSHINE COAST AIRPORT,02/02/2010,6.6,8.2, ,28.5,23.4,72,55,8.25,21.03
SUNSHINE COAST AIRPORT,03/02/2010,6.8,0.0, ,29.7,24.9,80,55,5.68,27.43
SUNSHINE COAST AIRPORT,04/02/2010,6.0,1.0, ,30.6,22.4,89,55,4.42,25.22
SUNSHINE COAST AIRPORT,05/02/2010,5.7,0.0, ,30.7,20.9,92,55,3.33,25.22
SUNSHINE COAST AIRPORT,06/02/2010,5.7,0.0, ,30.0,21.5,92,66,3.98,27.87
SUNSHINE COAST AIRPORT,07/02/2010,3.6,4.2, ,29.5,23.3,92,72,5.16,13.24
SUNSHINE COAST AIRPORT,08/02/2010,5.9,17.4, ,29.1,23.0,88,60,6.47,25.22
SUNSHINE COAST AIRPORT,09/02/2010,6.0,10.6, ,28.9,21.2,92,60,5.13,28.54
SUNSHINE COAST AIRPORT,10/02/2010,6.3,6.0, ,29.8,21.1,87,59,5.37,28.77
SUNSHINE COAST AIRPORT,11/02/2010,6.1,2.8, ,29.3,21.7,91,58,4.11,29.54
SUNSHINE COAST AIRPORT,12/02/2010,5.8,0.0, ,29.4,18.3,94,60,2.58,30.47
SUNSHINE COAST AIRPORT,13/02/2010,5.1,0.0, ,29.6,20.1,94,63,4.48,23.40
SUNSHINE COAST AIRPORT,14/02/2010,6.3,0.4, ,31.2,20.6,94,57,5.29,28.03
SUNSHINE COAST AIRPORT,15/02/2010,6.7,0.0, ,33.2,24.1,92,56,5.68,26.86
SUNSHINE COAST AIRPORT,16/02/2010, ,0.0, , ,24.9,100,72,4.64,22.91
SUNSHINE COAST AIRPORT,17/02/2010, ,63.4, , , ,100,76,5.03,14.13
SUNSHINE COAST AIRPORT,18/02/2010, ,5.8, ,26.4, ,92,67,6.68,14.44
SUNSHINE COAST AIRPORT,19/02/2010,6.0,0.4, ,29.5,21.2,85,53,6.72,22.61
SUNSHINE COAST AIRPORT,20/02/2010,5.5,0.8, ,29.5,20.5,91,57,4.95,24.09
SUNSHINE COAST AIRPORT,21/02/2010,5.8,0.0, ,29.8,21.5,91,54,3.98,26.30
SUNSHINE COAST AIRPORT,22/02/2010,4.8,0.0, ,29.3,20.2,91,63,4.17,21.60
SUNSHINE COAST AIRPORT,23/02/2010,5.6,0.0, ,29.5,23.7,93,66,3.34,27.89
SUNSHINE COAST AIRPORT,24/02/2010,5.4,0.0, ,30.4,21.9,93,65,6.43,23.23
SUNSHINE COAST AIRPORT,25/02/2010,5.4,0.2, ,28.6,24.8,88,57,8.92,16.98
SUNSHINE COAST AIRPORT,26/02/2010,6.7,0.6, ,29.2,22.5,85,49,7.36,26.07
SUNSHINE COAST AIRPORT,27/02/2010,4.6,4.8, ,28.0,21.0,93,67,6.40,20.41
SUNSHINE COAST AIRPORT,28/02/2010,5.4,13.8, ,29.4,23.2,86,63,4.38,24.39
Totals:,,142.5,165.4, ,,,,,, 
