'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for April 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/04/2010,3.9,5.2, ,26.7,20.3,93,66,3.53,20.07
SUNSHINE COAST AIRPORT,02/04/2010,4.4,0.0, ,27.3,19.8,92,63,5.37,21.13
SUNSHINE COAST AIRPORT,03/04/2010,4.6,0.4, ,27.4,20.5,88,59,5.91,18.84
SUNSHINE COAST AIRPORT,04/04/2010,4.5,1.6, ,26.1,19.9,89,55,5.38,19.45
SUNSHINE COAST AIRPORT,05/04/2010,4.6,0.0, ,26.1,17.1,86,58,5.03,23.23
SUNSHINE COAST AIRPORT,06/04/2010,4.5,0.0, ,26.5,18.1,91,45,3.69,21.37
SUNSHINE COAST AIRPORT,07/04/2010,4.1,4.0, ,26.6,16.0,93,50,2.71,21.96
SUNSHINE COAST AIRPORT,08/04/2010,5.1,0.0, ,30.5,16.8,94,51,4.54,22.12
SUNSHINE COAST AIRPORT,09/04/2010,4.2,0.0, ,27.8,20.4,100,60,4.09,20.82
SUNSHINE COAST AIRPORT,10/04/2010,3.8, , ,28.4,19.4,93,61,3.15,18.03
SUNSHINE COAST AIRPORT,11/04/2010,4.2,0.0, ,31.1,20.4,95,62,3.58,18.65
SUNSHINE COAST AIRPORT,12/04/2010,4.3,13.2, ,29.5,20.7,91,52,3.66,18.19
SUNSHINE COAST AIRPORT,13/04/2010,3.0,19.0, ,23.3,17.3,94,53,5.13,8.08
SUNSHINE COAST AIRPORT,14/04/2010,4.2,4.6, ,25.5,18.4,91,59,6.12,19.14
SUNSHINE COAST AIRPORT,15/04/2010,4.2,4.4, ,26.0,17.4,92,57,4.60,21.10
SUNSHINE COAST AIRPORT,16/04/2010,3.6,6.4, ,24.2,17.8,92,61,6.22,16.05
SUNSHINE COAST AIRPORT,17/04/2010,3.5,11.6, ,25.9,18.5,94,65,5.16,16.92
SUNSHINE COAST AIRPORT,18/04/2010,4.0,23.8, ,26.2,18.6,93,63,4.89,20.44
SUNSHINE COAST AIRPORT,19/04/2010,4.3,9.2, ,25.9,19.2,92,57,6.84,18.18
SUNSHINE COAST AIRPORT,20/04/2010,3.7,0.8, ,26.2,18.4,92,60,5.34,16.04
SUNSHINE COAST AIRPORT,21/04/2010,3.3,34.0, ,26.7,19.0,94,63,4.49,14.28
SUNSHINE COAST AIRPORT,22/04/2010,3.7,26.8, ,26.3,19.0,93,59,4.66,16.58
SUNSHINE COAST AIRPORT,23/04/2010,3.7,1.2, ,26.5,18.7,93,65,3.89,19.77
SUNSHINE COAST AIRPORT,24/04/2010,2.4,5.4, ,24.9,19.6,94,79,2.33,13.40
SUNSHINE COAST AIRPORT,25/04/2010,4.1,4.4, ,29.5,19.0,95,60,3.71,20.17
SUNSHINE COAST AIRPORT,26/04/2010,4.4,0.0, ,24.7,18.6,89,47,4.89,20.75
SUNSHINE COAST AIRPORT,27/04/2010,3.4,0.0, ,25.0,14.1,92,58,3.15,19.57
SUNSHINE COAST AIRPORT,28/04/2010,3.2,0.0, ,25.7,16.4,94,60,2.45,18.71
SUNSHINE COAST AIRPORT,29/04/2010,3.7,0.0, ,27.8,16.3,95,55,3.09,19.01
SUNSHINE COAST AIRPORT,30/04/2010,4.0,0.2, ,25.7,15.2,95,40,3.35,19.99
Totals:,,118.6,176.2, ,,,,,, 
