'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for May 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/05/2010,4.1,0.0, ,26.2,17.6,84,53,4.51,18.94
SUNSHINE COAST AIRPORT,02/05/2010,4.0,0.0, ,26.5,17.4,89,56,4.95,18.93
SUNSHINE COAST AIRPORT,03/05/2010,3.4,0.0, ,25.7,16.8,93,57,4.81,14.75
SUNSHINE COAST AIRPORT,04/05/2010,2.7,6.2, ,24.9,18.2,95,63,2.57,14.73
SUNSHINE COAST AIRPORT,05/05/2010,3.0,2.0, ,25.8,14.3,95,65,1.87,18.96
SUNSHINE COAST AIRPORT,06/05/2010,3.8,0.4, ,25.5,14.0,94,45,3.96,18.86
SUNSHINE COAST AIRPORT,07/05/2010,4.1,0.0, ,24.0,14.3,93,40,4.64,19.09
SUNSHINE COAST AIRPORT,08/05/2010,3.6,0.0, ,25.5,10.7,93,55,4.77,17.81
SUNSHINE COAST AIRPORT,09/05/2010,4.0,0.0, ,25.0,17.4,85,54,5.49,18.25
SUNSHINE COAST AIRPORT,10/05/2010,3.0,0.2, ,24.7,17.6,92,65,4.33,15.07
SUNSHINE COAST AIRPORT,11/05/2010,2.7,0.2, ,24.4,14.7,94,62,2.55,16.50
SUNSHINE COAST AIRPORT,12/05/2010,4.2,1.4, ,27.5,12.2,95,27,3.17,18.54
SUNSHINE COAST AIRPORT,13/05/2010,3.4,0.0, ,23.4,9.3,94,42,3.47,18.44
SUNSHINE COAST AIRPORT,14/05/2010,3.8,0.2, ,24.9,7.1,95,23,2.78,18.74
SUNSHINE COAST AIRPORT,15/05/2010,3.2,0.2, ,23.6,6.8,94,38,2.49,18.33
SUNSHINE COAST AIRPORT,16/05/2010,2.3,0.0, ,20.5,10.0,94,53,3.08,11.60
SUNSHINE COAST AIRPORT,17/05/2010,2.8,0.0, ,23.0,12.4,93,54,3.50,14.31
SUNSHINE COAST AIRPORT,18/05/2010,3.3,0.4, ,23.2,9.1,95,34,3.04,17.25
SUNSHINE COAST AIRPORT,19/05/2010,3.1,0.2, ,23.3,8.4,94,48,3.45,17.64
SUNSHINE COAST AIRPORT,20/05/2010,2.9,0.0, ,23.7,11.6,92,60,4.36,15.20
SUNSHINE COAST AIRPORT,21/05/2010,2.2,1.4, ,21.7,16.7,94,72,3.35,12.76
SUNSHINE COAST AIRPORT,22/05/2010,2.9,7.8, ,23.1,11.6,95,50,2.99,17.28
SUNSHINE COAST AIRPORT,23/05/2010,3.2,0.0, ,23.4,9.1,95,56,5.16,16.79
SUNSHINE COAST AIRPORT,24/05/2010,2.6,1.4, ,22.1,16.2,93,54,4.15,11.13
SUNSHINE COAST AIRPORT,25/05/2010,1.4,8.0, ,22.3,16.3,95,86,2.75,7.36
SUNSHINE COAST AIRPORT,26/05/2010,3.8,0.4, ,24.8,16.8,91,39,4.41,16.47
SUNSHINE COAST AIRPORT,27/05/2010,3.4,0.0, ,23.6,10.3,88,47,4.59,16.52
SUNSHINE COAST AIRPORT,28/05/2010,2.6,0.0, ,23.0,16.7,93,70,5.18,14.24
SUNSHINE COAST AIRPORT,29/05/2010,2.0,16.6, ,22.3,17.0,95,66,2.87,10.49
SUNSHINE COAST AIRPORT,30/05/2010,3.0,0.2, ,21.2,8.9,94,36,3.18,16.69
SUNSHINE COAST AIRPORT,31/05/2010,2.6,0.0, ,22.0,6.3,94,44,2.70,15.31
Totals:,,97.1,47.2, ,,,,,, 
