'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for July 2010,,,,,,,,,,
Issued at 04:30 GMT on Sunday 01 August 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/07/2010,2.4,0.2, ,19.6,13.2,90,42,3.11,10.24
SUNSHINE COAST AIRPORT,02/07/2010,1.7,0.0, ,18.3,12.2,85,70,3.69,6.17
SUNSHINE COAST AIRPORT,03/07/2010,2.9,5.6, ,19.5,14.0,94,33,3.94,13.88
SUNSHINE COAST AIRPORT,04/07/2010,3.0,0.0, ,20.1,5.9,90,47,4.94,15.63
SUNSHINE COAST AIRPORT,05/07/2010,1.9,0.0, ,20.2,11.1,94,63,3.42,8.83
SUNSHINE COAST AIRPORT,06/07/2010,2.2,4.4, ,22.7,11.4,95,58,2.76,12.00
SUNSHINE COAST AIRPORT,07/07/2010,2.3,0.0, ,18.3,13.8,87,32,2.86,7.18
SUNSHINE COAST AIRPORT,08/07/2010,2.3,0.2, ,20.6,11.8,90,63,5.41,9.05
SUNSHINE COAST AIRPORT,09/07/2010,3.0,0.0, ,21.2,15.1,94,59,7.52,14.08
SUNSHINE COAST AIRPORT,10/07/2010,2.5,23.8, ,21.6,13.7,92,60,4.42,11.45
SUNSHINE COAST AIRPORT,11/07/2010,1.9,0.4, ,21.0,11.7,95,65,2.71,10.96
SUNSHINE COAST AIRPORT,12/07/2010,2.0,0.2, ,21.3,9.9,96,67,2.31,15.11
SUNSHINE COAST AIRPORT,13/07/2010,2.1,0.0, ,22.0,9.4,96,65,2.57,15.07
SUNSHINE COAST AIRPORT,14/07/2010,2.5,0.2, ,23.7,12.1,94,58,3.83,11.34
SUNSHINE COAST AIRPORT,15/07/2010,3.2,0.0, ,21.3,4.9,94,33,3.70,16.41
SUNSHINE COAST AIRPORT,16/07/2010,2.9,0.0, ,20.2,6.1,90,44,3.90,16.27
SUNSHINE COAST AIRPORT,17/07/2010,2.8,0.0, ,20.9,9.6,93,48,3.90,16.20
SUNSHINE COAST AIRPORT,18/07/2010,2.3,0.0, ,21.3,4.8,95,58,2.56,15.92
SUNSHINE COAST AIRPORT,19/07/2010,1.6,0.0, ,20.7,10.0,95,75,2.51,9.77
SUNSHINE COAST AIRPORT,20/07/2010,2.7,4.2, ,20.7,13.3,95,38,2.93,13.83
SUNSHINE COAST AIRPORT,21/07/2010,3.0,0.2, ,19.5,10.4,84,42,4.03,15.85
SUNSHINE COAST AIRPORT,22/07/2010,3.3,0.0, ,19.8,11.0,84,40,4.54,16.62
SUNSHINE COAST AIRPORT,23/07/2010,3.3,0.0, ,20.8,8.6,87,50,5.88,16.09
SUNSHINE COAST AIRPORT,24/07/2010,2.1,0.0, ,19.3,13.6,93,69,4.73,11.58
SUNSHINE COAST AIRPORT,25/07/2010,1.7,5.2, ,19.5,14.3,94,74,3.48,9.08
SUNSHINE COAST AIRPORT,26/07/2010,2.8,0.6, ,21.2,14.7,92,61,5.08,14.71
SUNSHINE COAST AIRPORT,27/07/2010,2.0,5.2, ,20.2,14.2,94,76,5.14,11.33
SUNSHINE COAST AIRPORT,28/07/2010,2.3,10.2, ,23.4,15.3,95,64,4.26,9.26
SUNSHINE COAST AIRPORT,29/07/2010,2.1,23.2, ,22.8,16.2,95,80,2.46,13.71
SUNSHINE COAST AIRPORT,30/07/2010, ,5.0, ,23.5,15.5,95,75,2.58, 
SUNSHINE COAST AIRPORT,31/07/2010, ,0.2, ,27.7,18.1,93,52,4.56, 
Totals:,,70.8,89, ,,,,,, 
