'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for January 2011,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 February 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/01/2011,3.5,10.4, ,27.8,21.3,94,79,4.98,16.04
SUNSHINE COAST AIRPORT,02/01/2011,5.4,4.2, ,28.9,22.3,90,73,4.03,26.90
SUNSHINE COAST AIRPORT,03/01/2011,6.1,0.0, ,29.3,22.0,93,64,3.89,30.45
SUNSHINE COAST AIRPORT,04/01/2011,5.8,0.0, ,29.2,20.8,93,62,4.67,27.22
SUNSHINE COAST AIRPORT,05/01/2011,5.5,2.6, ,28.8,21.2,93,65,3.61,26.92
SUNSHINE COAST AIRPORT,06/01/2011,3.3,4.0, ,27.3,20.7,93,66,3.59,11.98
SUNSHINE COAST AIRPORT,07/01/2011,4.0,33.2, ,27.5,18.2,90,65,9.09,10.85
SUNSHINE COAST AIRPORT,08/01/2011,3.8,11.4, ,26.6,21.5,92,67,6.58,13.21
SUNSHINE COAST AIRPORT,09/01/2011,2.3,32.4, ,26.1,22.0,95,78,7.37,5.63
SUNSHINE COAST AIRPORT,10/01/2011,3.3,168.4, ,27.2,20.6,94,76,8.91,12.61
SUNSHINE COAST AIRPORT,11/01/2011,1.8,107.0, ,27.2,22.0,94,83,7.65,2.89
SUNSHINE COAST AIRPORT,12/01/2011,4.6,87.4, ,28.2,22.2,91,73,6.21,20.63
SUNSHINE COAST AIRPORT,13/01/2011,6.5,12.2, ,28.3,23.7,80,59,6.25,27.79
SUNSHINE COAST AIRPORT,14/01/2011,5.9,1.0, ,28.2,22.8,84,60,6.04,25.17
SUNSHINE COAST AIRPORT,15/01/2011,6.4,0.0, ,28.5,23.5,85,53,5.03,27.40
SUNSHINE COAST AIRPORT,16/01/2011,5.5,0.0, ,29.0,20.2,88,58,5.26,23.09
SUNSHINE COAST AIRPORT,17/01/2011,6.3,0.0, ,28.8,18.4,93,53,3.86,31.56
SUNSHINE COAST AIRPORT,18/01/2011,5.4,0.0, ,30.2,21.4,92,67,2.68,26.16
SUNSHINE COAST AIRPORT,19/01/2011,4.5,0.0, ,31.2,23.8,92,70,4.85,17.88
SUNSHINE COAST AIRPORT,20/01/2011,5.9,45.8, ,29.6,21.3,93,59,5.30,26.55
SUNSHINE COAST AIRPORT,21/01/2011,5.1,24.2, ,27.2,20.3,93,61,5.84,23.41
SUNSHINE COAST AIRPORT,22/01/2011,5.3,6.4, ,27.5,20.3,91,53,6.52,20.08
SUNSHINE COAST AIRPORT,23/01/2011,5.9,4.8, ,28.3,20.1,86,54,6.23,24.30
SUNSHINE COAST AIRPORT,24/01/2011,6.4,0.0, ,27.4,19.1,91,47,3.60,32.27
SUNSHINE COAST AIRPORT,25/01/2011,6.1,0.0, ,28.6,18.2,93,57,3.36,31.74
SUNSHINE COAST AIRPORT,26/01/2011,5.9,0.0, ,28.6,18.5,93,59,3.34,30.40
SUNSHINE COAST AIRPORT,27/01/2011,6.2,0.0, ,28.4,20.3,90,58,3.95,30.74
SUNSHINE COAST AIRPORT,28/01/2011,6.1,0.0, ,28.7,19.6,92,60,4.87,30.05
SUNSHINE COAST AIRPORT,29/01/2011,5.7,0.8, ,28.4,23.5,86,53,9.53,15.22
SUNSHINE COAST AIRPORT,30/01/2011,4.6,1.6, ,27.7,22.8,86,66,7.07,16.15
SUNSHINE COAST AIRPORT,31/01/2011,5.7,0.0, ,29.0,23.5,81,63,5.30,23.32
Totals:,,158.8,557.8, ,,,,,, 
