'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for February 2011,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 March 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/02/2011,4.8,1.8, ,29.1,24.1,91,73,4.36,22.27
SUNSHINE COAST AIRPORT,02/02/2011,5.5,0.4, ,30.2,25.7,90,71,4.19,25.47
SUNSHINE COAST AIRPORT,03/02/2011,6.4,0.0, ,30.5,25.6,85,67,4.87,28.74
SUNSHINE COAST AIRPORT,04/02/2011,6.2,0.2, ,30.8,23.1,92,65,4.00,29.83
SUNSHINE COAST AIRPORT,05/02/2011,5.8,0.0, ,31.1,25.8,88,68,5.26,25.08
SUNSHINE COAST AIRPORT,06/02/2011,5.3,9.4, ,30.2,24.3,92,74,3.82,25.36
SUNSHINE COAST AIRPORT,07/02/2011,3.1,0.4, ,26.4,23.4,93,74,5.55,11.20
SUNSHINE COAST AIRPORT,08/02/2011,3.6,4.4, ,26.7,21.7,93,74,5.98,15.08
SUNSHINE COAST AIRPORT,09/02/2011,5.3,10.0, ,28.8,21.4,91,54,6.91,18.58
SUNSHINE COAST AIRPORT,10/02/2011,5.7,8.2, ,29.2,20.8,83,52,5.88,20.36
SUNSHINE COAST AIRPORT,11/02/2011,5.9,0.2, ,28.7,21.1,88,58,4.65,27.27
SUNSHINE COAST AIRPORT,12/02/2011,5.8,0.2, ,28.5,18.9,91,57,3.56,28.97
SUNSHINE COAST AIRPORT,13/02/2011,5.2,0.0, ,29.1,20.2,91,62,4.50,24.05
SUNSHINE COAST AIRPORT,14/02/2011,3.8,17.2, ,28.1,22.6,93,75,6.02,16.31
SUNSHINE COAST AIRPORT,15/02/2011,4.2,22.4, ,28.3,21.3,92,68,5.10,17.68
SUNSHINE COAST AIRPORT,16/02/2011,4.5,7.4, ,28.3,21.6,92,69,4.95,20.47
SUNSHINE COAST AIRPORT,17/02/2011,5.5,10.8, ,28.9,22.2,93,64,4.26,26.90
SUNSHINE COAST AIRPORT,18/02/2011,5.6,0.0, ,29.4,21.3,92,64,4.74,26.82
SUNSHINE COAST AIRPORT,19/02/2011,5.6,0.0, ,29.4,25.3,91,64,3.91,26.30
SUNSHINE COAST AIRPORT,20/02/2011,6.4,0.0, ,31.0,20.5,93,53,4.25,29.27
SUNSHINE COAST AIRPORT,21/02/2011,6.2,0.0, ,32.9,23.4,91,60,4.73,25.84
SUNSHINE COAST AIRPORT,22/02/2011,4.4,98.8, ,26.2,20.8,95,58,10.17,13.15
SUNSHINE COAST AIRPORT,23/02/2011,4.7,9.8, ,26.9,18.1,92,60,6.79,19.98
SUNSHINE COAST AIRPORT,24/02/2011,4.6,10.2, ,26.7,19.0,93,62,5.56,20.66
SUNSHINE COAST AIRPORT,25/02/2011,5.4,11.6, ,27.2,19.2,93,56,3.49,27.98
SUNSHINE COAST AIRPORT,26/02/2011,5.5,0.0, ,27.6,17.7,93,53,3.11,28.63
SUNSHINE COAST AIRPORT,27/02/2011,5.6,0.0, ,28.7,19.7,92,54,3.20,28.04
SUNSHINE COAST AIRPORT,28/02/2011,5.8,0.0, ,29.7,18.7,93,57,3.89,28.47
Totals:,,146.4,223.4, ,,,,,, 
