'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for July 2011,,,,,,,,,,
Issued at 22:34 GMT on Monday 01 August 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/07/2011,3.3,2.0, ,20.7,13.5,82,53,6.28,15.00
SUNSHINE COAST AIRPORT,02/07/2011,2.7,0.0, ,20.6,12.8,87,57,4.87,14.26
SUNSHINE COAST AIRPORT,03/07/2011,2.4,0.2, ,21.2,13.0,94,56,3.48,14.34
SUNSHINE COAST AIRPORT,04/07/2011,2.8,0.0, ,23.2,8.7,95,40,2.86,15.27
SUNSHINE COAST AIRPORT,05/07/2011,3.5,0.0, ,23.5,9.8,90,32,3.89,15.40
SUNSHINE COAST AIRPORT,06/07/2011,3.3,0.0, ,21.7,4.9,91,25,3.36,15.79
SUNSHINE COAST AIRPORT,07/07/2011, ,0.0, , ,4.1,100,25,2.28,15.53
SUNSHINE COAST AIRPORT,08/07/2011, , , , , ,100,35,2.30,15.79
SUNSHINE COAST AIRPORT,09/07/2011, , , , , ,100,23,3.25,16.22
SUNSHINE COAST AIRPORT,10/07/2011, , , , , ,100,31,2.40,16.35
SUNSHINE COAST AIRPORT,11/07/2011, , , , , ,100,25,3.60,16.27
SUNSHINE COAST AIRPORT,12/07/2011, , , , , ,100,43,2.63,15.97
SUNSHINE COAST AIRPORT,13/07/2011, , , ,22.4, ,95,34,3.16,15.89
SUNSHINE COAST AIRPORT,14/07/2011,3.0,0.0, ,22.9,6.7,95,31,2.89,15.81
SUNSHINE COAST AIRPORT,15/07/2011,2.0,0.8, ,17.8,10.6,93,65,5.80,7.93
SUNSHINE COAST AIRPORT,16/07/2011,1.5,35.6, ,16.9,13.2,94,81,5.59,7.73
SUNSHINE COAST AIRPORT,17/07/2011,2.4,16.8, ,20.5,13.2,94,60,4.12,13.85
SUNSHINE COAST AIRPORT,18/07/2011,2.3,0.0, ,21.8,8.7,95,58,2.33,15.97
SUNSHINE COAST AIRPORT,19/07/2011,3.7,0.2, ,20.3,9.6,82,31,4.76,16.69
SUNSHINE COAST AIRPORT,20/07/2011,3.3,0.0, ,20.2,6.9,75,41,5.06,10.49
SUNSHINE COAST AIRPORT,21/07/2011,4.0,0.0, ,23.8,10.7,75,32,4.32,16.57
SUNSHINE COAST AIRPORT,22/07/2011,3.4,0.0, ,22.5,8.7,87,40,4.01,16.33
SUNSHINE COAST AIRPORT,23/07/2011,3.2,0.0, ,21.0,9.4,91,41,4.09,16.50
SUNSHINE COAST AIRPORT,24/07/2011,2.7,0.0, ,19.6,5.3,94,47,3.47,16.57
SUNSHINE COAST AIRPORT,25/07/2011,3.2,0.0, ,21.5,6.6,95,24,3.04,16.23
SUNSHINE COAST AIRPORT,26/07/2011,3.7,0.0, ,23.9,5.8,92,24,3.41,14.83
SUNSHINE COAST AIRPORT,27/07/2011,2.9,0.0, ,21.0,5.9,94,36,2.95,16.03
SUNSHINE COAST AIRPORT,28/07/2011,3.5,0.0, ,20.1,9.7,87,34,4.50,16.54
SUNSHINE COAST AIRPORT,29/07/2011,3.2,0.2, ,21.4,13.4,84,53,5.40,13.89
SUNSHINE COAST AIRPORT,30/07/2011,2.9,0.0, ,21.3,11.3,90,53,4.52,14.03
SUNSHINE COAST AIRPORT,31/07/2011,2.9,0.0, ,21.8,12.3,93,50,3.85,14.30
Totals:,,71.8,55.8, ,,,,,, 
