'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for August 2011,,,,,,,,,,
Issued at 22:34 GMT on Thursday 01 September 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/08/2011,2.7,0.0, ,21.6,6.6,95,46,2.53,16.50
SUNSHINE COAST AIRPORT,02/08/2011,2.4,0.0, ,21.7,6.7,95,53,2.10,16.25
SUNSHINE COAST AIRPORT,03/08/2011,2.7,0.0, ,21.8,6.4,95,52,3.34,15.46
SUNSHINE COAST AIRPORT,04/08/2011, ,0.0, ,21.9,9.8,92,54,4.16, 
SUNSHINE COAST AIRPORT,05/08/2011,2.8,2.0, ,22.1,12.3,90,52,4.31,10.36
SUNSHINE COAST AIRPORT,06/08/2011,2.3,2.0, ,21.7,7.7,95,61,2.53,14.35
SUNSHINE COAST AIRPORT,07/08/2011,2.6,0.0, ,23.1,12.0,93,61,3.38,13.59
SUNSHINE COAST AIRPORT,08/08/2011,3.4,0.0, ,25.2,11.0,95,39,3.53,12.57
SUNSHINE COAST AIRPORT,09/08/2011,3.8,2.6, ,22.3,5.8,88,26,3.56,17.53
SUNSHINE COAST AIRPORT,10/08/2011,4.0,0.0, ,23.0,3.5,92,23,3.62,17.60
SUNSHINE COAST AIRPORT,11/08/2011,2.5,0.0, ,19.3,7.7,89,44,2.93,11.41
SUNSHINE COAST AIRPORT,12/08/2011,3.7,0.0, ,21.5,7.3,92,28,3.77,17.47
SUNSHINE COAST AIRPORT,13/08/2011,2.8,0.0, ,20.9,6.0,93,57,4.20,15.12
SUNSHINE COAST AIRPORT,14/08/2011,2.6,0.0, ,22.2,11.2,94,53,2.96,12.19
SUNSHINE COAST AIRPORT,15/08/2011,2.8,0.2, ,21.1,7.1,94,53,3.29,16.57
SUNSHINE COAST AIRPORT,16/08/2011,2.7,0.0, ,20.9,7.4,95,57,3.06,16.73
SUNSHINE COAST AIRPORT,17/08/2011,2.8,0.0, ,21.7,7.5,95,54,3.05,16.54
SUNSHINE COAST AIRPORT,18/08/2011,3.3,0.0, ,22.3,10.5,94,34,3.40,12.67
SUNSHINE COAST AIRPORT,19/08/2011,3.7,0.2, ,21.4,3.7,93,31,3.58,18.89
SUNSHINE COAST AIRPORT,20/08/2011,3.8,0.0, ,22.0,6.0,89,39,4.61,17.42
SUNSHINE COAST AIRPORT,21/08/2011,2.4,0.0, ,17.4,13.8,92,64,6.77,9.78
SUNSHINE COAST AIRPORT,22/08/2011,2.0,48.4, ,18.4,12.9,93,78,8.25,9.93
SUNSHINE COAST AIRPORT,23/08/2011,2.5,42.0, ,21.0,13.8,93,71,7.21,11.21
SUNSHINE COAST AIRPORT,24/08/2011,3.2,5.4, ,21.2,14.8,88,63,8.16,12.48
SUNSHINE COAST AIRPORT,25/08/2011,2.8,0.0, ,22.0,15.0,89,69,6.20,12.04
SUNSHINE COAST AIRPORT,26/08/2011,2.1,0.0, ,20.6,16.7,93,73,4.80,8.70
SUNSHINE COAST AIRPORT,27/08/2011,1.2,21.2, ,20.2,17.0,94,90,5.24,4.77
SUNSHINE COAST AIRPORT,28/08/2011,3.2,36.4, ,22.1,15.6,95,61,3.11,18.87
SUNSHINE COAST AIRPORT,29/08/2011,3.2,0.0, ,23.3,12.1,95,63,2.89,20.27
SUNSHINE COAST AIRPORT,30/08/2011,2.1,0.0, ,22.5,13.2,94,68,2.80,8.88
SUNSHINE COAST AIRPORT,31/08/2011,3.3,6.8, ,21.5,12.9,92,60,3.61,19.93
Totals:,,85.4,167.2, ,,,,,, 
