'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for November 2011,,,,,,,,,,
Issued at 22:35 GMT on Thursday 01 December 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/11/2011,4.0,0.4, ,24.2,17.7,91,57,4.12,17.54
SUNSHINE COAST AIRPORT,02/11/2011,5.3,0.2, ,27.4,13.9,94,54,4.18,26.62
SUNSHINE COAST AIRPORT,03/11/2011,5.8,0.0, ,27.9,17.5,90,54,3.86,28.86
SUNSHINE COAST AIRPORT,04/11/2011,5.2,0.0, ,26.0,19.6,92,61,6.64,25.20
SUNSHINE COAST AIRPORT,05/11/2011,5.0,0.0, ,25.6,21.0,90,57,4.46,23.41
SUNSHINE COAST AIRPORT,06/11/2011,5.2,0.0, ,26.2,13.3,94,49,3.35,27.05
SUNSHINE COAST AIRPORT,07/11/2011,5.7,0.0, ,27.0,13.1,93,52,3.85,30.01
SUNSHINE COAST AIRPORT,08/11/2011,5.7,0.0, ,27.1,14.3,93,55,3.85,30.83
SUNSHINE COAST AIRPORT,09/11/2011,6.0,0.0, ,27.8,15.0,93,53,4.43,31.03
SUNSHINE COAST AIRPORT,10/11/2011,6.0,0.0, ,27.7,15.6,93,55,4.72,31.13
SUNSHINE COAST AIRPORT,11/11/2011,5.9,0.0, ,28.0,19.1,91,59,3.84,30.41
SUNSHINE COAST AIRPORT,12/11/2011,6.0,0.0, ,27.3,18.2,89,54,3.86,30.91
SUNSHINE COAST AIRPORT,13/11/2011,5.9,0.0, ,27.6,16.5,93,56,4.96,29.67
SUNSHINE COAST AIRPORT,14/11/2011,6.5,0.0, ,28.6,17.6,92,51,5.49,30.96
SUNSHINE COAST AIRPORT,15/11/2011,6.4,0.0, ,28.5,18.1,90,53,4.77,31.62
SUNSHINE COAST AIRPORT,16/11/2011,6.0,0.0, ,28.5,18.2,93,61,3.83,31.62
SUNSHINE COAST AIRPORT,17/11/2011,5.6,0.0, ,27.5,17.4,93,56,2.74,29.39
SUNSHINE COAST AIRPORT,18/11/2011,5.6,0.0, ,28.0,16.0,93,50,2.32,29.09
SUNSHINE COAST AIRPORT,19/11/2011,6.2,0.0, ,28.0,15.3,92,47,3.24,31.76
SUNSHINE COAST AIRPORT,20/11/2011,6.2,0.0, ,28.4,15.0,93,54,4.54,31.43
SUNSHINE COAST AIRPORT,21/11/2011,6.7,0.0, ,29.0,16.3,93,48,4.72,32.15
SUNSHINE COAST AIRPORT,22/11/2011,6.2,0.0, ,28.9,15.1,93,54,5.25,30.61
SUNSHINE COAST AIRPORT,23/11/2011,5.7,0.0, ,29.8,20.1,90,65,5.35,26.34
SUNSHINE COAST AIRPORT,24/11/2011,4.3,0.0, ,29.4,22.4,93,70,4.08,18.70
SUNSHINE COAST AIRPORT,25/11/2011,5.6,43.8, ,28.9,20.5,94,66,3.34,28.71
SUNSHINE COAST AIRPORT,26/11/2011,5.7,0.0, ,29.4,20.8,90,64,5.09,26.75
SUNSHINE COAST AIRPORT,27/11/2011,6.7,0.0, ,29.8,20.5,91,55,4.95,31.52
SUNSHINE COAST AIRPORT,28/11/2011,6.0,0.0, ,29.0,19.1,92,68,2.61,31.92
SUNSHINE COAST AIRPORT,29/11/2011,6.0,0.0, ,28.8,19.7,93,61,3.07,30.97
SUNSHINE COAST AIRPORT,30/11/2011,5.4,0.0, ,28.5,22.6,91,63,3.94,24.97
Totals:,,172.5,44.4, ,,,,,, 
