'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for December 2011,,,,,,,,,,
Issued at 22:34 GMT on Sunday 01 January 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/12/2011,5.0,0.0, ,28.0,19.3,93,62,5.26,22.49
SUNSHINE COAST AIRPORT,02/12/2011,5.3,14.0, ,24.7,17.9,85,58,8.65,22.70
SUNSHINE COAST AIRPORT,03/12/2011,6.4,0.0, ,22.8,21.5,59,59,6.58,28.24
SUNSHINE COAST AIRPORT,04/12/2011,6.2,0.0, ,26.6,22.8,84,52,3.25,29.98
SUNSHINE COAST AIRPORT,05/12/2011,4.0, , ,24.1,17.5,90,65,7.20,16.22
SUNSHINE COAST AIRPORT,06/12/2011,5.4,9.0, ,25.0,18.6,83,50,8.30,18.42
SUNSHINE COAST AIRPORT,07/12/2011,3.3,17.4, ,22.1,17.5,92,64,6.65,12.05
SUNSHINE COAST AIRPORT,08/12/2011, ,50.6, , ,18.1,100,65,6.28,24.21
SUNSHINE COAST AIRPORT,09/12/2011, , , ,26.4, ,83,56,4.84,29.48
SUNSHINE COAST AIRPORT,10/12/2011,4.2,27.8, ,27.0,19.6,92,74,3.74,20.54
SUNSHINE COAST AIRPORT,11/12/2011,4.9,9.6, ,28.4,19.3,92,72,3.88,24.70
SUNSHINE COAST AIRPORT,12/12/2011,6.5,21.6, ,32.8,21.3,92,45,3.00,27.90
SUNSHINE COAST AIRPORT,13/12/2011,5.8,8.0, ,27.6,19.9,92,64,4.20,30.19
SUNSHINE COAST AIRPORT,14/12/2011, ,0.4, ,27.3,19.5,92,61,4.46, 
SUNSHINE COAST AIRPORT,15/12/2011,4.7,8.6, ,26.0,20.6,91,62,5.86,20.62
SUNSHINE COAST AIRPORT,16/12/2011,5.4,9.4, ,26.7,19.0,91,52,5.83,22.57
SUNSHINE COAST AIRPORT,17/12/2011,6.4,0.0, ,26.9,18.0,82,52,6.56,28.99
SUNSHINE COAST AIRPORT,18/12/2011,5.4,0.0, ,25.5,18.6,78,54,4.91,23.19
SUNSHINE COAST AIRPORT,19/12/2011,5.2,0.0, ,26.2,15.8,90,51,3.21,25.55
SUNSHINE COAST AIRPORT,20/12/2011,6.4,0.0, ,27.6,17.2,90,48,3.88,31.70
SUNSHINE COAST AIRPORT,21/12/2011,6.3,0.0, ,27.8,18.2,91,53,4.42,30.93
SUNSHINE COAST AIRPORT,22/12/2011,6.8,0.0, ,27.9,22.0,78,57,6.66,29.86
SUNSHINE COAST AIRPORT,23/12/2011,4.4,0.0, ,26.2,22.1,92,60,6.03,16.41
SUNSHINE COAST AIRPORT,24/12/2011,3.7,77.2, ,25.8,19.8,94,76,5.58,17.77
SUNSHINE COAST AIRPORT,25/12/2011,6.4,20.6, ,27.4,19.6,89,54,7.11,29.74
SUNSHINE COAST AIRPORT,26/12/2011,7.1,0.0, ,28.2,18.3,90,42,4.57,33.75
SUNSHINE COAST AIRPORT,27/12/2011,5.8,0.0, ,32.9,19.1,92,39,3.65,19.23
SUNSHINE COAST AIRPORT,28/12/2011,6.5,0.0, ,28.0,19.5,85,52,6.45,28.49
SUNSHINE COAST AIRPORT,29/12/2011,5.5,0.0, ,27.5,21.2,83,57,5.73,21.89
SUNSHINE COAST AIRPORT,30/12/2011,6.3,5.4, ,27.8,20.0,89,53,7.49,26.52
SUNSHINE COAST AIRPORT,31/12/2011,4.9,5.6, ,26.6,19.4,84,57,6.82,16.84
Totals:,,154.2,285.2, ,,,,,, 
