'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for September 2012,,,,,,,,,,
Issued at 22:38 GMT on Monday 01 October 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/09/2012,5.0,0.0, ,22.3,10.7,82,19,4.84,20.36
SUNSHINE COAST AIRPORT,02/09/2012,4.0,0.0, ,20.3,6.4,91,31,4.05,20.42
SUNSHINE COAST AIRPORT,03/09/2012,3.5,0.0, ,22.6,5.8,94,47,3.21,19.85
SUNSHINE COAST AIRPORT,04/09/2012,3.6,0.0, ,23.4,7.1,94,47,2.99,20.01
SUNSHINE COAST AIRPORT,05/09/2012,4.1,0.0, ,23.9,7.0,94,41,4.03,20.19
SUNSHINE COAST AIRPORT,06/09/2012,5.0,0.0, ,25.6,10.8,93,38,5.34,20.90
SUNSHINE COAST AIRPORT,07/09/2012,5.6,0.0, ,29.6,13.0,93,34,4.62,21.38
SUNSHINE COAST AIRPORT,08/09/2012,5.4,0.0, ,26.2,9.7,91,11,3.72,21.50
SUNSHINE COAST AIRPORT,09/09/2012,4.7,0.2, ,24.5,5.2,87,38,4.77,21.33
SUNSHINE COAST AIRPORT,10/09/2012,3.2,0.0, ,23.2,15.7,84,51,3.65,11.66
SUNSHINE COAST AIRPORT,11/09/2012,3.6,0.0, ,23.7,9.8,93,52,2.66,20.66
SUNSHINE COAST AIRPORT,12/09/2012,3.6,0.0, ,23.6,9.3,94,55,2.60,21.98
SUNSHINE COAST AIRPORT,13/09/2012,4.4,0.0, ,25.6,9.8,94,51,4.92,21.79
SUNSHINE COAST AIRPORT,14/09/2012,4.8,0.0, ,21.4,11.9,83,32,5.06,22.44
SUNSHINE COAST AIRPORT,15/09/2012,4.3,0.0, ,22.8,11.5,84,48,5.11,19.99
SUNSHINE COAST AIRPORT,16/09/2012,4.1,0.0, ,23.0,12.9,90,51,3.72,21.95
SUNSHINE COAST AIRPORT,17/09/2012,2.7,7.6, ,21.7,10.5,93,58,2.68,13.45
SUNSHINE COAST AIRPORT,18/09/2012,2.6,30.4, ,22.2,14.7,93,69,3.34,12.24
SUNSHINE COAST AIRPORT,19/09/2012,3.8,2.2, ,23.9,12.3,94,64,3.52,22.95
SUNSHINE COAST AIRPORT,20/09/2012,4.3,0.0, ,25.6,15.9,93,58,2.89,23.60
SUNSHINE COAST AIRPORT,21/09/2012,3.1,0.2, ,25.6,13.6,94,67,3.62,14.36
SUNSHINE COAST AIRPORT,22/09/2012,4.3,4.8, ,27.4,13.8,94,51,3.13,20.81
SUNSHINE COAST AIRPORT,23/09/2012,3.9,0.2, ,25.0,15.4,94,64,2.31,22.92
SUNSHINE COAST AIRPORT,24/09/2012,4.8,0.2, ,28.8,14.5,94,51,4.28,21.22
SUNSHINE COAST AIRPORT,25/09/2012,3.8,4.6, ,24.9,14.2,90,59,6.24,13.54
SUNSHINE COAST AIRPORT,26/09/2012,3.8,0.0, ,24.0,19.7,84,49,4.91,11.45
SUNSHINE COAST AIRPORT,27/09/2012,4.4,0.0, ,24.5,12.6,91,46,2.97,23.81
SUNSHINE COAST AIRPORT,28/09/2012,4.3,0.0, ,24.8,11.3,93,53,4.78,21.03
SUNSHINE COAST AIRPORT,29/09/2012,6.2,0.0, ,29.9,12.8,88,33,4.59,24.39
SUNSHINE COAST AIRPORT,30/09/2012,2.1,0.8, ,21.7,17.7,91,61,2.43,6.41
Totals:,,123,51.2, ,,,,,, 
