'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for November 2012,,,,,,,,,,
Issued at 22:38 GMT on Saturday 01 December 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/11/2012,5.5,0.8, ,28.4,13.0,93,64,4.59,30.26
SUNSHINE COAST AIRPORT,02/11/2012,7.4,0.2, ,32.1,18.2,89,40,6.86,24.99
SUNSHINE COAST AIRPORT,03/11/2012,5.9,0.0, ,25.8,20.5,71,51,5.70,22.86
SUNSHINE COAST AIRPORT,04/11/2012,5.5,0.8, ,25.2,18.8,83,48,4.11,25.88
SUNSHINE COAST AIRPORT,05/11/2012,5.4,0.0, ,25.7,12.7,92,51,3.67,28.96
SUNSHINE COAST AIRPORT,06/11/2012,5.3,0.0, ,26.8,13.0,91,50,3.46,27.34
SUNSHINE COAST AIRPORT,07/11/2012,5.3,0.0, ,26.6,12.9,92,53,3.54,28.17
SUNSHINE COAST AIRPORT,08/11/2012,5.1,0.0, ,27.9,16.6,93,60,4.39,24.61
SUNSHINE COAST AIRPORT,09/11/2012,5.9,1.0, ,28.4,19.6,90,59,4.74,28.35
SUNSHINE COAST AIRPORT,10/11/2012,3.5,1.2, ,24.5,19.8,91,75,3.58,17.31
SUNSHINE COAST AIRPORT,11/11/2012,5.6,28.0, ,25.2,17.1,91,48,8.32,22.65
SUNSHINE COAST AIRPORT,12/11/2012,6.9,1.6, ,25.7,16.2,70,39,6.51,28.82
SUNSHINE COAST AIRPORT,13/11/2012,5.8,0.2, ,25.9,11.1,91,47,3.70,31.50
SUNSHINE COAST AIRPORT,14/11/2012,6.0,0.0, ,26.7,12.5,92,51,4.92,31.61
SUNSHINE COAST AIRPORT,15/11/2012,6.2,0.0, ,27.3,14.2,91,55,6.07,31.67
SUNSHINE COAST AIRPORT,16/11/2012,8.3,0.0, ,32.1,17.7,86,32,5.97,31.34
SUNSHINE COAST AIRPORT,17/11/2012,5.0,0.0, ,27.6,19.6,89,70,4.18,24.91
SUNSHINE COAST AIRPORT,18/11/2012, ,9.4, , ,18.8,100,52,4.83,23.65
SUNSHINE COAST AIRPORT,19/11/2012, , , ,33.2, ,93,34,4.49,31.24
SUNSHINE COAST AIRPORT,20/11/2012,7.1,0.0, ,26.1,20.0,73,46,6.99,30.54
SUNSHINE COAST AIRPORT,21/11/2012,6.1,0.0, ,27.1,19.1,86,56,5.23,29.15
SUNSHINE COAST AIRPORT,22/11/2012,6.0,0.0, ,27.4,15.2,92,53,4.08,30.81
SUNSHINE COAST AIRPORT,23/11/2012,6.4,0.0, ,28.0,21.3,79,50,4.01,28.84
SUNSHINE COAST AIRPORT,24/11/2012,6.9,0.0, ,27.4,21.1,71,49,5.01,29.93
SUNSHINE COAST AIRPORT,25/11/2012,6.6,0.0, ,27.9,19.3,84,52,4.73,31.42
SUNSHINE COAST AIRPORT,26/11/2012,6.1,0.0, ,28.0,15.8,92,51,3.05,31.80
SUNSHINE COAST AIRPORT,27/11/2012,6.1,0.0, ,28.6,17.5,90,58,4.44,30.23
SUNSHINE COAST AIRPORT,28/11/2012,6.4,0.0, ,28.7,17.8,91,53,4.36,31.80
SUNSHINE COAST AIRPORT,29/11/2012,6.6,0.0, ,28.8,17.5,92,48,3.95,32.56
SUNSHINE COAST AIRPORT,30/11/2012,6.5,0.0, ,29.1,17.1,92,56,4.48,32.80
Totals:,,169.4,43.2, ,,,,,, 
