'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for May 2013,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 June 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/05/2013,2.8,0.0, ,25.9,15.6,96,65,2.54,15.44
SUNSHINE COAST AIRPORT,02/05/2013,3.6,0.0, ,26.3,14.0,97,58,5.08,17.24
SUNSHINE COAST AIRPORT,03/05/2013,3.7,2.2, ,24.3,17.0,93,54,5.45,17.13
SUNSHINE COAST AIRPORT,04/05/2013,4.2,0.0, ,28.0,11.3,97,34,2.80,20.15
SUNSHINE COAST AIRPORT,05/05/2013,2.1,0.2, ,22.7,12.1,95,71,3.00,10.61
SUNSHINE COAST AIRPORT,06/05/2013,2.7,16.6, ,23.0,16.8,94,64,5.21,11.45
SUNSHINE COAST AIRPORT,07/05/2013,3.1,12.0, ,23.5,16.0,93,65,5.41,16.25
SUNSHINE COAST AIRPORT,08/05/2013,3.0,8.0, ,22.1,16.3,91,57,6.12,10.67
SUNSHINE COAST AIRPORT,09/05/2013,3.3,1.0, ,24.3,16.1,92,58,4.79,16.54
SUNSHINE COAST AIRPORT,10/05/2013,3.5,4.2, ,23.5,16.3,92,53,6.55,13.10
SUNSHINE COAST AIRPORT,11/05/2013,3.4,1.2, ,23.9,16.2,93,55,6.51,11.46
SUNSHINE COAST AIRPORT,12/05/2013,3.2,3.6, ,24.8,15.4,94,61,5.07,15.84
SUNSHINE COAST AIRPORT,13/05/2013,2.3,3.6, ,23.6,15.6,96,69,2.74,13.75
SUNSHINE COAST AIRPORT,14/05/2013,2.1,1.4, ,23.7,17.2,96,68,2.38,10.55
SUNSHINE COAST AIRPORT,15/05/2013,3.2,0.2, ,24.3,12.0,95,40,2.41,18.20
SUNSHINE COAST AIRPORT,16/05/2013,1.1,0.2, ,17.8,12.3,96,74,2.23,3.48
SUNSHINE COAST AIRPORT,17/05/2013,3.7,5.4, ,24.0,9.4,96,36,3.68,18.24
SUNSHINE COAST AIRPORT,18/05/2013,3.5,0.2, ,22.9,6.6,96,31,3.20,18.28
SUNSHINE COAST AIRPORT,19/05/2013,3.3,0.0, ,21.5,5.7,95,32,3.18,18.43
SUNSHINE COAST AIRPORT,20/05/2013,3.1,0.2, ,22.0,5.1,95,31,2.68,17.67
SUNSHINE COAST AIRPORT,21/05/2013,2.5,0.2, ,21.6,5.9,95,44,2.51,13.60
SUNSHINE COAST AIRPORT,22/05/2013,1.4,0.0, ,18.0,12.0,96,63,2.49,4.92
SUNSHINE COAST AIRPORT,23/05/2013,2.9,14.4, ,22.9,12.5,96,47,3.06,17.11
SUNSHINE COAST AIRPORT,24/05/2013,3.3,0.2, ,22.0,8.9,94,47,5.01,16.50
SUNSHINE COAST AIRPORT,25/05/2013,4.3,0.0, ,23.1,14.7,71,47,6.47,16.79
SUNSHINE COAST AIRPORT,26/05/2013,4.0,0.0, ,23.6,15.5,81,44,5.46,16.77
SUNSHINE COAST AIRPORT,27/05/2013,3.1,0.0, ,23.0,15.0,92,54,5.28,13.58
SUNSHINE COAST AIRPORT,28/05/2013,3.2,1.2, ,23.6,15.4,89,63,6.86,14.37
SUNSHINE COAST AIRPORT,29/05/2013,3.5,2.4, ,22.7,17.8,85,55,7.28,11.29
SUNSHINE COAST AIRPORT,30/05/2013,2.5,0.8, ,23.4,15.2,95,60,4.53,10.49
SUNSHINE COAST AIRPORT,31/05/2013,2.8,17.0, ,23.7,15.7,96,58,5.04,12.27
Totals:,,94.4,96.4, ,,,,,, 
