'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for June 2013,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 July 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/06/2013,2.1,1.0, ,22.6,14.3,94,65,3.21,10.29
SUNSHINE COAST AIRPORT,02/06/2013,2.9,0.0, ,25.3,12.7,97,56,4.10,14.45
SUNSHINE COAST AIRPORT,03/06/2013,3.2,0.4, ,22.1,14.2,95,38,3.71,16.63
SUNSHINE COAST AIRPORT,04/06/2013,3.0,0.2, ,22.6,7.3,95,46,3.79,16.53
SUNSHINE COAST AIRPORT,05/06/2013,2.1,0.0, ,21.7,9.1,94,62,3.86,9.16
SUNSHINE COAST AIRPORT,06/06/2013,2.0,0.0, ,22.8,13.2,96,59,2.56,8.99
SUNSHINE COAST AIRPORT,07/06/2013,2.1,0.0, ,23.4,15.6,96,65,2.46,12.38
SUNSHINE COAST AIRPORT,08/06/2013,2.5,0.0, ,24.0,11.4,97,62,3.98,12.81
SUNSHINE COAST AIRPORT,09/06/2013,2.0,22.0, ,20.3,16.9,96,69,6.35,6.37
SUNSHINE COAST AIRPORT,10/06/2013,1.0,38.4, ,20.4,17.0,97,91,3.72,5.20
SUNSHINE COAST AIRPORT,11/06/2013,1.7,88.8, ,22.2,17.1,97,78,1.92,11.46
SUNSHINE COAST AIRPORT,12/06/2013,1.7,4.4, ,23.9,15.8,97,83,3.71,10.19
SUNSHINE COAST AIRPORT,13/06/2013,2.0,31.2, ,25.5,18.6,96,72,2.85,10.28
SUNSHINE COAST AIRPORT,14/06/2013,2.6,0.6, ,22.8,12.6,96,51,2.59,16.26
SUNSHINE COAST AIRPORT,15/06/2013,2.9,0.2, ,19.9,7.2,96,44,4.30,16.43
SUNSHINE COAST AIRPORT,16/06/2013,2.2,0.0, ,20.6,7.4,96,49,2.30,15.12
SUNSHINE COAST AIRPORT,17/06/2013,2.6,0.2, ,21.2,7.3,96,40,2.52,16.55
SUNSHINE COAST AIRPORT,18/06/2013, ,0.0, , ,6.5,100,28,3.00,16.52
SUNSHINE COAST AIRPORT,19/06/2013, , , ,19.3, ,86,34,4.34,15.45
SUNSHINE COAST AIRPORT,20/06/2013,2.1,0.0, ,18.3,8.6,92,59,4.57,9.05
SUNSHINE COAST AIRPORT,21/06/2013,0.8,5.0, ,15.2,12.9,95,90,3.38,3.02
SUNSHINE COAST AIRPORT,22/06/2013,2.5,7.6, ,19.7,7.4,96,55,4.03,16.27
SUNSHINE COAST AIRPORT,23/06/2013,2.5,0.2, ,21.0,8.7,91,56,4.00,14.95
SUNSHINE COAST AIRPORT,24/06/2013,2.9,0.0, ,22.1,9.0,95,33,2.85,16.17
SUNSHINE COAST AIRPORT,25/06/2013,3.2,0.2, ,20.1,4.9,94,27,3.36,16.91
SUNSHINE COAST AIRPORT,26/06/2013,2.9,0.0, ,20.5,5.7,92,31,2.87,16.48
SUNSHINE COAST AIRPORT,27/06/2013,2.1, , ,22.8,7.0,96,64,3.34,10.66
SUNSHINE COAST AIRPORT,28/06/2013, ,1.4, ,21.6,15.1,96,69,4.70, 
SUNSHINE COAST AIRPORT,29/06/2013,1.6,10.0, ,18.7,14.5,96,78,5.26,8.47
SUNSHINE COAST AIRPORT,30/06/2013,1.7,1.0, ,17.6,14.5,91,79,6.79,9.72
Totals:,,60.9,212.8, ,,,,,, 
