'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for December 2013,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/12/2013,6.9,16.4, ,26.4,16.6,76,46,7.50,29.83
SUNSHINE COAST AIRPORT,02/12/2013,7.1,0.0, ,26.3,16.5,77,47,6.34,34.06
SUNSHINE COAST AIRPORT,03/12/2013,7.2,0.0, ,26.3,16.5,89,45,5.25,36.34
SUNSHINE COAST AIRPORT,04/12/2013,6.6,0.0, ,28.7,13.6,94,57,3.85,35.41
SUNSHINE COAST AIRPORT,05/12/2013,9.1,0.0, ,35.8,17.8,93,33,5.52,32.74
SUNSHINE COAST AIRPORT,06/12/2013,7.4,1.6, ,26.2,16.6,92,26,4.66,35.05
SUNSHINE COAST AIRPORT,07/12/2013,7.0,0.0, ,26.4,13.9,87,43,4.40,36.06
SUNSHINE COAST AIRPORT,08/12/2013,6.5,0.0, ,27.7,13.7,93,47,3.31,34.30
SUNSHINE COAST AIRPORT,09/12/2013,6.8,0.0, ,27.9,13.9,94,49,4.73,34.85
SUNSHINE COAST AIRPORT,10/12/2013,7.0,0.0, ,28.9,17.1,90,51,5.89,33.31
SUNSHINE COAST AIRPORT,11/12/2013,3.7,0.0, ,28.4,21.1,94,60,4.23,12.22
SUNSHINE COAST AIRPORT,12/12/2013,1.4,7.6, ,26.0,20.1,94,85,1.36,4.53
SUNSHINE COAST AIRPORT,13/12/2013,6.3,4.6, ,27.8,17.5,95,58,3.25,33.74
SUNSHINE COAST AIRPORT,14/12/2013,6.4,0.0, ,27.9,18.8,94,60,3.67,33.70
SUNSHINE COAST AIRPORT,15/12/2013,6.7,0.0, ,28.7,20.4,92,55,3.94,33.16
SUNSHINE COAST AIRPORT,16/12/2013,6.5,0.0, ,28.3,22.1,87,55,5.16,29.70
SUNSHINE COAST AIRPORT,17/12/2013,6.4,1.6, ,28.4,19.7,89,52,5.78,28.11
SUNSHINE COAST AIRPORT,18/12/2013,8.3,0.2, ,28.0,21.9,69,46,7.39,34.10
SUNSHINE COAST AIRPORT,19/12/2013,8.0,0.0, ,28.6,21.2,72,39,6.87,30.14
SUNSHINE COAST AIRPORT,20/12/2013,7.3,0.0, ,28.4,17.5,89,46,3.64,36.48
SUNSHINE COAST AIRPORT,21/12/2013,7.4,0.0, ,29.4,14.9,94,43,3.59,37.00
SUNSHINE COAST AIRPORT,22/12/2013,7.1,0.0, ,29.2,15.0,93,51,3.82,36.07
SUNSHINE COAST AIRPORT,23/12/2013,7.4,0.0, ,29.7,15.6,94,46,5.18,35.36
SUNSHINE COAST AIRPORT,24/12/2013,7.8,0.0, ,30.7,16.7,91,47,4.51,36.67
SUNSHINE COAST AIRPORT,25/12/2013,6.9,0.0, ,29.9,15.7,95,52,3.35,34.90
SUNSHINE COAST AIRPORT,26/12/2013,6.9,0.0, ,30.4,18.2,94,59,4.90,34.06
SUNSHINE COAST AIRPORT,27/12/2013,5.4,0.0, ,30.1,20.5,93,59,4.39,23.35
SUNSHINE COAST AIRPORT,28/12/2013,6.3,17.2, ,30.7,22.7,93,66,3.49,30.36
SUNSHINE COAST AIRPORT,29/12/2013,7.2,1.8, ,31.0,19.6,94,62,6.21,35.36
SUNSHINE COAST AIRPORT,30/12/2013,4.8,9.6, ,28.5,22.9,89,64,6.13,18.02
SUNSHINE COAST AIRPORT,31/12/2013,3.8,0.6, ,29.0,23.4,92,67,4.43,13.61
Totals:,,203.6,61.2, ,,,,,, 
