'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for January 2014,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/01/2014,7.5,0.8, ,29.2,23.5,87,53,5.48,34.32
SUNSHINE COAST AIRPORT,02/01/2014,7.2,0.0, ,30.9,17.6,93,55,4.89,34.81
SUNSHINE COAST AIRPORT,03/01/2014,8.0,0.0, ,33.6,21.8,91,46,6.74,30.00
SUNSHINE COAST AIRPORT,04/01/2014,10.8,0.0, ,41.3,24.1,83,27,5.94,30.16
SUNSHINE COAST AIRPORT,05/01/2014,4.3,0.0, ,31.4,25.2,92,62,4.18,14.73
SUNSHINE COAST AIRPORT,06/01/2014,4.6,0.0, ,30.9,24.1,93,65,4.56,17.76
SUNSHINE COAST AIRPORT,07/01/2014,4.5,25.6, ,29.8,20.9,94,58,7.32,12.45
SUNSHINE COAST AIRPORT,08/01/2014,6.2,0.4, ,28.7,23.2,81,52,8.21,19.34
SUNSHINE COAST AIRPORT,09/01/2014,7.3,0.0, ,28.6,22.5,72,44,6.60,26.27
SUNSHINE COAST AIRPORT,10/01/2014,3.7,0.6, ,28.4,20.4,92,59,4.29,11.39
SUNSHINE COAST AIRPORT,11/01/2014,5.7,1.2, ,28.8,19.0,92,53,4.28,25.31
SUNSHINE COAST AIRPORT,12/01/2014,6.0,0.0, ,29.2,17.1,94,55,4.35,28.55
SUNSHINE COAST AIRPORT,13/01/2014,8.0,0.0, ,29.0,23.3,67,46,6.79,30.48
SUNSHINE COAST AIRPORT,14/01/2014,7.3,0.0, ,29.2,23.2,71,51,6.38,27.97
SUNSHINE COAST AIRPORT,15/01/2014,6.8,0.0, ,29.8,22.5,84,53,6.39,27.57
SUNSHINE COAST AIRPORT,16/01/2014,5.7,5.2, ,28.9,22.0,88,58,5.82,23.49
SUNSHINE COAST AIRPORT,17/01/2014,6.8,0.2, ,29.5,21.4,89,53,5.99,30.36
SUNSHINE COAST AIRPORT,18/01/2014,7.1,0.0, ,29.4,23.7,73,52,5.72,28.07
SUNSHINE COAST AIRPORT,19/01/2014,6.2,0.2, ,29.2,20.5,91,55,3.77,29.51
SUNSHINE COAST AIRPORT,20/01/2014,6.5,0.0, ,31.1,16.9,94,53,4.65,29.65
SUNSHINE COAST AIRPORT,21/01/2014,7.0,0.0, ,31.4,21.0,93,53,6.20,29.73
SUNSHINE COAST AIRPORT,22/01/2014, ,0.0, , ,23.2,100,60,4.69,21.04
SUNSHINE COAST AIRPORT,23/01/2014, ,0.2, ,30.7, ,92,59,3.82,24.44
SUNSHINE COAST AIRPORT,24/01/2014,5.0,10.8, ,29.5,22.1,92,61,3.70,21.75
SUNSHINE COAST AIRPORT,25/01/2014,4.2,0.0, ,30.8,20.4,93,57,6.15,10.16
SUNSHINE COAST AIRPORT,26/01/2014,6.9,3.6, ,29.0,22.8,76,50,10.18,19.33
SUNSHINE COAST AIRPORT,27/01/2014,6.8,0.2, ,29.0,21.1,74,51,9.06,20.86
SUNSHINE COAST AIRPORT,28/01/2014,7.0,1.4, ,28.7,20.6,86,44,7.98,25.46
SUNSHINE COAST AIRPORT,29/01/2014,6.2,1.2, ,28.7,20.5,86,47,7.62,20.44
SUNSHINE COAST AIRPORT,30/01/2014,6.1,2.8, ,28.6,20.4,84,43,7.85,15.91
SUNSHINE COAST AIRPORT,31/01/2014,5.5,0.0, ,29.3,22.5,76,49,6.89,12.18
Totals:,,184.9,54.4, ,,,,,, 
