'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for March 2014,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/03/2014,5.2,0.6, ,28.9,23.1,81,55,5.89,17.02
SUNSHINE COAST AIRPORT,02/03/2014,5.8,1.2, ,30.1,19.3,87,52,5.41,23.14
SUNSHINE COAST AIRPORT,03/03/2014,5.4,0.4, ,29.6,21.4,91,56,7.25,18.97
SUNSHINE COAST AIRPORT,04/03/2014,6.1,1.8, ,29.0,20.8,88,45,6.59,21.89
SUNSHINE COAST AIRPORT,05/03/2014,4.2,1.4, ,27.8,19.5,92,48,4.34,13.58
SUNSHINE COAST AIRPORT,06/03/2014,4.9,0.2, ,29.5,14.0,94,52,3.97,21.36
SUNSHINE COAST AIRPORT,07/03/2014,5.5,0.0, ,29.0,19.0,85,48,5.20,20.68
SUNSHINE COAST AIRPORT,08/03/2014,6.4,0.0, ,29.2,23.2,83,44,7.03,21.45
SUNSHINE COAST AIRPORT,09/03/2014,5.2,1.2, ,29.3,20.9,87,52,7.71,13.80
SUNSHINE COAST AIRPORT,10/03/2014,4.4,4.8, ,28.6,20.7,91,56,7.15,11.43
SUNSHINE COAST AIRPORT,11/03/2014,6.0,8.2, ,28.7,20.3,86,47,7.14,21.17
SUNSHINE COAST AIRPORT,12/03/2014,5.6,3.4, ,28.5,19.9,88,50,5.26,23.52
SUNSHINE COAST AIRPORT,13/03/2014,5.4,0.4, ,28.9,18.8,89,48,4.51,22.59
SUNSHINE COAST AIRPORT,14/03/2014,4.4,1.2, ,28.0,19.0,91,57,3.78,19.56
SUNSHINE COAST AIRPORT,15/03/2014,4.8,0.4, ,28.4,14.5,94,52,3.56,23.43
SUNSHINE COAST AIRPORT,16/03/2014,6.1,0.0, ,31.7,16.9,92,47,5.48,23.82
SUNSHINE COAST AIRPORT,17/03/2014,5.6,0.0, ,32.4,20.1,91,52,4.08,22.97
SUNSHINE COAST AIRPORT,18/03/2014,5.1,0.0, ,30.8,22.5,89,58,3.94,21.97
SUNSHINE COAST AIRPORT,19/03/2014,5.2,0.0, ,29.9,21.5,88,54,4.68,20.56
SUNSHINE COAST AIRPORT,20/03/2014,4.9,0.0, ,28.4,24.1,84,58,6.96,15.45
SUNSHINE COAST AIRPORT,21/03/2014,5.5,3.0, ,29.3,22.8,79,54,5.49,20.66
SUNSHINE COAST AIRPORT,22/03/2014,4.2,0.0, ,28.8,18.8,93,56,3.54,17.95
SUNSHINE COAST AIRPORT,23/03/2014,4.5,0.0, ,28.8,16.8,94,56,3.18,21.62
SUNSHINE COAST AIRPORT,24/03/2014,4.4,0.2, ,29.7,17.0,94,57,3.76,18.76
SUNSHINE COAST AIRPORT,25/03/2014,1.9,2.8, ,25.5,19.8,94,75,3.48,5.86
SUNSHINE COAST AIRPORT,26/03/2014,3.2,42.2, ,26.8,20.9,85,69,8.48,4.89
SUNSHINE COAST AIRPORT,27/03/2014,2.2,14.2, ,23.8,23.0,94,73,9.00,2.58
SUNSHINE COAST AIRPORT,28/03/2014,3.3,104.8, ,28.8,21.5,94,73,3.46,14.65
SUNSHINE COAST AIRPORT,29/03/2014,3.3,0.2, ,29.6,20.0,94,69,2.25,15.13
SUNSHINE COAST AIRPORT,30/03/2014,3.0,0.2, ,29.2,20.9,95,65,2.95,11.61
SUNSHINE COAST AIRPORT,31/03/2014,4.0,11.4, ,28.8,22.2,93,67,4.91,17.21
Totals:,,145.7,204.2, ,,,,,, 
