'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for April 2014,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/04/2014,4.3,8.8, ,27.9,21.3,93,59,4.76,18.79
SUNSHINE COAST AIRPORT,02/04/2014,4.4,0.0, ,27.9,18.6,93,55,3.67,20.73
SUNSHINE COAST AIRPORT,03/04/2014,4.3,0.0, ,28.0,17.1,94,57,3.55,21.06
SUNSHINE COAST AIRPORT,04/04/2014,3.9,0.2, ,28.4,18.4,94,57,3.33,17.41
SUNSHINE COAST AIRPORT,05/04/2014,3.9,0.0, ,28.2,17.4,94,60,2.81,19.99
SUNSHINE COAST AIRPORT,06/04/2014,4.6,0.0, ,30.2,18.3,94,55,4.29,19.96
SUNSHINE COAST AIRPORT,07/04/2014,3.5,24.0, ,25.5,19.9,93,64,7.47,12.29
SUNSHINE COAST AIRPORT,08/04/2014,4.2,2.6, ,27.0,18.9,93,55,5.65,16.52
SUNSHINE COAST AIRPORT,09/04/2014,4.5,4.0, ,27.2,19.1,92,50,5.44,17.96
SUNSHINE COAST AIRPORT,10/04/2014,3.8,0.0, ,27.0,16.2,92,48,2.98,17.37
SUNSHINE COAST AIRPORT,11/04/2014,4.3,0.0, ,29.4,15.1,94,57,4.34,19.45
SUNSHINE COAST AIRPORT,12/04/2014,4.3,0.0, ,31.9,19.9,94,49,4.01,13.71
SUNSHINE COAST AIRPORT,13/04/2014,1.7,42.2, ,24.8,20.1,95,78,5.53,3.33
SUNSHINE COAST AIRPORT,14/04/2014,3.0,78.2, ,24.1,20.0,94,64,8.92,6.31
SUNSHINE COAST AIRPORT,15/04/2014,4.8,2.0, ,26.5,19.7,82,49,6.73,15.55
SUNSHINE COAST AIRPORT,16/04/2014,3.8,0.0, ,25.5,14.3,92,48,3.26,19.42
SUNSHINE COAST AIRPORT,17/04/2014,3.5,0.0, ,26.2,15.2,94,48,2.77,16.97
SUNSHINE COAST AIRPORT,18/04/2014,3.4,0.0, ,26.1,15.2,94,62,2.97,18.64
SUNSHINE COAST AIRPORT,19/04/2014,4.6,0.2, ,28.3,13.7,95,25,2.98,19.91
SUNSHINE COAST AIRPORT,20/04/2014,3.6,0.0, ,26.7,12.6,94,52,2.94,18.50
SUNSHINE COAST AIRPORT,21/04/2014,3.8,0.2, ,28.1,14.5,95,51,2.99,18.83
SUNSHINE COAST AIRPORT,22/04/2014,3.4,0.0, ,26.9,13.2,95,52,2.67,17.14
SUNSHINE COAST AIRPORT,23/04/2014,3.1,0.2, ,26.5,14.7,95,61,2.83,15.65
SUNSHINE COAST AIRPORT,24/04/2014,3.2,0.0, ,27.2,15.7,94,60,2.54,16.55
SUNSHINE COAST AIRPORT,25/04/2014,3.5,0.0, ,27.3,14.5,95,60,3.28,17.86
SUNSHINE COAST AIRPORT,26/04/2014,3.7,0.0, ,27.4,17.2,92,57,3.91,16.97
SUNSHINE COAST AIRPORT,27/04/2014,3.5,0.0, ,27.6,16.5,94,57,3.56,16.47
SUNSHINE COAST AIRPORT,28/04/2014,3.1,5.0, ,23.9,18.1,91,64,6.38,12.08
SUNSHINE COAST AIRPORT,29/04/2014,3.9,3.4, ,26.4,17.6,90,51,4.85,15.63
SUNSHINE COAST AIRPORT,30/04/2014,2.9,0.0, ,26.6,13.4,95,58,2.15,16.21
Totals:,,112.5,171, ,,,,,, 
