'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for May 2014,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/05/2014,2.4,2.0, ,25.3,17.7,94,69,2.25,12.13
SUNSHINE COAST AIRPORT,02/05/2014,1.6,1.8, ,23.8,17.0,95,77,2.92,6.12
SUNSHINE COAST AIRPORT,03/05/2014,3.3,3.0, ,22.2,12.5,89,38,3.89,13.00
SUNSHINE COAST AIRPORT,04/05/2014,3.7,0.0, ,21.6,5.8,88,29,3.96,16.73
SUNSHINE COAST AIRPORT,05/05/2014,3.5,0.2, ,23.7,5.8,92,31,3.04,16.61
SUNSHINE COAST AIRPORT,06/05/2014,3.3,0.0, ,23.7,5.9,94,28,2.50,17.28
SUNSHINE COAST AIRPORT,07/05/2014,3.1,0.0, ,23.4,9.7,90,47,3.78,13.00
SUNSHINE COAST AIRPORT,08/05/2014,2.5,1.4, ,22.5,15.2,94,65,6.11,8.51
SUNSHINE COAST AIRPORT,09/05/2014,3.6,17.8, ,24.1,15.8,92,55,6.22,14.85
SUNSHINE COAST AIRPORT,10/05/2014,2.3,25.6, ,23.0,16.2,93,65,3.45,10.13
SUNSHINE COAST AIRPORT,11/05/2014,2.5,0.6, ,24.2,13.2,95,57,1.78,16.02
SUNSHINE COAST AIRPORT,12/05/2014,3.1,0.2, ,24.7,11.4,95,58,4.52,15.04
SUNSHINE COAST AIRPORT,13/05/2014, ,0.0, , ,16.4, , , ,10.63
SUNSHINE COAST AIRPORT,14/05/2014, , , ,24.7, ,94,69,5.63,11.23
SUNSHINE COAST AIRPORT,15/05/2014,3.6,71.0, ,24.5,16.1,91,52,6.12,13.91
SUNSHINE COAST AIRPORT,16/05/2014,3.4,0.0, ,24.6,16.7,91,57,6.46,11.91
SUNSHINE COAST AIRPORT,17/05/2014,3.9,5.6, ,24.2,16.6,83,48,5.83,13.56
SUNSHINE COAST AIRPORT,18/05/2014,4.1,1.4, ,24.6,16.0,83,44,5.94,13.62
SUNSHINE COAST AIRPORT,19/05/2014,3.0,0.0, ,24.6,16.0,89,52,3.88,12.12
SUNSHINE COAST AIRPORT,20/05/2014,2.5,0.0, ,24.5,12.8,93,56,2.56,13.23
SUNSHINE COAST AIRPORT,21/05/2014,2.8,0.2, ,24.6,14.6,93,56,3.25,14.46
SUNSHINE COAST AIRPORT,22/05/2014,2.5,3.0, ,24.6,16.5,95,67,3.15,13.47
SUNSHINE COAST AIRPORT,23/05/2014,2.6,0.0, ,25.8,15.9,94,60,2.65,13.41
SUNSHINE COAST AIRPORT,24/05/2014,2.4,0.0, ,25.3,15.2,94,61,2.01,14.67
SUNSHINE COAST AIRPORT,25/05/2014,2.7,0.2, ,25.6,12.1,95,52,2.37,15.04
SUNSHINE COAST AIRPORT,26/05/2014,2.5,0.2, ,25.7,12.3,95,63,2.45,14.80
SUNSHINE COAST AIRPORT,27/05/2014,2.3,0.0, ,25.0,13.1,95,68,2.36,13.98
SUNSHINE COAST AIRPORT,28/05/2014,3.1,0.2, ,27.4,14.1,95,51,3.29,14.54
SUNSHINE COAST AIRPORT,29/05/2014,2.6,0.0, ,26.1,13.9,95,56,2.42,14.52
SUNSHINE COAST AIRPORT,30/05/2014,2.2,5.4, ,22.4,18.1,92,62,4.72,5.47
SUNSHINE COAST AIRPORT,31/05/2014,2.5,5.8, ,24.1,16.6,93,59,3.42,11.93
Totals:,,83.6,145.6, ,,,,,, 
