'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for June 2014,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 July 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/06/2014,2.4,0.0, ,24.1,16.6,93,59,2.69,12.47
SUNSHINE COAST AIRPORT,02/06/2014,2.3,0.2, ,24.4,16.8,94,65,2.40,13.08
SUNSHINE COAST AIRPORT,03/06/2014,2.3,0.2, ,25.2,14.0,96,60,2.34,12.70
SUNSHINE COAST AIRPORT,04/06/2014,2.5,0.0, ,25.4,14.5,95,52,2.74,11.74
SUNSHINE COAST AIRPORT,05/06/2014,2.5,0.0, ,24.2,15.0,93,61,3.34,13.23
SUNSHINE COAST AIRPORT,06/06/2014,2.8,0.2, ,24.3,15.7,92,59,4.40,12.79
SUNSHINE COAST AIRPORT,07/06/2014,3.2,0.0, ,23.2,15.6,89,48,4.61,14.28
SUNSHINE COAST AIRPORT,08/06/2014,3.0,0.0, ,22.6,14.2,91,57,6.42,12.01
SUNSHINE COAST AIRPORT,09/06/2014,2.8,11.8, ,21.7,15.7,89,61,6.72,10.47
SUNSHINE COAST AIRPORT,10/06/2014,3.4,4.0, ,22.5,15.3,87,57,7.79,12.43
SUNSHINE COAST AIRPORT,11/06/2014,2.7,1.2, ,20.7,14.3,85,63,6.20,11.11
SUNSHINE COAST AIRPORT,12/06/2014,2.6,1.0, ,23.3,14.7,92,61,4.53,11.21
SUNSHINE COAST AIRPORT,13/06/2014,1.8,0.8, ,22.1,14.5,94,67,2.60,9.73
SUNSHINE COAST AIRPORT,14/06/2014,1.3,1.4, ,21.0,13.3,95,77,2.10,6.25
SUNSHINE COAST AIRPORT,15/06/2014,2.6,1.4, ,21.2,11.7,92,42,3.10,14.30
SUNSHINE COAST AIRPORT,16/06/2014,2.4,0.0, ,21.4,5.9,94,43,2.66,14.25
SUNSHINE COAST AIRPORT,17/06/2014,2.7,0.2, ,23.0,6.7,95,33,2.61,14.25
SUNSHINE COAST AIRPORT,18/06/2014,3.3,0.0, ,22.6,6.9,91,46,5.16,14.23
SUNSHINE COAST AIRPORT,19/06/2014,2.5,0.0, ,22.9,15.3,93,62,4.50,12.80
SUNSHINE COAST AIRPORT,20/06/2014,1.7,3.6, ,22.2,14.3,95,70,2.43,9.71
SUNSHINE COAST AIRPORT,21/06/2014,2.3,1.2, ,25.5,12.9,95,56,2.51,10.63
SUNSHINE COAST AIRPORT,22/06/2014,2.2,0.2, ,23.5,12.9,95,58,2.44,12.55
SUNSHINE COAST AIRPORT,23/06/2014,2.2,2.8, ,23.2,9.1,96,62,3.04,13.92
SUNSHINE COAST AIRPORT,24/06/2014,2.9,0.2, ,23.5,13.6,95,37,3.64,10.24
SUNSHINE COAST AIRPORT,25/06/2014,2.5,0.2, ,20.7,8.5,93,41,3.41,10.12
SUNSHINE COAST AIRPORT,26/06/2014,2.8,0.2, ,22.3,3.0,94,30,2.65,14.58
SUNSHINE COAST AIRPORT,27/06/2014,2.7,0.0, ,23.2,3.8,95,42,2.86,14.29
SUNSHINE COAST AIRPORT,28/06/2014,2.0,0.2, ,23.1,10.7,95,61,3.16,7.36
SUNSHINE COAST AIRPORT,29/06/2014,2.9,6.0, ,20.7,9.2,93,31,3.33,14.86
SUNSHINE COAST AIRPORT,30/06/2014,3.1,0.0, ,19.4,3.6,94,31,4.13,14.62
Totals:,,76.4,37, ,,,,,, 
