'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for July 2014,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/07/2014,3.0,0.0, ,18.3,5.4,92,27,4.09,14.98
SUNSHINE COAST AIRPORT,02/07/2014,2.8,0.0, ,21.6,3.0,94,38,3.25,14.42
SUNSHINE COAST AIRPORT,03/07/2014,2.8,0.2, ,22.1,5.3,95,42,3.70,12.84
SUNSHINE COAST AIRPORT,04/07/2014,2.3,1.0, ,22.5,12.3,93,48,2.48,12.60
SUNSHINE COAST AIRPORT,05/07/2014,2.1,2.8, ,22.6,13.1,94,66,2.52,13.13
SUNSHINE COAST AIRPORT,06/07/2014,3.2,0.2, ,21.5,5.0,95,24,3.33,15.04
SUNSHINE COAST AIRPORT,07/07/2014,3.0,0.0, ,19.4,4.4,92,30,3.76,14.97
SUNSHINE COAST AIRPORT,08/07/2014,2.7,0.0, ,20.5,2.8,93,38,3.12,15.11
SUNSHINE COAST AIRPORT,09/07/2014,3.3,0.0, ,22.6,3.1,95,30,3.45,14.97
SUNSHINE COAST AIRPORT,10/07/2014,3.7,0.2, ,21.3,6.7,93,20,4.15,15.25
SUNSHINE COAST AIRPORT,11/07/2014,3.2,0.2, ,21.2,4.9,93,25,3.42,15.41
SUNSHINE COAST AIRPORT,12/07/2014,2.9,0.0, ,20.9,2.0,94,31,2.95,15.37
SUNSHINE COAST AIRPORT,13/07/2014,3.4,0.0, ,20.4,1.8,93,31,4.53,14.92
SUNSHINE COAST AIRPORT,14/07/2014,3.0,0.2, ,19.8,12.1,81,55,5.99,11.92
SUNSHINE COAST AIRPORT,15/07/2014,2.3,0.0, ,21.5,13.7,93,62,4.00,11.01
SUNSHINE COAST AIRPORT,16/07/2014,2.1,0.4, ,22.6,9.4,95,66,2.63,12.67
SUNSHINE COAST AIRPORT,17/07/2014,3.0,7.2, ,22.8,8.0,96,31,2.94,15.45
SUNSHINE COAST AIRPORT,18/07/2014,4.0,0.0, ,19.3,3.1,94,21,5.75,15.67
SUNSHINE COAST AIRPORT,19/07/2014,4.0,0.0, ,20.2,5.5,71,16,4.29,15.78
SUNSHINE COAST AIRPORT,20/07/2014,3.1,0.0, ,21.0,7.8,89,38,3.73,15.32
SUNSHINE COAST AIRPORT,21/07/2014,2.6,0.0, ,21.7,8.3,92,59,4.75,12.35
SUNSHINE COAST AIRPORT,22/07/2014,2.4,0.6, ,21.3,9.6,94,60,3.59,13.08
SUNSHINE COAST AIRPORT,23/07/2014,2.7,0.8, ,20.8,10.5,93,53,4.03,15.12
SUNSHINE COAST AIRPORT,24/07/2014,2.4,0.2, ,22.0,9.6,94,58,2.91,14.32
SUNSHINE COAST AIRPORT,25/07/2014, ,0.0, , ,8.1,100,68,2.14,13.77
SUNSHINE COAST AIRPORT,26/07/2014, , , ,21.4, ,96,74,2.04,7.29
SUNSHINE COAST AIRPORT,27/07/2014,3.4,0.0, ,24.2,10.0,96,29,3.03,16.07
SUNSHINE COAST AIRPORT,28/07/2014,2.8,0.0, ,23.3,6.6,96,49,2.89,16.02
SUNSHINE COAST AIRPORT,29/07/2014,3.8,0.0, ,26.0,7.2,96,31,3.33,16.35
SUNSHINE COAST AIRPORT,30/07/2014,3.7,0.2, ,26.3,6.1,97,28,2.92,16.48
SUNSHINE COAST AIRPORT,31/07/2014,3.1,0.0, ,23.9,6.1,95,50,3.70,16.32
Totals:,,86.8,14.2, ,,,,,, 
