'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for August 2014,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/08/2014,4.6,0.0, ,28.4,10.3,96,33,4.51,15.83
SUNSHINE COAST AIRPORT,02/08/2014,4.4,0.0, ,21.5,7.8,87,16,4.96,16.89
SUNSHINE COAST AIRPORT,03/08/2014,3.1,0.0, ,21.2,11.6,92,55,6.40,13.34
SUNSHINE COAST AIRPORT,04/08/2014,3.6,2.6, ,22.0,13.0,91,46,6.58,11.12
SUNSHINE COAST AIRPORT,05/08/2014,3.4,0.2, ,21.7,13.0,86,52,5.49,15.14
SUNSHINE COAST AIRPORT,06/08/2014,3.4,0.0, ,21.8,13.0,91,50,5.40,15.47
SUNSHINE COAST AIRPORT,07/08/2014,3.0,0.0, ,21.9,6.1,95,41,2.74,17.02
SUNSHINE COAST AIRPORT,08/08/2014,2.8,0.0, ,22.1,6.2,96,52,3.37,15.36
SUNSHINE COAST AIRPORT,09/08/2014,2.5,0.0, ,21.9,11.9,94,64,4.76,10.47
SUNSHINE COAST AIRPORT,10/08/2014,2.7,2.2, ,22.5,9.4,96,52,2.60,16.18
SUNSHINE COAST AIRPORT,11/08/2014,2.9,0.2, ,23.2,9.3,96,47,3.23,13.15
SUNSHINE COAST AIRPORT,12/08/2014,3.3,0.0, ,22.0,13.0,87,56,6.29,13.07
SUNSHINE COAST AIRPORT,13/08/2014,3.6,0.0, ,21.8,13.9,80,57,6.51,14.59
SUNSHINE COAST AIRPORT,14/08/2014,2.2,13.6, ,20.2,12.1,94,69,4.86,10.21
SUNSHINE COAST AIRPORT,15/08/2014,2.7,15.2, ,21.1,12.7,95,55,5.14,9.91
SUNSHINE COAST AIRPORT,16/08/2014,2.3,8.8, ,18.5,14.1,95,56,5.46,5.43
SUNSHINE COAST AIRPORT,17/08/2014,4.1,39.2, ,23.9,13.9,95,27,3.76,17.47
SUNSHINE COAST AIRPORT,18/08/2014,4.0,0.2, ,22.6,7.9,88,35,4.45,17.70
SUNSHINE COAST AIRPORT,19/08/2014,4.1,0.0, ,23.2,8.5,81,36,4.10,18.72
SUNSHINE COAST AIRPORT,20/08/2014,3.6,0.0, ,22.0,7.4,93,47,4.87,18.28
SUNSHINE COAST AIRPORT,21/08/2014,3.4,0.0, ,21.6,14.0,93,58,7.79,14.23
SUNSHINE COAST AIRPORT,22/08/2014,1.2,18.8, ,17.0,13.6,95,83,5.73,3.76
SUNSHINE COAST AIRPORT,23/08/2014,1.3,65.2, ,17.1,13.9,95,85,7.85,5.58
SUNSHINE COAST AIRPORT,24/08/2014,2.7,36.8, ,20.4,14.1,94,67,7.23,11.68
SUNSHINE COAST AIRPORT,25/08/2014,4.3,2.6, ,23.1,14.7,82,49,6.54,16.66
SUNSHINE COAST AIRPORT,26/08/2014,3.6,0.0, ,22.6,12.6,91,53,4.57,18.17
SUNSHINE COAST AIRPORT,27/08/2014,3.2,0.0, ,23.7,10.6,95,45,3.40,12.71
SUNSHINE COAST AIRPORT,28/08/2014,3.7,3.8, ,22.4,9.2,94,49,6.44,14.03
SUNSHINE COAST AIRPORT,29/08/2014,3.5,0.2, ,21.3,11.5,94,49,4.18,19.20
SUNSHINE COAST AIRPORT,30/08/2014,3.6,0.0, ,22.2,7.7,96,38,2.87,20.17
SUNSHINE COAST AIRPORT,31/08/2014,3.2,0.0, ,22.6,10.6,95,56,2.90,19.17
Totals:,,100,209.6, ,,,,,, 
