'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for September 2014,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/09/2014,4.2,0.0, ,25.1,12.1,96,45,4.41,19.86
SUNSHINE COAST AIRPORT,02/09/2014,5.8,0.2, ,28.3,13.4,92,28,5.79,17.72
SUNSHINE COAST AIRPORT,03/09/2014,6.1,0.0, ,22.6,11.3,56,20,6.22,21.43
SUNSHINE COAST AIRPORT,04/09/2014,4.5,0.0, ,22.5,5.6,88,18,3.46,21.45
SUNSHINE COAST AIRPORT,05/09/2014,3.6,0.0, ,21.8,3.6,95,47,3.53,20.90
SUNSHINE COAST AIRPORT,06/09/2014,4.3,0.0, ,21.9,11.9,90,44,6.06,20.51
SUNSHINE COAST AIRPORT,07/09/2014,3.3,0.0, ,22.5,14.3,92,61,5.69,14.18
SUNSHINE COAST AIRPORT,08/09/2014,3.6,13.2, ,22.9,14.6,91,53,4.94,14.99
SUNSHINE COAST AIRPORT,09/09/2014,3.0,3.4, ,23.8,13.0,95,60,2.67,15.16
SUNSHINE COAST AIRPORT,10/09/2014,4.5,0.0, ,27.7,11.9,96,50,4.40,20.13
SUNSHINE COAST AIRPORT,11/09/2014,4.4,0.2, ,26.2,12.5,95,33,2.64,22.16
SUNSHINE COAST AIRPORT,12/09/2014,3.5,0.2, ,24.1,10.3,96,60,3.40,20.17
SUNSHINE COAST AIRPORT,13/09/2014,4.2,0.0, ,24.2,19.0,89,47,4.48,17.42
SUNSHINE COAST AIRPORT,14/09/2014,3.7,0.0, ,23.5,13.2,94,54,3.09,20.10
SUNSHINE COAST AIRPORT,15/09/2014,4.0,0.0, ,24.6,10.0,96,55,4.03,21.27
SUNSHINE COAST AIRPORT,16/09/2014,4.9,0.2, ,26.8,13.0,95,49,5.36,22.05
SUNSHINE COAST AIRPORT,17/09/2014,4.6,0.2, ,26.9,15.7,95,45,3.37,22.16
SUNSHINE COAST AIRPORT,18/09/2014,5.2,0.0, ,25.8,9.4,95,20,3.43,23.74
SUNSHINE COAST AIRPORT,19/09/2014,4.1,0.0, ,24.9,7.8,94,50,3.39,22.60
SUNSHINE COAST AIRPORT,20/09/2014,3.5,0.0, ,24.1,10.7,95,58,5.22,14.60
SUNSHINE COAST AIRPORT,21/09/2014,4.0,29.8, ,23.2,14.8,82,56,6.34,15.36
SUNSHINE COAST AIRPORT,22/09/2014,4.5,0.0, ,23.7,15.4,86,49,7.51,14.97
SUNSHINE COAST AIRPORT,23/09/2014,4.8,3.0, ,23.6,16.4,90,45,6.27,20.80
SUNSHINE COAST AIRPORT,24/09/2014,3.5,0.0, ,24.9,15.2,92,55,3.52,15.17
SUNSHINE COAST AIRPORT,25/09/2014,4.3,0.0, ,26.6,13.4,95,51,4.65,17.82
SUNSHINE COAST AIRPORT,26/09/2014,5.2,1.6, ,26.9,15.3,94,37,4.75,20.32
SUNSHINE COAST AIRPORT,27/09/2014,3.8,0.0, ,24.4,13.9,94,58,3.13,20.44
SUNSHINE COAST AIRPORT,28/09/2014,3.8,11.2, ,23.6,15.8,94,57,3.83,18.73
SUNSHINE COAST AIRPORT,29/09/2014,4.4,0.0, ,25.0,12.9,94,50,3.34,23.42
SUNSHINE COAST AIRPORT,30/09/2014,4.9,0.0, ,26.1,11.3,94,48,4.85,23.83
Totals:,,128.2,63.2, ,,,,,, 
