'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for October 2014,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 November 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/10/2014,6.3,0.0, ,30.0,13.5,93,41,6.22,24.09
SUNSHINE COAST AIRPORT,02/10/2014,4.2,0.0, ,24.1,19.0,91,51,5.97,15.37
SUNSHINE COAST AIRPORT,03/10/2014,4.4,0.0, ,25.3,10.8,95,56,4.37,23.59
SUNSHINE COAST AIRPORT,04/10/2014,4.6,0.0, ,26.2,16.4,90,52,4.00,21.45
SUNSHINE COAST AIRPORT,05/10/2014,4.6,0.0, ,26.1,11.9,95,50,3.17,23.89
SUNSHINE COAST AIRPORT,06/10/2014,4.6,0.0, ,26.0,11.0,95,54,3.35,24.78
SUNSHINE COAST AIRPORT,07/10/2014,4.9,0.0, ,26.5,10.9,95,49,4.05,24.98
SUNSHINE COAST AIRPORT,08/10/2014,4.7,0.2, ,26.1,16.2,95,63,5.08,25.08
SUNSHINE COAST AIRPORT,09/10/2014,4.4,0.0, ,25.3,20.3,81,57,6.64,13.41
SUNSHINE COAST AIRPORT,10/10/2014,5.0,0.0, ,24.8,17.2,78,48,4.38,22.14
SUNSHINE COAST AIRPORT,11/10/2014,4.2,0.0, ,25.9,13.6,94,53,3.34,20.18
SUNSHINE COAST AIRPORT,12/10/2014,4.8,0.0, ,26.3,12.3,95,50,3.45,24.41
SUNSHINE COAST AIRPORT,13/10/2014,5.0,0.0, ,26.4,12.9,94,55,5.33,25.18
SUNSHINE COAST AIRPORT,14/10/2014,6.1,5.4, ,28.5,16.6,92,27,5.14,20.22
SUNSHINE COAST AIRPORT,15/10/2014,5.5,0.0, ,24.2,9.9,91,25,3.98,26.04
SUNSHINE COAST AIRPORT,16/10/2014,5.3,0.0, ,25.2,8.7,94,34,3.74,26.43
SUNSHINE COAST AIRPORT,17/10/2014,4.9,0.0, ,27.0,12.0,95,49,3.23,24.83
SUNSHINE COAST AIRPORT,18/10/2014,4.7,12.4, ,24.5,16.9,94,59,5.57,23.80
SUNSHINE COAST AIRPORT,19/10/2014,5.1,1.8, ,24.7,16.4,92,48,5.12,24.14
SUNSHINE COAST AIRPORT,20/10/2014,5.1,0.0, ,24.8,12.8,92,50,3.64,27.72
SUNSHINE COAST AIRPORT,21/10/2014,4.0,0.0, ,24.6,19.1,89,60,6.86,14.15
SUNSHINE COAST AIRPORT,22/10/2014,4.7,9.0, ,24.8,16.0,93,47,5.38,18.86
SUNSHINE COAST AIRPORT,23/10/2014,5.1,0.0, ,25.0,12.3,93,49,3.62,27.96
SUNSHINE COAST AIRPORT,24/10/2014,5.1,0.0, ,26.2,12.6,95,50,3.77,26.27
SUNSHINE COAST AIRPORT,25/10/2014,5.6,0.0, ,26.9,13.0,94,52,5.79,27.49
SUNSHINE COAST AIRPORT,26/10/2014,6.0,0.0, ,28.4,16.2,92,54,6.46,27.54
SUNSHINE COAST AIRPORT,27/10/2014,8.4,0.0, ,35.7,19.2,89,36,6.21,27.40
SUNSHINE COAST AIRPORT,28/10/2014,5.6,1.0, ,30.7,20.3,94,59,4.00,25.61
SUNSHINE COAST AIRPORT,29/10/2014,4.9,0.2, ,27.3,16.8,95,68,4.20,26.37
SUNSHINE COAST AIRPORT,30/10/2014,5.1,0.0, ,27.0,19.2,89,63,4.02,25.21
SUNSHINE COAST AIRPORT,31/10/2014,5.2,0.0, ,28.6,17.6,94,60,4.11,25.12
Totals:,,158.1,30, ,,,,,, 
