'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for January 2015,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 February 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/01/2015,6.5,0.0, ,32.3,22.5,92,61,4.27,29.04
SUNSHINE COAST AIRPORT,02/01/2015,6.5,0.0, ,31.3,24.8,84,60,5.64,26.07
SUNSHINE COAST AIRPORT,03/01/2015,3.6,5.6, ,28.2,23.7,82,69,5.71,9.19
SUNSHINE COAST AIRPORT,04/01/2015,6.7,4.8, ,29.3,22.7,87,53,5.23,29.76
SUNSHINE COAST AIRPORT,05/01/2015,4.7,0.6, ,29.7,20.2,91,60,4.68,17.71
SUNSHINE COAST AIRPORT,06/01/2015,6.6,2.0, ,29.9,23.5,80,55,7.12,23.91
SUNSHINE COAST AIRPORT,07/01/2015,4.4,10.0, ,28.7,21.8,92,58,6.11,13.72
SUNSHINE COAST AIRPORT,08/01/2015,4.3,4.4, ,28.4,20.1,93,59,4.15,16.86
SUNSHINE COAST AIRPORT,09/01/2015,6.1,3.0, ,30.5,19.2,94,57,4.05,28.65
SUNSHINE COAST AIRPORT,10/01/2015,6.7,0.0, ,30.5,22.8,83,54,4.57,28.46
SUNSHINE COAST AIRPORT,11/01/2015,6.2,0.0, ,31.7,22.6,90,55,3.59,26.54
SUNSHINE COAST AIRPORT,12/01/2015,3.3,0.0, ,30.6,21.9,93,64,2.58,11.67
SUNSHINE COAST AIRPORT,13/01/2015,3.9,1.4, ,29.4,22.9,93,66,3.84,14.90
SUNSHINE COAST AIRPORT,14/01/2015,5.0,0.2, ,32.0,21.6,92,50,4.61,15.05
SUNSHINE COAST AIRPORT,15/01/2015,6.5,0.2, ,36.2,23.2,91,47,3.83,22.92
SUNSHINE COAST AIRPORT,16/01/2015,6.2,0.0, ,31.3,22.8,93,65,3.42,29.62
SUNSHINE COAST AIRPORT,17/01/2015,6.3,0.0, ,32.8,20.8,95,66,3.53,30.04
SUNSHINE COAST AIRPORT,18/01/2015,6.7,0.0, ,33.3,23.1,93,63,4.28,29.75
SUNSHINE COAST AIRPORT,19/01/2015,4.8,0.0, ,32.9,23.2,94,60,3.46,18.27
SUNSHINE COAST AIRPORT,20/01/2015,4.9,14.8, ,28.8,20.2,93,56,5.68,17.61
SUNSHINE COAST AIRPORT,21/01/2015,6.0,0.2, ,30.8,20.8,89,50,4.19,24.26
SUNSHINE COAST AIRPORT,22/01/2015,2.9,0.0, ,28.0,25.2,92,61,4.67,5.58
SUNSHINE COAST AIRPORT,23/01/2015,1.7,29.2, ,25.9,22.6,94,80,4.44,3.69
SUNSHINE COAST AIRPORT,24/01/2015,4.3,44.4, ,30.8,20.7,95,66,4.56,17.12
SUNSHINE COAST AIRPORT,25/01/2015,5.9,0.2, ,32.4,21.3,94,61,3.78,26.44
SUNSHINE COAST AIRPORT,26/01/2015,4.8,0.0, ,32.0,24.6,95,72,4.30,20.74
SUNSHINE COAST AIRPORT,27/01/2015,6.1,0.0, ,31.3,25.5,81,58,5.91,21.59
SUNSHINE COAST AIRPORT,28/01/2015,2.8,1.4, ,25.2,20.8,90,71,5.58,7.74
SUNSHINE COAST AIRPORT,29/01/2015,6.0,3.0, ,29.1,21.1,73,56,5.81,22.31
SUNSHINE COAST AIRPORT,30/01/2015,4.9,28.4, ,28.6,20.1,95,61,4.17,22.45
SUNSHINE COAST AIRPORT,31/01/2015,6.2,0.2, ,30.6,18.3,95,59,4.85,29.64
Totals:,,161.5,154, ,,,,,, 
