'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for February 2015,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 March 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/02/2015,6.1,0.0, ,31.0,20.3,95,62,3.75,29.89
SUNSHINE COAST AIRPORT,02/02/2015,5.0,0.0, ,30.5,20.6,94,58,5.02,19.00
SUNSHINE COAST AIRPORT,03/02/2015,5.3,39.0, ,29.2,19.5,94,56,6.41,20.69
SUNSHINE COAST AIRPORT,04/02/2015,5.1,0.2, ,28.1,20.5,84,55,7.35,15.39
SUNSHINE COAST AIRPORT,05/02/2015,4.9,1.6, ,28.2,20.1,90,54,6.90,15.69
SUNSHINE COAST AIRPORT,06/02/2015,6.5,2.0, ,29.1,21.3,73,51,9.17,16.64
SUNSHINE COAST AIRPORT,07/02/2015,6.3,0.0, ,29.0,20.8,81,54,5.99,25.84
SUNSHINE COAST AIRPORT,08/02/2015,5.8,0.2, ,29.1,20.5,89,58,3.89,27.33
SUNSHINE COAST AIRPORT,09/02/2015,5.9,0.0, ,29.7,17.9,95,54,5.53,25.83
SUNSHINE COAST AIRPORT,10/02/2015,6.3,1.2, ,29.6,21.0,89,53,7.29,24.54
SUNSHINE COAST AIRPORT,11/02/2015,5.7,0.4, ,29.7,23.1,93,54,6.20,21.62
SUNSHINE COAST AIRPORT,12/02/2015,4.9,10.6, ,29.1,21.2,92,60,6.10,18.81
SUNSHINE COAST AIRPORT,13/02/2015,5.8,0.2, ,29.6,21.9,91,56,7.21,22.06
SUNSHINE COAST AIRPORT,14/02/2015,6.0,6.2, ,29.0,20.9,90,49,5.74,23.72
SUNSHINE COAST AIRPORT,15/02/2015,5.7,0.0, ,29.1,20.6,90,52,4.23,25.02
SUNSHINE COAST AIRPORT,16/02/2015,6.2,0.0, ,29.3,19.6,91,47,4.90,26.48
SUNSHINE COAST AIRPORT,17/02/2015,7.0,0.0, ,29.6,24.2,79,52,7.79,25.77
SUNSHINE COAST AIRPORT,18/02/2015,4.2,3.2, ,29.0,22.2,90,69,8.68,13.96
SUNSHINE COAST AIRPORT,19/02/2015,2.1,8.2, ,27.0,23.4,94,80,9.43,3.30
SUNSHINE COAST AIRPORT,20/02/2015,1.4,132.0, ,26.7,22.3,95,87,5.88,2.88
SUNSHINE COAST AIRPORT,21/02/2015,2.1,197.6, ,28.5,21.5,95,80,5.55,5.94
SUNSHINE COAST AIRPORT,22/02/2015,4.9,4.0, ,31.7,21.5,92,58,5.20,16.99
SUNSHINE COAST AIRPORT,23/02/2015,5.2,1.2, ,29.8,22.7,92,62,7.48,19.51
SUNSHINE COAST AIRPORT,24/02/2015,5.0,2.0, ,29.6,22.2,93,62,6.45,19.56
SUNSHINE COAST AIRPORT,25/02/2015,4.3,4.6, ,28.1,22.4,93,69,5.93,18.70
SUNSHINE COAST AIRPORT,26/02/2015,4.7,10.8, ,29.1,20.5,94,59,3.92,20.20
SUNSHINE COAST AIRPORT,27/02/2015,4.5,1.4, ,29.0,21.4,93,61,3.31,19.85
SUNSHINE COAST AIRPORT,28/02/2015,5.1,0.0, ,29.4,20.5,94,61,2.87,24.85
Totals:,,142,426.6, ,,,,,, 
