'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for May 2015,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 June 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/05/2015,2.7,35.2, ,24.0,16.1,96,64,8.88,4.37
SUNSHINE COAST AIRPORT,02/05/2015,3.0,24.4, ,24.6,12.4,96,57,2.77,17.48
SUNSHINE COAST AIRPORT,03/05/2015,3.0,0.2, ,27.1,13.3,96,54,2.35,14.88
SUNSHINE COAST AIRPORT,04/05/2015,3.1,0.0, ,25.8,14.1,97,47,2.27,16.99
SUNSHINE COAST AIRPORT,05/05/2015,3.0,0.0, ,27.0,14.3,97,61,2.81,16.40
SUNSHINE COAST AIRPORT,06/05/2015,3.8,0.0, ,29.7,14.9,97,31,2.43,16.88
SUNSHINE COAST AIRPORT,07/05/2015,3.6,0.2, ,26.2,9.8,96,40,3.16,16.98
SUNSHINE COAST AIRPORT,08/05/2015,3.6,0.0, ,24.0,12.1,94,41,3.92,16.78
SUNSHINE COAST AIRPORT,09/05/2015,3.1,0.0, ,25.5,10.4,97,38,2.39,14.79
SUNSHINE COAST AIRPORT,10/05/2015,3.2,0.2, ,23.8,6.8,95,36,2.64,16.96
SUNSHINE COAST AIRPORT,11/05/2015,3.9,0.0, ,26.3,7.0,95,29,3.29,16.99
SUNSHINE COAST AIRPORT,12/05/2015,3.2,0.0, ,25.5,7.8,96,35,2.34,16.47
SUNSHINE COAST AIRPORT,13/05/2015,3.9,0.2, ,25.9,9.9,97,31,3.56,16.57
SUNSHINE COAST AIRPORT,14/05/2015,3.6,0.0, ,20.2,8.9,94,30,4.80,16.84
SUNSHINE COAST AIRPORT,15/05/2015,3.8,0.0, ,22.9,4.7,94,41,5.54,15.93
SUNSHINE COAST AIRPORT,16/05/2015,3.0,1.8, ,22.8,15.8,95,61,7.14,12.00
SUNSHINE COAST AIRPORT,17/05/2015,2.6,5.2, ,23.5,16.1,96,65,4.99,11.55
SUNSHINE COAST AIRPORT,18/05/2015,2.3,27.6, ,23.6,17.4,95,70,4.43,10.16
SUNSHINE COAST AIRPORT,19/05/2015,2.2,2.2, ,24.0,16.9,96,74,3.36,12.27
SUNSHINE COAST AIRPORT,20/05/2015,2.3,0.2, ,25.3,14.8,97,72,2.24,14.65
SUNSHINE COAST AIRPORT,21/05/2015,3.1,0.0, ,28.3,15.1,97,54,3.31,13.36
SUNSHINE COAST AIRPORT,22/05/2015,3.1,5.4, ,20.9,14.8,95,42,4.22,15.66
SUNSHINE COAST AIRPORT,23/05/2015,4.2,0.0, ,22.7,11.5,78,46,7.41,15.03
SUNSHINE COAST AIRPORT,24/05/2015,3.5,0.0, ,22.7,15.3,80,55,6.14,13.02
SUNSHINE COAST AIRPORT,25/05/2015,3.0,0.0, ,23.3,15.4,91,57,5.01,13.98
SUNSHINE COAST AIRPORT,26/05/2015,2.3,0.0, ,23.2,14.0,94,64,3.98,10.48
SUNSHINE COAST AIRPORT,27/05/2015,2.4,0.0, ,23.5,14.4,96,65,3.38,13.40
SUNSHINE COAST AIRPORT,28/05/2015,2.2,0.0, ,23.8,12.4,97,65,2.46,13.60
SUNSHINE COAST AIRPORT,29/05/2015,2.2,0.0, ,24.9,12.5,97,70,2.51,13.32
SUNSHINE COAST AIRPORT,30/05/2015,2.2,0.2, ,25.5,13.1,97,70,2.38,14.18
SUNSHINE COAST AIRPORT,31/05/2015,2.5,0.2, ,26.9,15.9,96,60,3.09,10.55
Totals:,,93.6,103.2, ,,,,,, 
