'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for June 2015,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 July 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/06/2015,2.0,0.0, ,20.6,17.3,93,54,3.81,4.13
SUNSHINE COAST AIRPORT,02/06/2015,2.8,0.0, ,20.5,6.5,96,38,3.44,15.11
SUNSHINE COAST AIRPORT,03/06/2015,2.2,0.0, ,19.9,5.4,97,46,2.51,13.79
SUNSHINE COAST AIRPORT,04/06/2015,2.2,0.2, ,20.8,7.0,98,51,2.48,13.65
SUNSHINE COAST AIRPORT,05/06/2015,3.1,0.2, ,21.7,6.6,97,25,3.22,14.78
SUNSHINE COAST AIRPORT,06/06/2015,3.5,0.0, ,22.5,6.9,89,47,6.03,13.75
SUNSHINE COAST AIRPORT,07/06/2015,3.0,0.0, ,23.1,15.4,95,56,5.96,12.01
SUNSHINE COAST AIRPORT,08/06/2015,2.5,6.2, ,23.5,15.5,94,55,3.32,12.36
SUNSHINE COAST AIRPORT,09/06/2015,2.3,0.0, ,23.6,15.3,95,60,2.77,12.68
SUNSHINE COAST AIRPORT,10/06/2015,2.4,0.2, ,23.5,13.6,96,60,4.14,10.52
SUNSHINE COAST AIRPORT,11/06/2015,2.6,1.2, ,23.6,17.0,96,67,7.43,9.68
SUNSHINE COAST AIRPORT,12/06/2015,1.9,14.4, ,21.7,14.6,95,77,6.72,8.55
SUNSHINE COAST AIRPORT,13/06/2015,2.6,10.8, ,23.5,15.6,95,61,5.07,11.76
SUNSHINE COAST AIRPORT,14/06/2015,1.5,1.2, ,20.7,15.9,97,83,4.20,9.21
SUNSHINE COAST AIRPORT,15/06/2015,2.1,5.2, ,23.0,15.8,97,69,4.13,11.19
SUNSHINE COAST AIRPORT,16/06/2015,1.4,1.2, ,21.6,15.8,97,85,2.20,8.71
SUNSHINE COAST AIRPORT,17/06/2015,1.0,4.0, ,21.3,14.1,97,82,1.09,5.27
SUNSHINE COAST AIRPORT,18/06/2015,2.5,3.8, ,24.4,10.9,98,44,2.26,14.25
SUNSHINE COAST AIRPORT,19/06/2015,2.8,0.2, ,20.6,9.4,96,39,3.87,13.98
SUNSHINE COAST AIRPORT,20/06/2015,2.8,0.2, ,20.9,7.0,95,42,4.07,13.95
SUNSHINE COAST AIRPORT,21/06/2015,3.0,0.0, ,20.9,12.3,92,52,5.91,14.17
SUNSHINE COAST AIRPORT,22/06/2015,2.6,1.0, ,21.8,13.5,90,63,5.27,12.98
SUNSHINE COAST AIRPORT,23/06/2015,2.4,0.6, ,22.2,13.6,91,59,3.92,10.70
SUNSHINE COAST AIRPORT,24/06/2015,1.6,3.0, ,20.1,13.8,97,75,3.39,9.66
SUNSHINE COAST AIRPORT,25/06/2015,1.8,0.2, ,21.9,8.5,98,62,2.50,10.14
SUNSHINE COAST AIRPORT,26/06/2015,2.6,0.8, ,21.8,11.9,90,67,6.62,12.45
SUNSHINE COAST AIRPORT,27/06/2015,2.3,3.8, ,21.9,15.0,91,71,6.03,11.61
SUNSHINE COAST AIRPORT,28/06/2015,2.4,0.0, ,23.3,14.6,97,63,4.13,13.04
SUNSHINE COAST AIRPORT,29/06/2015,1.8,5.4, ,21.1,15.2,96,74,4.46,8.37
SUNSHINE COAST AIRPORT,30/06/2015,2.4,14.4, ,22.6,13.7,96,57,3.35,13.48
Totals:,,70.1,78.2, ,,,,,, 
