'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for July 2015,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 August 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/07/2015,1.8,0.0, ,22.4,12.0,97,64,2.10,10.75
SUNSHINE COAST AIRPORT,02/07/2015,2.6,2.0, ,22.1,8.2,98,44,3.14,12.95
SUNSHINE COAST AIRPORT,03/07/2015,3.1,0.0, ,20.2,6.3,91,40,4.72,14.67
SUNSHINE COAST AIRPORT,04/07/2015,2.5,0.0, ,21.3,9.8,96,55,4.10,12.81
SUNSHINE COAST AIRPORT,05/07/2015,2.1,0.0, ,22.9,8.6,98,51,2.16,10.99
SUNSHINE COAST AIRPORT,06/07/2015,3.1,0.0, ,24.7,9.0,98,32,2.88,14.35
SUNSHINE COAST AIRPORT,07/07/2015,3.6,0.2, ,23.6,8.3,96,21,3.57,14.98
SUNSHINE COAST AIRPORT,08/07/2015,2.7,0.0, ,21.2,9.8,94,57,5.89,11.27
SUNSHINE COAST AIRPORT,09/07/2015,2.2,11.4, ,20.3,13.2,96,62,4.43,11.89
SUNSHINE COAST AIRPORT,10/07/2015,1.2,0.8, ,16.7,9.7,97,82,2.65,7.96
SUNSHINE COAST AIRPORT,11/07/2015,2.0,2.8, ,22.9,8.9,98,65,3.09,11.12
SUNSHINE COAST AIRPORT,12/07/2015,3.3,0.2, ,19.3,12.5,96,28,4.82,15.37
SUNSHINE COAST AIRPORT,13/07/2015,3.1,0.0, ,20.0,2.1,94,32,3.77,15.06
SUNSHINE COAST AIRPORT,14/07/2015,2.9,0.0, ,20.2,3.5,91,33,3.37,15.31
SUNSHINE COAST AIRPORT,15/07/2015,2.1,0.0, ,18.2,2.3,97,39,2.43,12.12
SUNSHINE COAST AIRPORT,16/07/2015,2.4,0.2, ,21.5,4.6,98,37,2.47,10.23
SUNSHINE COAST AIRPORT,17/07/2015,3.0,0.0, ,18.3,5.5,93,32,4.06,15.54
SUNSHINE COAST AIRPORT,18/07/2015,2.6,0.0, ,18.3,2.7,95,36,3.17,15.74
SUNSHINE COAST AIRPORT,19/07/2015,2.7,0.0, ,20.6,5.3,95,58,5.99,12.37
SUNSHINE COAST AIRPORT,20/07/2015,2.8,3.8, ,20.5,12.4,94,58,6.06,13.38
SUNSHINE COAST AIRPORT,21/07/2015,2.8,4.4, ,21.4,13.2,96,51,5.44,10.11
SUNSHINE COAST AIRPORT,22/07/2015,2.0,8.8, ,21.5,14.1,97,72,3.82,11.37
SUNSHINE COAST AIRPORT,23/07/2015,1.9,1.4, ,21.9,15.3,97,72,2.63,10.59
SUNSHINE COAST AIRPORT,24/07/2015,2.0,1.2, ,24.0,14.9,97,74,1.97,12.79
SUNSHINE COAST AIRPORT,25/07/2015,2.3,0.2, ,25.3,16.2,96,56,2.47,9.68
SUNSHINE COAST AIRPORT,26/07/2015,2.7,0.0, ,26.9,11.9,97,53,2.27,13.56
SUNSHINE COAST AIRPORT,27/07/2015,3.3,0.0, ,24.3,12.6,97,33,3.26,14.83
SUNSHINE COAST AIRPORT,28/07/2015,3.0,0.0, ,21.1,11.6,89,54,5.05,13.95
SUNSHINE COAST AIRPORT,29/07/2015,3.4,0.0, ,20.7,10.6,90,44,5.20,15.54
SUNSHINE COAST AIRPORT,30/07/2015,2.6,0.0, ,22.0,7.9,96,56,3.09,15.46
SUNSHINE COAST AIRPORT,31/07/2015,3.4,0.2, ,24.8,8.3,98,34,3.08,15.91
Totals:,,81.2,37.6, ,,,,,, 
