'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for August 2015,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 September 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/08/2015,2.8,0.0, ,23.5,7.3,98,52,2.91,16.19
SUNSHINE COAST AIRPORT,02/08/2015,3.2,0.2, ,26.2,8.9,98,54,3.87,15.79
SUNSHINE COAST AIRPORT,03/08/2015,3.5,0.2, ,27.2,9.9,97,47,3.41,16.11
SUNSHINE COAST AIRPORT,04/08/2015, ,0.0, , ,12.1,100,54,3.85,13.10
SUNSHINE COAST AIRPORT,05/08/2015, , , ,21.0, ,85,21,3.92,17.51
SUNSHINE COAST AIRPORT,06/08/2015,3.6,0.0, ,20.3,3.8,79,27,3.71,17.07
SUNSHINE COAST AIRPORT,07/08/2015,3.1,0.0, ,20.2,6.3,96,40,3.82,16.14
SUNSHINE COAST AIRPORT,08/08/2015,3.0,0.0, ,20.6,4.8,98,40,3.06,17.25
SUNSHINE COAST AIRPORT,09/08/2015,2.7,0.0, ,21.1,4.9,98,50,3.30,15.40
SUNSHINE COAST AIRPORT,10/08/2015, ,0.0, , ,5.6,98,59,3.14,16.89
SUNSHINE COAST AIRPORT,11/08/2015, , , ,27.1, ,98,30,3.11,17.48
SUNSHINE COAST AIRPORT,12/08/2015,4.5,0.0, ,27.8,9.7,96,43,5.44,16.54
SUNSHINE COAST AIRPORT,13/08/2015,4.7,6.2, ,22.5,9.2,80,22,4.90,18.44
SUNSHINE COAST AIRPORT,14/08/2015,3.3,0.0, ,21.0,4.0,96,30,2.93,18.21
SUNSHINE COAST AIRPORT,15/08/2015,3.0,0.0, ,21.8,5.0,98,48,3.30,17.64
SUNSHINE COAST AIRPORT,16/08/2015,3.1,0.0, ,22.5,8.8,95,53,4.43,14.40
SUNSHINE COAST AIRPORT,17/08/2015,2.8,0.0, ,22.7,8.0,98,58,2.96,16.24
SUNSHINE COAST AIRPORT,18/08/2015,3.2,0.0, ,21.9,8.3,98,45,3.04,18.36
SUNSHINE COAST AIRPORT,19/08/2015,3.2,0.0, ,22.2,6.1,98,49,3.73,17.40
SUNSHINE COAST AIRPORT,20/08/2015,2.3,0.0, ,20.6,12.6,91,68,4.99,9.87
SUNSHINE COAST AIRPORT,21/08/2015,2.1,11.4, ,22.3,15.5,97,75,3.19,11.43
SUNSHINE COAST AIRPORT,22/08/2015,2.1,51.2, ,23.1,16.8,97,79,2.35,11.99
SUNSHINE COAST AIRPORT,23/08/2015,2.6,0.6, ,24.6,12.7,98,70,2.86,14.32
SUNSHINE COAST AIRPORT,24/08/2015,3.8,0.0, ,27.1,15.6,96,52,4.56,15.03
SUNSHINE COAST AIRPORT,25/08/2015,4.2,0.8, ,29.1,16.2,96,49,4.14,17.05
SUNSHINE COAST AIRPORT,26/08/2015,2.9,0.2, ,24.7,15.0,97,67,2.73,16.60
SUNSHINE COAST AIRPORT,27/08/2015,2.1,0.0, ,23.2,17.2,97,63,3.00,7.66
SUNSHINE COAST AIRPORT,28/08/2015,2.7,13.0, ,22.9,15.4,97,60,2.62,13.74
SUNSHINE COAST AIRPORT,29/08/2015,2.6,0.0, ,23.5,13.5,97,59,3.93,9.84
SUNSHINE COAST AIRPORT,30/08/2015,4.0,63.2, ,23.7,14.6,98,32,3.40,19.18
SUNSHINE COAST AIRPORT,31/08/2015,4.0,0.0, ,22.6,9.8,96,36,3.77,19.95
Totals:,,85.1,147, ,,,,,, 
