'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for September 2015,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 October 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/09/2015,3.7,0.0, ,22.9,6.2,97,37,2.82,21.05
SUNSHINE COAST AIRPORT,02/09/2015,4.1,0.0, ,24.4,6.6,98,38,3.65,20.43
SUNSHINE COAST AIRPORT,03/09/2015,4.4,0.6, ,26.2,15.2,96,26,4.54,11.46
SUNSHINE COAST AIRPORT,04/09/2015,4.3,4.8, ,22.9,9.1,87,37,4.10,20.91
SUNSHINE COAST AIRPORT,05/09/2015,3.6,0.0, ,23.3,12.9,94,57,4.42,18.79
SUNSHINE COAST AIRPORT,06/09/2015,2.7,0.0, ,24.1,11.1,97,60,2.62,12.48
SUNSHINE COAST AIRPORT,07/09/2015,3.2,0.0, ,24.9,10.9,98,63,3.46,17.52
SUNSHINE COAST AIRPORT,08/09/2015,4.5,0.0, ,28.9,13.4,96,35,3.55,15.98
SUNSHINE COAST AIRPORT,09/09/2015,4.9,0.0, ,24.2,8.1,83,28,4.00,21.92
SUNSHINE COAST AIRPORT,10/09/2015,4.3,0.0, ,23.4,9.5,95,44,5.36,19.70
SUNSHINE COAST AIRPORT,11/09/2015,2.3,1.2, ,20.1,14.6,94,76,5.71,11.23
SUNSHINE COAST AIRPORT,12/09/2015,3.6,2.2, ,25.1,15.3,95,54,4.60,14.06
SUNSHINE COAST AIRPORT,13/09/2015,4.1,4.8, ,23.9,12.7,97,49,4.31,20.62
SUNSHINE COAST AIRPORT,14/09/2015,3.5,0.2, ,24.5,12.4,96,56,3.23,17.95
SUNSHINE COAST AIRPORT,15/09/2015,3.5,0.2, ,25.0,15.0,97,60,2.97,18.63
SUNSHINE COAST AIRPORT,16/09/2015,5.0,0.0, ,28.6,12.5,98,46,4.53,22.28
SUNSHINE COAST AIRPORT,17/09/2015,2.3,0.0, ,23.3,16.3,96,64,2.07,9.96
SUNSHINE COAST AIRPORT,18/09/2015,4.5,10.4, ,23.2,13.8,97,48,6.63,20.86
SUNSHINE COAST AIRPORT,19/09/2015,4.9,0.6, ,23.8,14.9,79,51,7.03,19.66
SUNSHINE COAST AIRPORT,20/09/2015,4.4,0.2, ,24.1,15.0,94,54,6.36,21.29
SUNSHINE COAST AIRPORT,21/09/2015,4.0,9.4, ,24.0,15.5,95,52,5.04,17.79
SUNSHINE COAST AIRPORT,22/09/2015,4.5,0.0, ,27.6,12.3,97,48,3.53,21.30
SUNSHINE COAST AIRPORT,23/09/2015,4.2,0.0, ,23.0,10.6,95,49,5.61,20.41
SUNSHINE COAST AIRPORT,24/09/2015,4.6,3.2, ,21.0,10.1,82,42,4.86,24.25
SUNSHINE COAST AIRPORT,25/09/2015,4.7,0.0, ,23.3,7.3,92,41,5.19,22.66
SUNSHINE COAST AIRPORT,26/09/2015,4.5,0.0, ,23.6,14.2,88,52,6.09,20.79
SUNSHINE COAST AIRPORT,27/09/2015,3.3,0.0, ,22.7,13.0,96,57,4.33,15.18
SUNSHINE COAST AIRPORT,28/09/2015,3.8,23.8, ,24.4,9.6,98,56,3.45,20.05
SUNSHINE COAST AIRPORT,29/09/2015,4.4,0.0, ,26.6,11.3,97,56,4.63,21.24
SUNSHINE COAST AIRPORT,30/09/2015,4.3,20.6, ,25.8,10.6,98,52,3.95,21.19
Totals:,,120.1,82.2, ,,,,,, 
