'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for March 2016,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 April 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/03/2016,2.5,7.2, ,28.8,22.6,96,76,5.24,7.34
SUNSHINE COAST AIRPORT,02/03/2016,4.7,39.8, ,30.4,22.8,90,66,5.51,18.18
SUNSHINE COAST AIRPORT,03/03/2016,5.8,0.2, ,30.1,23.8,88,57,5.46,24.11
SUNSHINE COAST AIRPORT,04/03/2016,6.6,0.2, ,29.6,24.3,71,51,5.70,24.36
SUNSHINE COAST AIRPORT,05/03/2016,4.3,0.0, ,29.1,20.9,90,58,5.01,15.09
SUNSHINE COAST AIRPORT,06/03/2016,4.9,0.0, ,30.0,22.0,95,56,4.63,19.75
SUNSHINE COAST AIRPORT,07/03/2016,3.8,30.8, ,29.0,21.8,96,64,5.50,13.04
SUNSHINE COAST AIRPORT,08/03/2016,4.5,7.2, ,29.2,20.9,96,60,4.00,19.71
SUNSHINE COAST AIRPORT,09/03/2016,4.8,1.4, ,30.1,22.5,92,63,5.08,19.58
SUNSHINE COAST AIRPORT,10/03/2016,4.6,0.0, ,30.5,22.5,95,62,4.04,19.81
SUNSHINE COAST AIRPORT,11/03/2016,4.8,0.8, ,30.3,21.9,96,61,3.92,21.16
SUNSHINE COAST AIRPORT,12/03/2016,4.7,0.0, ,30.6,24.6,95,58,5.72,16.69
SUNSHINE COAST AIRPORT,13/03/2016,4.3,10.0, ,29.6,22.3,92,68,6.19,17.07
SUNSHINE COAST AIRPORT,14/03/2016,5.2,1.2, ,30.6,25.0,82,59,5.38,18.40
SUNSHINE COAST AIRPORT,15/03/2016,5.3,0.0, ,30.2,20.7,93,57,5.89,21.63
SUNSHINE COAST AIRPORT,16/03/2016,2.7,1.4, ,29.0,21.8,95,73,6.08,7.12
SUNSHINE COAST AIRPORT,17/03/2016,3.6,16.0, ,29.1,21.8,96,69,5.50,13.59
SUNSHINE COAST AIRPORT,18/03/2016,4.5,1.0, ,29.9,20.2,96,62,3.33,20.85
SUNSHINE COAST AIRPORT,19/03/2016,4.6,0.0, ,31.7,21.7,96,63,3.11,20.60
SUNSHINE COAST AIRPORT,20/03/2016,3.1,24.6, ,27.9,22.0,97,71,5.91,10.80
SUNSHINE COAST AIRPORT,21/03/2016,3.8,15.8, ,28.4,21.2,96,65,5.09,15.57
SUNSHINE COAST AIRPORT,22/03/2016,3.8,46.6, ,27.5,19.5,96,63,4.76,15.97
SUNSHINE COAST AIRPORT,23/03/2016,4.1,0.4, ,28.1,19.6,94,57,3.50,18.29
SUNSHINE COAST AIRPORT,24/03/2016,4.4,0.0, ,29.0,18.9,96,56,3.26,20.32
SUNSHINE COAST AIRPORT,25/03/2016,4.6,0.0, ,28.4,18.0,96,49,2.88,22.34
SUNSHINE COAST AIRPORT,26/03/2016,4.5,0.0, ,29.5,17.4,97,55,2.95,22.13
SUNSHINE COAST AIRPORT,27/03/2016,2.6,0.0, ,26.9,19.8,95,63,2.76,9.03
SUNSHINE COAST AIRPORT,28/03/2016,3.4,4.6, ,28.0,19.0,97,62,2.54,15.80
SUNSHINE COAST AIRPORT,29/03/2016,4.2,0.0, ,28.5,17.4,97,55,2.21,21.63
SUNSHINE COAST AIRPORT,30/03/2016,4.5,0.0, ,30.3,17.6,97,56,2.99,21.40
SUNSHINE COAST AIRPORT,31/03/2016,4.0,0.0, ,30.3,19.7,96,56,2.97,17.37
Totals:,,133.2,209.2, ,,,,,, 
