'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for April 2016,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 May 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/04/2016,4.4,0.4, ,29.2,21.2,93,50,3.46,18.62
SUNSHINE COAST AIRPORT,02/04/2016,4.2,0.0, ,29.6,17.7,97,54,2.21,21.65
SUNSHINE COAST AIRPORT,03/04/2016,4.3,0.0, ,29.1,17.1,97,58,3.42,20.93
SUNSHINE COAST AIRPORT,04/04/2016,5.1,0.0, ,29.3,21.5,95,49,6.18,18.53
SUNSHINE COAST AIRPORT,05/04/2016,4.3,27.4, ,27.9,20.1,96,54,5.60,16.44
SUNSHINE COAST AIRPORT,06/04/2016,4.5,1.0, ,28.6,18.4,95,50,3.62,20.56
SUNSHINE COAST AIRPORT,07/04/2016,4.4,0.2, ,29.3,16.9,97,46,2.64,21.43
SUNSHINE COAST AIRPORT,08/04/2016,3.8,0.0, ,28.4,16.7,97,49,2.14,18.75
SUNSHINE COAST AIRPORT,09/04/2016,3.8,0.0, ,29.2,16.9,97,56,2.55,18.12
SUNSHINE COAST AIRPORT,10/04/2016,4.2,0.0, ,29.2,16.9,97,57,3.44,20.11
SUNSHINE COAST AIRPORT,11/04/2016,3.7,0.0, ,30.2,18.0,97,54,3.06,15.36
SUNSHINE COAST AIRPORT,12/04/2016,3.2,0.0, ,28.0,18.3,98,65,4.41,12.66
SUNSHINE COAST AIRPORT,13/04/2016,4.1,18.6, ,27.6,19.1,96,60,6.23,17.06
SUNSHINE COAST AIRPORT,14/04/2016,3.9,8.4, ,26.0,19.2,92,58,6.93,13.33
SUNSHINE COAST AIRPORT,15/04/2016,4.0,1.8, ,26.7,18.0,94,56,5.15,16.93
SUNSHINE COAST AIRPORT,16/04/2016,3.6,1.2, ,26.6,17.9,91,61,4.61,15.36
SUNSHINE COAST AIRPORT,17/04/2016,3.8,0.0, ,27.5,16.5,96,57,3.67,18.73
SUNSHINE COAST AIRPORT,18/04/2016,3.6,0.0, ,26.7,18.3,94,61,3.79,18.08
SUNSHINE COAST AIRPORT,19/04/2016,3.5,0.0, ,27.5,16.0,97,56,3.44,15.81
SUNSHINE COAST AIRPORT,20/04/2016,3.9,0.0, ,27.2,16.4,96,57,4.03,19.65
SUNSHINE COAST AIRPORT,21/04/2016,3.4,0.2, ,27.3,18.5,96,66,3.69,17.23
SUNSHINE COAST AIRPORT,22/04/2016,3.4,0.2, ,27.9,16.5,98,62,2.45,18.31
SUNSHINE COAST AIRPORT,23/04/2016,3.7,0.0, ,27.3,16.4,98,60,5.02,17.42
SUNSHINE COAST AIRPORT,24/04/2016,5.1,0.0, ,26.7,16.8,90,44,7.45,18.55
SUNSHINE COAST AIRPORT,25/04/2016,3.9,4.4, ,25.1,18.2,92,57,7.50,14.46
SUNSHINE COAST AIRPORT,26/04/2016,4.4,2.8, ,26.7,18.5,91,54,8.20,14.06
SUNSHINE COAST AIRPORT,27/04/2016,3.5,5.6, ,25.5,20.2,93,62,6.75,13.31
SUNSHINE COAST AIRPORT,28/04/2016,3.1,2.8, ,27.7,18.2,96,64,4.06,13.58
SUNSHINE COAST AIRPORT,29/04/2016,1.7,5.4, ,24.3,18.5,96,82,3.50,7.38
SUNSHINE COAST AIRPORT,30/04/2016,2.0,18.8, ,26.7,19.5,97,75,2.24,9.30
Totals:,,114.5,99.2, ,,,,,, 
