'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for May 2016,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 June 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/05/2016,1.6,47.2, ,25.5,21.1,98,88,2.94,7.81
SUNSHINE COAST AIRPORT,02/05/2016,2.7,9.0, ,26.9,19.0,98,73,1.68,15.91
SUNSHINE COAST AIRPORT,03/05/2016,2.8,14.0, ,27.0,19.5,98,73,2.49,15.48
SUNSHINE COAST AIRPORT,04/05/2016,3.8,0.0, ,27.5,18.9,97,34,2.93,16.28
SUNSHINE COAST AIRPORT,05/05/2016,3.2,0.0, ,26.4,14.1,98,58,3.22,17.84
SUNSHINE COAST AIRPORT,06/05/2016,2.9,0.0, ,26.5,14.2,98,60,2.27,17.37
SUNSHINE COAST AIRPORT,07/05/2016,3.2,0.0, ,26.6,15.0,98,55,3.16,16.96
SUNSHINE COAST AIRPORT,08/05/2016,2.9,0.2, ,26.8,17.6,96,66,3.10,15.05
SUNSHINE COAST AIRPORT,09/05/2016,2.9,0.2, ,27.4,17.1,98,67,3.15,15.16
SUNSHINE COAST AIRPORT,10/05/2016,3.5,0.0, ,31.5,18.9,96,52,3.38,12.01
SUNSHINE COAST AIRPORT,11/05/2016,2.7,0.0, ,23.4,19.0,96,48,4.04,8.37
SUNSHINE COAST AIRPORT,12/05/2016,3.4,0.0, ,26.4,8.0,98,26,2.30,17.26
SUNSHINE COAST AIRPORT,13/05/2016,3.2,0.0, ,25.3,8.0,97,43,2.85,17.14
SUNSHINE COAST AIRPORT,14/05/2016,2.9,0.0, ,25.8,11.6,98,56,2.66,16.33
SUNSHINE COAST AIRPORT,15/05/2016,3.0,0.0, ,25.7,11.6,98,46,2.39,16.64
SUNSHINE COAST AIRPORT,16/05/2016,3.1,0.0, ,27.0,11.4,98,50,2.88,15.76
SUNSHINE COAST AIRPORT,17/05/2016,3.0,0.0, ,27.3,12.1,98,55,2.78,15.61
SUNSHINE COAST AIRPORT,18/05/2016,3.1,0.0, ,27.8,13.2,98,53,2.90,15.54
SUNSHINE COAST AIRPORT,19/05/2016,2.4,0.0, ,26.6,13.9,98,63,2.18,13.81
SUNSHINE COAST AIRPORT,20/05/2016,3.9,0.0, ,27.5,12.0,98,19,3.08,15.41
SUNSHINE COAST AIRPORT,21/05/2016,3.3,0.0, ,26.0,13.5,94,58,5.30,13.56
SUNSHINE COAST AIRPORT,22/05/2016,2.7,0.0, ,26.1,17.9,96,55,2.88,12.40
SUNSHINE COAST AIRPORT,23/05/2016,2.9,0.0, ,26.6,12.6,98,52,2.85,15.08
SUNSHINE COAST AIRPORT,24/05/2016,3.1,0.0, ,26.4,14.5,97,45,2.98,14.90
SUNSHINE COAST AIRPORT,25/05/2016,3.1,0.0, ,23.8,7.3,98,23,2.62,15.03
SUNSHINE COAST AIRPORT,26/05/2016,4.5,0.0, ,28.7,8.5,97,37,4.97,14.95
SUNSHINE COAST AIRPORT,27/05/2016,3.8,0.2, ,28.8,18.8,91,43,4.25,12.25
SUNSHINE COAST AIRPORT,28/05/2016,3.7,0.0, ,25.0,10.4,75,27,3.35,14.84
SUNSHINE COAST AIRPORT,29/05/2016,2.7,0.0, ,23.0,7.4,95,36,2.52,13.27
SUNSHINE COAST AIRPORT,30/05/2016,2.6,0.0, ,22.9,4.6,98,44,2.76,14.36
SUNSHINE COAST AIRPORT,31/05/2016,2.6,0.0, ,24.4,7.9,98,50,2.90,13.63
Totals:,,95.2,70.8, ,,,,,, 
