'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for June 2016,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 July 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/06/2016,1.6,7.8, ,20.7,15.7,96,73,4.27,5.30
SUNSHINE COAST AIRPORT,02/06/2016,1.4,19.8, ,19.8,15.5,98,81,3.47,8.80
SUNSHINE COAST AIRPORT,03/06/2016,1.5,40.6, ,21.9,15.6,98,83,4.37,8.47
SUNSHINE COAST AIRPORT,04/06/2016,1.5,45.6, ,21.6,17.1,98,81,8.05,4.15
SUNSHINE COAST AIRPORT,05/06/2016,3.0,18.2, ,19.7,13.5,84,52,6.12,11.02
SUNSHINE COAST AIRPORT,06/06/2016,2.7,0.0, ,19.7,13.4,94,42,4.91,6.66
SUNSHINE COAST AIRPORT,07/06/2016,3.2,0.0, ,22.4,7.3,97,32,3.65,14.38
SUNSHINE COAST AIRPORT,08/06/2016,2.9,0.0, ,24.7,6.1,98,30,2.49,14.35
SUNSHINE COAST AIRPORT,09/06/2016,3.6,0.2, ,29.1,9.3,97,32,2.95,14.32
SUNSHINE COAST AIRPORT,10/06/2016,2.7,0.0, ,26.3,13.0,96,36,2.04,14.19
SUNSHINE COAST AIRPORT,11/06/2016,2.4,0.0, ,23.5,9.2,98,46,2.40,14.24
SUNSHINE COAST AIRPORT,12/06/2016,2.0,0.0, ,19.6,9.1,96,66,6.30,6.98
SUNSHINE COAST AIRPORT,13/06/2016,2.9,11.6, ,22.4,15.8,91,64,8.97,8.49
SUNSHINE COAST AIRPORT,14/06/2016,2.9,10.2, ,23.2,16.8,95,59,6.48,12.22
SUNSHINE COAST AIRPORT,15/06/2016,2.0,8.8, ,21.2,15.4,96,73,5.32,10.59
SUNSHINE COAST AIRPORT,16/06/2016,1.6,22.2, ,20.7,15.9,98,71,3.63,7.55
SUNSHINE COAST AIRPORT,17/06/2016,1.6,1.0, ,22.1,11.2,98,72,1.76,10.27
SUNSHINE COAST AIRPORT,18/06/2016,1.8,2.8, ,23.3,14.0,98,76,2.37,12.57
SUNSHINE COAST AIRPORT,19/06/2016,1.2,31.2, ,22.1,18.1,98,85,6.17,4.25
SUNSHINE COAST AIRPORT,20/06/2016,3.1,36.0, ,22.8,14.1,96,41,4.24,14.22
SUNSHINE COAST AIRPORT,21/06/2016,2.7,0.0, ,23.5,8.4,96,42,2.95,13.84
SUNSHINE COAST AIRPORT,22/06/2016,1.8,0.0, ,22.6,9.5,95,53,1.87,8.77
SUNSHINE COAST AIRPORT,23/06/2016,2.1,0.0, ,22.7,12.6,96,50,2.33,10.59
SUNSHINE COAST AIRPORT,24/06/2016,3.1,0.0, ,24.8,14.3,95,46,4.66,10.21
SUNSHINE COAST AIRPORT,25/06/2016,2.9,0.0, ,18.9,7.8,95,22,3.53,14.26
SUNSHINE COAST AIRPORT,26/06/2016,1.9,0.0, ,20.4,3.1,97,41,1.75,12.24
SUNSHINE COAST AIRPORT,27/06/2016,1.9,0.0, ,20.9,9.5,94,57,3.08,7.22
SUNSHINE COAST AIRPORT,28/06/2016,2.9,0.0, ,19.1,4.9,85,38,4.01,14.32
SUNSHINE COAST AIRPORT,29/06/2016,2.8,0.0, ,21.2,7.4,96,44,3.94,14.34
SUNSHINE COAST AIRPORT,30/06/2016,2.3,0.0, ,22.6,6.8,98,54,2.88,13.33
Totals:,,70,256, ,,,,,, 
