'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for September 2016,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 October 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/09/2016, ,0.0, , ,13.2,100,67,3.39,12.96
SUNSHINE COAST AIRPORT,02/09/2016, , , ,24.4, ,97,68,5.38,14.60
SUNSHINE COAST AIRPORT,03/09/2016,4.5,11.8, ,25.8,16.7,97,34,3.90,19.71
SUNSHINE COAST AIRPORT,04/09/2016,4.0,0.0, ,22.6,6.3,95,30,3.24,20.72
SUNSHINE COAST AIRPORT,05/09/2016,4.1,0.0, ,23.1,11.2,93,45,5.77,17.47
SUNSHINE COAST AIRPORT,06/09/2016,3.2,1.6, ,22.5,15.5,94,60,5.46,13.46
SUNSHINE COAST AIRPORT,07/09/2016,4.0,0.8, ,23.2,16.4,87,53,6.00,16.16
SUNSHINE COAST AIRPORT,08/09/2016,4.3,0.0, ,23.5,19.4,76,59,6.24,16.08
SUNSHINE COAST AIRPORT,09/09/2016,3.2,0.4, ,24.4,18.1,90,61,6.30,9.18
SUNSHINE COAST AIRPORT,10/09/2016,3.3,0.6, ,24.8,16.7,97,62,4.28,15.43
SUNSHINE COAST AIRPORT,11/09/2016,3.7,27.6, ,22.1,14.7,97,41,2.41,20.67
SUNSHINE COAST AIRPORT,12/09/2016,3.4,0.0, ,23.9,11.3,98,65,3.16,20.85
SUNSHINE COAST AIRPORT,13/09/2016,3.6,0.0, ,25.6,12.6,98,62,3.02,20.31
SUNSHINE COAST AIRPORT,14/09/2016,3.3,0.2, ,25.9,16.2,98,68,4.63,16.23
SUNSHINE COAST AIRPORT,15/09/2016,2.7,0.0, ,25.7,17.8,97,73,3.61,12.00
SUNSHINE COAST AIRPORT,16/09/2016,5.4,9.8, ,29.2,17.1,97,33,4.18,21.28
SUNSHINE COAST AIRPORT,17/09/2016,3.4,0.0, ,24.4,11.2,97,62,3.97,17.73
SUNSHINE COAST AIRPORT,18/09/2016,1.7,0.2, ,22.3,17.8,97,87,4.24,7.99
SUNSHINE COAST AIRPORT,19/09/2016,3.1,4.8, ,22.7,17.0,92,47,3.10,11.77
SUNSHINE COAST AIRPORT,20/09/2016,4.0,0.0, ,23.4,10.9,97,28,2.67,18.53
SUNSHINE COAST AIRPORT,21/09/2016,1.9,0.0, ,22.9,15.6,97,75,1.94,8.82
SUNSHINE COAST AIRPORT,22/09/2016,5.5,0.4, ,26.1,15.9,97,24,4.12,23.49
SUNSHINE COAST AIRPORT,23/09/2016,5.7,0.2, ,25.4,10.1,87,22,4.43,23.68
SUNSHINE COAST AIRPORT,24/09/2016,4.2,0.0, ,23.5,8.6,96,45,3.20,23.75
SUNSHINE COAST AIRPORT,25/09/2016,4.3,0.0, ,26.7,11.2,98,41,3.07,19.07
SUNSHINE COAST AIRPORT,26/09/2016,5.3,0.0, ,25.8,12.9,94,31,3.94,24.04
SUNSHINE COAST AIRPORT,27/09/2016,5.0,0.0, ,25.3,12.5,93,20,3.56,19.91
SUNSHINE COAST AIRPORT,28/09/2016,5.2,0.0, ,25.8,9.0,87,27,3.44,24.26
SUNSHINE COAST AIRPORT,29/09/2016,2.8,0.0, ,24.8,12.2,95,55,3.71,8.22
SUNSHINE COAST AIRPORT,30/09/2016,6.2,16.6, ,27.6,15.8,96,17,4.34,24.68
Totals:,,111,75, ,,,,,, 
