'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for October 2016,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 November 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/10/2016,5.9,0.2, ,28.7,7.1,94,15,3.15,24.87
SUNSHINE COAST AIRPORT,02/10/2016,5.3,0.0, ,25.8,7.9,95,23,3.42,24.37
SUNSHINE COAST AIRPORT,03/10/2016,2.8,0.0, ,28.0,18.1,94,59,3.79,6.80
SUNSHINE COAST AIRPORT,04/10/2016,4.9,4.4, ,24.6,10.5,96,28,3.17,24.46
SUNSHINE COAST AIRPORT,05/10/2016,6.6,0.2, ,29.2,8.4,96,15,4.01,25.45
SUNSHINE COAST AIRPORT,06/10/2016,5.1,0.0, ,25.2,8.0,96,28,3.04,25.59
SUNSHINE COAST AIRPORT,07/10/2016,4.8,0.0, ,25.4,9.3,94,46,3.26,25.68
SUNSHINE COAST AIRPORT,08/10/2016,5.5,0.0, ,28.1,11.3,98,41,3.90,25.78
SUNSHINE COAST AIRPORT,09/10/2016,4.5,0.0, ,25.8,16.8,86,59,6.04,18.16
SUNSHINE COAST AIRPORT,10/10/2016,5.4,0.0, ,25.3,19.8,84,48,4.56,25.25
SUNSHINE COAST AIRPORT,11/10/2016,5.8,0.0, ,29.7,14.7,96,49,5.30,25.06
SUNSHINE COAST AIRPORT,12/10/2016,3.9,1.0, ,23.9,17.3,92,53,4.22,16.48
SUNSHINE COAST AIRPORT,13/10/2016,6.2,3.8, ,25.0,14.5,97,28,6.55,26.05
SUNSHINE COAST AIRPORT,14/10/2016,5.6,4.4, ,23.2,14.8,93,39,7.86,24.76
SUNSHINE COAST AIRPORT,15/10/2016,5.4,0.0, ,23.5,14.8,84,37,4.94,24.14
SUNSHINE COAST AIRPORT,16/10/2016,5.0,0.0, ,25.8,9.2,96,48,3.99,26.53
SUNSHINE COAST AIRPORT,17/10/2016,5.5,0.0, ,27.0,13.3,93,47,5.67,23.96
SUNSHINE COAST AIRPORT,18/10/2016,5.4,1.0, ,24.7,11.5,96,32,3.80,27.14
SUNSHINE COAST AIRPORT,19/10/2016,5.3,0.0, ,26.8,11.6,98,37,2.95,27.27
SUNSHINE COAST AIRPORT,20/10/2016,4.4,0.0, ,26.1,15.5,92,59,3.79,21.86
SUNSHINE COAST AIRPORT,21/10/2016,5.4,0.0, ,26.5,15.9,94,51,4.99,26.29
SUNSHINE COAST AIRPORT,22/10/2016,5.4,0.0, ,27.3,15.0,94,50,4.97,25.06
SUNSHINE COAST AIRPORT,23/10/2016,2.5,5.2, ,21.2,13.8,94,48,2.97,6.73
SUNSHINE COAST AIRPORT,24/10/2016,5.2,0.2, ,24.2,14.0,94,43,4.33,26.26
SUNSHINE COAST AIRPORT,25/10/2016,5.5,0.2, ,26.3,11.2,97,43,4.53,26.70
SUNSHINE COAST AIRPORT,26/10/2016,5.9,0.0, ,26.9,13.1,95,44,5.20,27.66
SUNSHINE COAST AIRPORT,27/10/2016,6.1,0.0, ,27.8,13.3,93,37,4.99,25.70
SUNSHINE COAST AIRPORT,28/10/2016,5.9,0.0, ,27.7,14.5,95,46,4.98,27.97
SUNSHINE COAST AIRPORT,29/10/2016,6.1,0.0, ,26.9,20.0,78,49,4.74,26.70
SUNSHINE COAST AIRPORT,30/10/2016,5.8,0.0, ,27.6,15.2,94,49,4.52,27.95
SUNSHINE COAST AIRPORT,31/10/2016,4.8,0.0, ,28.7,17.1,93,52,5.09,17.23
Totals:,,161.9,20.6, ,,,,,, 
