'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for March 2017,,,,,,,,,,
Issued at 06:30 GMT on Saturday 01 April 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/03/2017,5.7,0.0, ,30.5,21.9,95,59,5.23,25.14
SUNSHINE COAST AIRPORT,02/03/2017,4.6,41.6, ,29.5,21.3,96,65,4.00,20.67
SUNSHINE COAST AIRPORT,03/03/2017,5.2,9.2, ,29.6,19.7,96,62,3.97,25.18
SUNSHINE COAST AIRPORT,04/03/2017,3.9,0.2, ,29.8,22.7,94,61,3.08,15.38
SUNSHINE COAST AIRPORT,05/03/2017,4.0,2.2, ,29.7,22.6,96,69,2.61,18.49
SUNSHINE COAST AIRPORT,06/03/2017,5.3,14.4, ,29.4,21.5,96,60,4.27,25.40
SUNSHINE COAST AIRPORT,07/03/2017,6.0,0.0, ,28.5,23.6,80,48,5.60,22.35
SUNSHINE COAST AIRPORT,08/03/2017,5.8,0.0, ,27.9,21.6,69,33,5.21,14.89
SUNSHINE COAST AIRPORT,09/03/2017,6.7,0.0, ,28.6,21.0,70,40,5.75,23.43
SUNSHINE COAST AIRPORT,10/03/2017,5.9,0.0, ,28.9,14.8,95,34,4.23,25.03
SUNSHINE COAST AIRPORT,11/03/2017,5.0,1.6, ,28.5,19.9,89,52,3.94,21.46
SUNSHINE COAST AIRPORT,12/03/2017,4.8,0.4, ,30.6,21.6,94,58,4.19,20.12
SUNSHINE COAST AIRPORT,13/03/2017,5.8,0.0, ,31.5,21.3,88,48,5.42,20.31
SUNSHINE COAST AIRPORT,14/03/2017,3.6,0.0, ,30.3,24.1,96,67,6.76,10.21
SUNSHINE COAST AIRPORT,15/03/2017,3.2,108.8, ,28.6,21.2,97,69,3.67,12.61
SUNSHINE COAST AIRPORT,16/03/2017, ,0.0, , ,21.2,100,72,3.41,18.27
SUNSHINE COAST AIRPORT,17/03/2017, , , ,30.3, ,97,59,3.28,23.30
SUNSHINE COAST AIRPORT,18/03/2017,5.5,1.6, ,31.6,20.8,97,46,4.50,20.73
SUNSHINE COAST AIRPORT,19/03/2017,4.2,3.8, ,30.4,22.2,97,62,3.22,18.47
SUNSHINE COAST AIRPORT,20/03/2017,2.3,3.8, ,28.9,23.9,94,73,4.48,5.42
SUNSHINE COAST AIRPORT,21/03/2017,4.9,3.2, ,30.3,23.7,91,58,5.23,18.86
SUNSHINE COAST AIRPORT,22/03/2017,2.9,30.0, ,28.8,22.3,97,68,3.12,10.78
SUNSHINE COAST AIRPORT,23/03/2017,2.4,3.0, ,27.3,22.7,96,72,2.23,9.25
SUNSHINE COAST AIRPORT,24/03/2017,4.1,0.2, ,29.0,21.8,97,64,3.04,19.20
SUNSHINE COAST AIRPORT,25/03/2017,3.5,8.2, ,27.9,22.3,97,62,5.85,11.47
SUNSHINE COAST AIRPORT,26/03/2017,4.5,0.2, ,28.5,19.8,95,59,3.11,22.37
SUNSHINE COAST AIRPORT,27/03/2017,4.4,0.0, ,29.1,20.9,94,60,4.29,19.23
SUNSHINE COAST AIRPORT,28/03/2017,4.2,0.0, ,29.5,21.5,93,65,3.73,19.38
SUNSHINE COAST AIRPORT,29/03/2017,3.2,0.4, ,28.2,25.2,95,74,4.31,13.55
SUNSHINE COAST AIRPORT,30/03/2017,1.3,55.2, ,26.8,24.7,95,89,9.93,1.08
SUNSHINE COAST AIRPORT,31/03/2017,5.0,39.8, ,28.9,21.2,94,48,5.53,18.73
Totals:,,127.9,327.8, ,,,,,, 
