'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for June 2017,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 July 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/06/2017,4.1,0.0, ,21.4,7.9,63,37,5.77,14.66
SUNSHINE COAST AIRPORT,02/06/2017,3.5,0.0, ,22.1,12.1,81,41,4.70,14.62
SUNSHINE COAST AIRPORT,03/06/2017,3.4,0.0, ,22.4,10.5,81,44,4.90,14.56
SUNSHINE COAST AIRPORT,04/06/2017,3.1,0.0, ,22.4,13.6,89,49,4.66,14.45
SUNSHINE COAST AIRPORT,05/06/2017,2.8,0.0, ,22.2,11.6,96,45,3.79,14.49
SUNSHINE COAST AIRPORT,06/06/2017,2.9,0.0, ,23.2,9.9,97,29,2.82,14.04
SUNSHINE COAST AIRPORT,07/06/2017,2.9,0.0, ,19.6,6.2,88,23,3.00,14.42
SUNSHINE COAST AIRPORT,08/06/2017,2.9,0.0, ,20.4,6.3,88,36,3.46,14.38
SUNSHINE COAST AIRPORT,09/06/2017,2.9,0.0, ,22.9,6.7,93,49,4.06,13.92
SUNSHINE COAST AIRPORT,10/06/2017,2.7,0.0, ,22.3,15.3,90,60,5.21,12.56
SUNSHINE COAST AIRPORT,11/06/2017,2.3,0.2, ,23.3,15.8,95,64,3.43,12.63
SUNSHINE COAST AIRPORT,12/06/2017,2.6,0.2, ,23.5,14.8,94,53,3.45,12.61
SUNSHINE COAST AIRPORT,13/06/2017,2.1,0.2, ,18.7,14.6,93,71,7.63,9.17
SUNSHINE COAST AIRPORT,14/06/2017,2.6,14.0, ,23.2,15.4,96,63,6.39,10.57
SUNSHINE COAST AIRPORT,15/06/2017,2.3,13.6, ,22.2,16.1,96,71,7.16,10.52
SUNSHINE COAST AIRPORT,16/06/2017,2.2,0.0, ,23.0,16.8,96,71,5.81,9.61
SUNSHINE COAST AIRPORT,17/06/2017,2.2,1.8, ,23.8,16.9,97,68,3.86,11.88
SUNSHINE COAST AIRPORT,18/06/2017,2.8,0.2, ,23.4,14.4,94,51,3.76,14.04
SUNSHINE COAST AIRPORT,19/06/2017,3.6,0.2, ,23.3,13.3,76,52,6.05,13.46
SUNSHINE COAST AIRPORT,20/06/2017,3.8,0.0, ,22.8,16.5,79,48,6.44,14.17
SUNSHINE COAST AIRPORT,21/06/2017,3.2,0.0, ,22.7,12.5,86,44,4.64,13.54
SUNSHINE COAST AIRPORT,22/06/2017,3.0,0.0, ,22.8,13.0,89,54,4.90,13.98
SUNSHINE COAST AIRPORT,23/06/2017,2.4,0.0, ,22.6,8.2,97,46,2.61,14.10
SUNSHINE COAST AIRPORT,24/06/2017,3.2,0.0, ,24.9,10.0,97,26,2.98,13.71
SUNSHINE COAST AIRPORT,25/06/2017,2.3,0.2, ,22.8,8.3,97,53,2.48,14.21
SUNSHINE COAST AIRPORT,26/06/2017,2.5,0.0, ,24.2,10.2,98,47,2.56,14.23
SUNSHINE COAST AIRPORT,27/06/2017,2.0,0.2, ,22.2,10.3,98,59,2.65,11.69
SUNSHINE COAST AIRPORT,28/06/2017,2.4,0.0, ,24.0,12.5,97,52,2.73,11.78
SUNSHINE COAST AIRPORT,29/06/2017,2.9,0.0, ,24.8,13.1,96,53,3.90,13.90
SUNSHINE COAST AIRPORT,30/06/2017,2.8,4.4, ,22.1,15.4,97,40,3.52,13.60
Totals:,,84.4,35.2, ,,,,,, 
