'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for September 2017,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 October 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/09/2017,3.9,0.0, ,21.6,11.5,86,41,3.99,19.79
SUNSHINE COAST AIRPORT,02/09/2017,3.3,0.0, ,22.8,12.6,93,54,3.14,17.60
SUNSHINE COAST AIRPORT,03/09/2017,4.2,0.0, ,25.7,10.6,97,43,4.28,19.05
SUNSHINE COAST AIRPORT,04/09/2017,5.9,0.0, ,31.1,13.8,92,29,4.65,20.06
SUNSHINE COAST AIRPORT,05/09/2017,4.4,1.6, ,25.4,12.8,97,27,3.04,20.59
SUNSHINE COAST AIRPORT,06/09/2017,4.8,0.0, ,25.1,3.7,96,13,3.17,20.71
SUNSHINE COAST AIRPORT,07/09/2017,4.6,0.0, ,25.1,4.1,89,18,2.96,20.81
SUNSHINE COAST AIRPORT,08/09/2017,5.5,0.0, ,25.8,6.4,94,16,4.31,20.94
SUNSHINE COAST AIRPORT,09/09/2017,4.9,0.0, ,24.3,3.6,84,16,3.56,20.23
SUNSHINE COAST AIRPORT,10/09/2017,3.8,0.0, ,22.7,9.7,92,46,3.51,20.58
SUNSHINE COAST AIRPORT,11/09/2017,4.6,0.0, ,25.4,10.3,96,42,4.98,20.59
SUNSHINE COAST AIRPORT,12/09/2017,5.0,0.0, ,27.8,12.3,96,40,4.99,19.78
SUNSHINE COAST AIRPORT,13/09/2017,5.9,0.0, ,28.9,14.8,95,36,6.09,21.48
SUNSHINE COAST AIRPORT,14/09/2017,5.9,0.0, ,24.7,17.6,89,18,6.06,19.21
SUNSHINE COAST AIRPORT,15/09/2017,4.7,0.0, ,21.6,6.1,85,17,3.73,21.77
SUNSHINE COAST AIRPORT,16/09/2017,5.2,0.0, ,24.8,7.0,94,27,4.68,21.94
SUNSHINE COAST AIRPORT,17/09/2017,4.0,0.0, ,24.6,9.4,96,53,5.30,18.00
SUNSHINE COAST AIRPORT,18/09/2017,4.6,0.0, ,23.5,18.9,93,41,4.43,21.04
SUNSHINE COAST AIRPORT,19/09/2017,5.2,0.0, ,26.9,10.0,96,38,4.99,21.82
SUNSHINE COAST AIRPORT,20/09/2017,4.3,0.0, ,24.7,14.5,87,56,4.64,21.42
SUNSHINE COAST AIRPORT,21/09/2017, ,0.0, , ,18.6,79,54,4.97,18.11
SUNSHINE COAST AIRPORT,22/09/2017, , , ,26.7, , , , ,20.01
SUNSHINE COAST AIRPORT,23/09/2017,6.2,1.4, ,29.5,15.4,91,37,5.71,23.09
SUNSHINE COAST AIRPORT,24/09/2017,7.2,0.0, ,31.5,16.0,92,27,5.99,23.12
SUNSHINE COAST AIRPORT,25/09/2017,7.4,0.0, ,32.6,17.7,93,25,5.72,23.28
SUNSHINE COAST AIRPORT,26/09/2017,5.6,0.0, ,30.1,16.9,94,48,5.01,22.97
SUNSHINE COAST AIRPORT,27/09/2017,3.5,0.0, ,27.0,20.1,92,69,4.30,14.97
SUNSHINE COAST AIRPORT,28/09/2017,7.9,0.0, ,35.7,19.0,93,24,5.18,23.79
SUNSHINE COAST AIRPORT,29/09/2017,6.3,0.0, ,33.0,18.7,93,24,3.24,23.97
SUNSHINE COAST AIRPORT,30/09/2017,6.4,0.0, ,32.3,15.6,94,19,3.33,24.07
Totals:,,145.2,3, ,,,,,, 
