'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for November 2017,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 December 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/11/2017,4.0,2.8, ,26.1,18.0,92,57,3.91,16.86
SUNSHINE COAST AIRPORT,02/11/2017,5.8,1.2, ,26.3,13.9,97,35,3.51,28.77
SUNSHINE COAST AIRPORT,03/11/2017,5.4,0.0, ,27.6,16.1,96,52,3.34,27.51
SUNSHINE COAST AIRPORT,04/11/2017,5.7,0.0, ,28.3,16.1,96,56,4.09,28.97
SUNSHINE COAST AIRPORT,05/11/2017,5.5,0.0, ,27.1,17.3,96,53,3.17,28.32
SUNSHINE COAST AIRPORT,06/11/2017,4.5,0.0, ,28.0,19.4,90,61,5.09,17.42
SUNSHINE COAST AIRPORT,07/11/2017,5.6,0.2, ,29.0,19.5,85,43,5.80,16.41
SUNSHINE COAST AIRPORT,08/11/2017,4.4,6.6, ,24.2,17.9,94,53,7.43,15.97
SUNSHINE COAST AIRPORT,09/11/2017,6.1,4.8, ,24.6,16.2,81,44,7.90,24.32
SUNSHINE COAST AIRPORT,10/11/2017,6.0,0.4, ,25.0,16.6,87,43,7.59,24.21
SUNSHINE COAST AIRPORT,11/11/2017,6.5,0.0, ,25.9,17.1,86,42,6.74,28.76
SUNSHINE COAST AIRPORT,12/11/2017,4.5,4.6, ,24.0,16.5,87,53,6.17,17.43
SUNSHINE COAST AIRPORT,13/11/2017,5.9,1.8, ,25.5,15.9,76,45,5.45,25.53
SUNSHINE COAST AIRPORT,14/11/2017,5.9,0.0, ,26.2,14.1,90,43,4.04,29.48
SUNSHINE COAST AIRPORT,15/11/2017,5.5,1.2, ,26.0,14.4,94,50,3.49,28.98
SUNSHINE COAST AIRPORT,16/11/2017,5.3,0.0, ,26.6,14.2,96,49,3.48,26.56
SUNSHINE COAST AIRPORT,17/11/2017,5.7,0.0, ,26.3,14.7,94,45,3.83,28.87
SUNSHINE COAST AIRPORT,18/11/2017,2.0,8.8, ,21.9,18.3,96,57,2.93,4.24
SUNSHINE COAST AIRPORT,19/11/2017,5.2,43.2, ,25.8,15.5,96,52,4.65,25.37
SUNSHINE COAST AIRPORT,20/11/2017,5.0,9.4, ,25.3,17.1,94,55,5.96,22.66
SUNSHINE COAST AIRPORT,21/11/2017,5.3,9.4, ,25.2,17.5,94,55,6.29,25.67
SUNSHINE COAST AIRPORT,22/11/2017,2.4,13.6, ,23.2,17.2,95,62,4.29,6.18
SUNSHINE COAST AIRPORT,23/11/2017,5.5,22.0, ,26.1,17.6,93,56,4.58,28.43
SUNSHINE COAST AIRPORT,24/11/2017,5.6,1.4, ,27.1,18.5,94,62,5.20,29.28
SUNSHINE COAST AIRPORT,25/11/2017,5.4,0.0, ,27.8,20.4,88,63,5.93,24.41
SUNSHINE COAST AIRPORT,26/11/2017, ,0.0, ,28.1,20.7,92,61,5.33, 
SUNSHINE COAST AIRPORT,27/11/2017,5.6,1.4, ,26.9,21.6,92,63,4.14,28.02
SUNSHINE COAST AIRPORT,28/11/2017,5.3,0.0, ,28.1,20.2,91,64,4.16,25.59
SUNSHINE COAST AIRPORT,29/11/2017,1.3,15.0, ,24.0,21.9,95,83,3.69,2.15
SUNSHINE COAST AIRPORT,30/11/2017,2.5,31.4, ,26.4,20.9,94,80,5.07,9.28
Totals:,,143.4,179.2, ,,,,,, 
