'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for December 2017,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 27 December 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/12/2017,4.8,21.4, ,27.5,21.2,91,69,5.30,22.59
SUNSHINE COAST AIRPORT,02/12/2017,5.4,4.2, ,29.0,22.2,94,65,5.77,24.97
SUNSHINE COAST AIRPORT,03/12/2017,3.3,3.0, ,28.1,22.1,96,68,3.34,12.84
SUNSHINE COAST AIRPORT,04/12/2017,2.4,16.6, ,25.8,19.5,97,64,3.11,6.78
SUNSHINE COAST AIRPORT,05/12/2017,3.9,60.6, ,26.5,19.5,95,60,4.08,15.51
SUNSHINE COAST AIRPORT,06/12/2017,6.7,8.0, ,29.7,15.5,97,33,3.45,30.22
SUNSHINE COAST AIRPORT,07/12/2017,6.6,0.0, ,29.8,15.7,96,32,3.17,29.91
SUNSHINE COAST AIRPORT,08/12/2017,5.3,0.0, ,30.0,20.1,95,64,4.31,24.77
SUNSHINE COAST AIRPORT,09/12/2017,6.4,7.4, ,28.8,17.7,97,53,5.30,31.04
SUNSHINE COAST AIRPORT,10/12/2017,5.8,92.0, ,27.9,18.4,96,59,6.07,28.77
SUNSHINE COAST AIRPORT,11/12/2017,5.4,0.2, ,27.3,20.1,86,62,5.89,23.77
SUNSHINE COAST AIRPORT,12/12/2017,4.6,2.4, ,27.1,19.2,84,59,6.56,15.35
SUNSHINE COAST AIRPORT,13/12/2017,6.6,0.6, ,27.8,20.4,79,53,5.04,30.30
SUNSHINE COAST AIRPORT,14/12/2017,6.1,0.0, ,27.6,17.7,94,51,3.53,30.91
SUNSHINE COAST AIRPORT,15/12/2017,6.2,0.0, ,28.7,18.3,94,55,3.59,31.19
SUNSHINE COAST AIRPORT,16/12/2017,6.6,0.0, ,29.3,22.1,82,59,4.62,30.20
SUNSHINE COAST AIRPORT,17/12/2017,6.2,0.0, ,28.7,19.6,94,53,3.91,30.05
SUNSHINE COAST AIRPORT,18/12/2017,6.0,0.0, ,28.4,20.5,91,53,3.66,28.61
SUNSHINE COAST AIRPORT,19/12/2017,6.3,0.0, ,29.7,17.7,96,52,4.06,29.71
SUNSHINE COAST AIRPORT,20/12/2017,6.6,0.0, ,29.9,20.0,94,55,5.36,30.35
SUNSHINE COAST AIRPORT,21/12/2017,6.3,0.0, ,30.7,19.8,94,55,4.39,28.22
SUNSHINE COAST AIRPORT,22/12/2017,5.5,0.0, ,30.3,20.9,94,58,3.65,24.55
SUNSHINE COAST AIRPORT,23/12/2017,6.1,0.0, ,30.3,22.2,94,54,3.66,27.18
SUNSHINE COAST AIRPORT,24/12/2017,6.7,0.0, ,30.5,18.9,96,52,4.79,31.23
SUNSHINE COAST AIRPORT,25/12/2017,7.1,0.0, ,31.5,20.2,94,47,4.85,30.85
SUNSHINE COAST AIRPORT,26/12/2017,5.7,7.4, ,28.6,19.9,95,66,4.08,29.29
Totals:,,148.6,223.8, ,,,,,, 
