'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for February 2018,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 March 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/02/2018,1.7,87.4, ,23.8,21.3,96,79,6.46,3.33
SUNSHINE COAST AIRPORT,02/02/2018,1.9,18.4, ,23.7,19.8,96,65,4.85,0.99
SUNSHINE COAST AIRPORT,03/02/2018,1.4,17.0, ,25.5,18.6,96,89,5.75,3.66
SUNSHINE COAST AIRPORT,04/02/2018,4.9,52.0, ,27.4,18.6,95,55,7.81,17.24
SUNSHINE COAST AIRPORT,05/02/2018,5.9,5.2, ,27.6,19.5,91,47,6.19,23.37
SUNSHINE COAST AIRPORT,06/02/2018,6.2,10.6, ,27.9,19.0,93,45,5.87,26.71
SUNSHINE COAST AIRPORT,07/02/2018, ,0.2, , ,19.7,71,46,6.57,28.45
SUNSHINE COAST AIRPORT,08/02/2018, , , ,27.3, ,91,53,5.24,19.43
SUNSHINE COAST AIRPORT,09/02/2018,5.7,1.2, ,27.7,18.2,93,55,3.59,28.81
SUNSHINE COAST AIRPORT,10/02/2018,5.9,0.0, ,29.4,18.0,95,52,3.68,28.71
SUNSHINE COAST AIRPORT,11/02/2018,6.1,6.6, ,30.9,20.6,96,61,5.30,28.21
SUNSHINE COAST AIRPORT,12/02/2018,5.8,0.2, ,31.0,20.9,94,66,4.19,27.76
SUNSHINE COAST AIRPORT,13/02/2018,5.3,0.0, ,31.0,23.4,95,66,4.59,23.48
SUNSHINE COAST AIRPORT,14/02/2018,6.1,0.4, ,31.3,23.2,92,66,5.16,28.31
SUNSHINE COAST AIRPORT,15/02/2018,5.2,0.0, ,31.5,21.1,92,56,3.08,22.39
SUNSHINE COAST AIRPORT,16/02/2018,5.4,0.0, ,31.1,24.7,96,66,4.42,24.40
SUNSHINE COAST AIRPORT,17/02/2018,5.3,4.8, ,29.8,21.1,95,61,4.17,24.51
SUNSHINE COAST AIRPORT,18/02/2018,6.1,0.0, ,30.5,21.8,94,51,4.68,26.06
SUNSHINE COAST AIRPORT,19/02/2018,5.8,0.0, ,29.5,20.6,93,52,3.89,26.72
SUNSHINE COAST AIRPORT,20/02/2018,4.1,0.0, ,28.1,23.5,93,63,6.50,13.33
SUNSHINE COAST AIRPORT,21/02/2018,3.1,26.4, ,24.9,21.4,94,63,10.11,3.91
SUNSHINE COAST AIRPORT,22/02/2018,2.2,26.0, ,26.8,22.1,96,74,8.18,2.83
SUNSHINE COAST AIRPORT,23/02/2018,2.1,48.2, ,27.7,23.1,97,80,5.58,6.53
SUNSHINE COAST AIRPORT,24/02/2018,2.9,46.6, ,28.0,22.2,97,81,2.54,13.86
SUNSHINE COAST AIRPORT,25/02/2018,4.3,6.8, ,29.9,22.2,97,75,2.97,20.92
SUNSHINE COAST AIRPORT,26/02/2018,5.1,14.0, ,31.1,22.3,97,62,3.69,23.01
SUNSHINE COAST AIRPORT,27/02/2018,3.0,6.0, ,27.2,22.3,95,67,6.61,7.66
SUNSHINE COAST AIRPORT,28/02/2018,4.7,2.4, ,28.2,21.4,94,49,3.91,18.64
Totals:,,116.2,380.4, ,,,,,, 
