'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for March 2018,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 April 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/03/2018,5.4,0.2, ,30.8,18.8,97,54,2.35,26.40
SUNSHINE COAST AIRPORT,02/03/2018,3.8,0.0, ,29.5,23.0,96,60,3.92,13.89
SUNSHINE COAST AIRPORT,03/03/2018,5.1,0.2, ,30.8,23.5,92,62,3.56,22.65
SUNSHINE COAST AIRPORT,04/03/2018,5.6,0.0, ,33.2,22.7,95,51,3.67,22.30
SUNSHINE COAST AIRPORT,05/03/2018,2.7,9.4, ,27.7,22.3,95,73,2.44,10.91
SUNSHINE COAST AIRPORT,06/03/2018,2.7,10.4, ,27.0,22.9,95,65,6.01,4.75
SUNSHINE COAST AIRPORT,07/03/2018,4.5,12.0, ,28.0,19.6,94,60,9.25,14.09
SUNSHINE COAST AIRPORT,08/03/2018,4.5,11.8, ,27.0,20.6,93,58,9.27,13.40
SUNSHINE COAST AIRPORT,09/03/2018,4.7,9.0, ,27.0,19.8,92,55,8.22,15.03
SUNSHINE COAST AIRPORT,10/03/2018,5.4,6.2, ,27.4,19.9,93,47,8.00,17.47
SUNSHINE COAST AIRPORT,11/03/2018,4.5,9.2, ,26.8,18.6,97,54,6.11,17.50
SUNSHINE COAST AIRPORT,12/03/2018,4.5,5.6, ,26.6,18.9,90,60,5.76,19.57
SUNSHINE COAST AIRPORT,13/03/2018,3.3,1.4, ,26.5,20.4,94,68,5.67,11.89
SUNSHINE COAST AIRPORT,14/03/2018,5.7,19.4, ,28.1,21.4,93,50,8.96,19.93
SUNSHINE COAST AIRPORT,15/03/2018,4.5,5.6, ,28.0,20.1,94,59,6.11,17.45
SUNSHINE COAST AIRPORT,16/03/2018,5.2,0.8, ,28.5,18.6,96,54,4.94,24.20
SUNSHINE COAST AIRPORT,17/03/2018,5.0,0.0, ,28.6,20.2,93,58,4.64,23.31
SUNSHINE COAST AIRPORT,18/03/2018,4.4,0.2, ,29.0,21.8,94,64,4.30,19.62
SUNSHINE COAST AIRPORT,19/03/2018,4.2,0.0, ,29.3,21.9,100,62,4.02,18.90
SUNSHINE COAST AIRPORT,20/03/2018,5.2,0.8, ,28.5,24.4,96,54,5.93,22.01
SUNSHINE COAST AIRPORT,21/03/2018,3.8,4.2, ,26.9,22.0,94,67,8.04,14.19
SUNSHINE COAST AIRPORT,22/03/2018,5.3,21.8, ,27.7,21.7,83,58,7.88,19.18
SUNSHINE COAST AIRPORT,23/03/2018,4.9,1.4, ,28.3,21.8,93,57,6.73,19.56
SUNSHINE COAST AIRPORT,24/03/2018,4.2,5.4, ,27.2,21.4,78,58,5.57,12.25
SUNSHINE COAST AIRPORT,25/03/2018,3.3,0.8, ,26.8,19.9,95,65,3.57,13.91
SUNSHINE COAST AIRPORT,26/03/2018,3.4,2.8, ,28.8,21.7,97,70,1.76,16.99
SUNSHINE COAST AIRPORT,27/03/2018,2.4,0.0, ,27.6,23.7,96,76,4.25,8.19
SUNSHINE COAST AIRPORT,28/03/2018,5.1,1.8, ,29.4,21.7,100,55,7.22,20.45
SUNSHINE COAST AIRPORT,29/03/2018,3.3,1.6, ,27.4,21.9,96,72,7.66,12.74
SUNSHINE COAST AIRPORT,30/03/2018,3.6,3.4, ,28.9,22.7,100,69,6.31,14.54
SUNSHINE COAST AIRPORT,31/03/2018,5.1,0.0, ,28.7,24.3,92,60,7.10,20.58
Totals:,,135.3,145.4, ,,,,,, 
