'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for April 2018,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 May 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,01/04/2018,4.1,0.8, ,28.3,22.3,100,63,5.42,17.92
SUNSHINE COAST AIRPORT,02/04/2018,4.3,0.0, ,28.5,24.6,86,60,4.72,16.28
SUNSHINE COAST AIRPORT,03/04/2018,5.0,6.2, ,27.7,20.7,91,51,5.92,20.06
SUNSHINE COAST AIRPORT,04/04/2018,3.5,5.2, ,26.7,21.3,93,63,8.54,8.29
SUNSHINE COAST AIRPORT,05/04/2018,4.8,6.6, ,27.2,21.4,74,59,8.50,11.49
SUNSHINE COAST AIRPORT,06/04/2018,5.7,0.4, ,27.7,21.6,77,51,7.31,19.43
SUNSHINE COAST AIRPORT,07/04/2018,5.4,0.0, ,27.7,22.6,75,54,6.99,18.16
SUNSHINE COAST AIRPORT,08/04/2018,4.0,0.2, ,27.9,19.4,90,55,4.25,16.03
SUNSHINE COAST AIRPORT,09/04/2018,3.8,0.0, ,27.1,19.1,97,56,2.89,19.07
SUNSHINE COAST AIRPORT,10/04/2018,4.1,0.0, ,27.4,15.5,96,58,5.05,19.25
SUNSHINE COAST AIRPORT,11/04/2018,5.8,2.4, ,27.0,21.2,76,46,7.14,19.95
SUNSHINE COAST AIRPORT,12/04/2018,5.0,0.2, ,28.1,21.4,81,40,4.84,16.19
SUNSHINE COAST AIRPORT,13/04/2018,4.1,0.0, ,28.8,18.5,95,49,3.83,16.54
SUNSHINE COAST AIRPORT,14/04/2018,3.9,0.2, ,29.3,19.8,91,48,3.62,13.46
SUNSHINE COAST AIRPORT,15/04/2018,4.8,0.2, ,31.4,19.6,95,50,4.24,19.61
SUNSHINE COAST AIRPORT,16/04/2018,4.0,0.2, ,29.4,17.2,97,51,2.81,19.47
SUNSHINE COAST AIRPORT,17/04/2018,4.5,0.2, ,28.8,18.0,97,43,3.82,19.30
SUNSHINE COAST AIRPORT,18/04/2018,2.9,4.2, ,25.3,20.8,100,63,6.15,10.07
SUNSHINE COAST AIRPORT,19/04/2018,3.2,17.0, ,26.8,19.1,98,64,4.36,14.57
SUNSHINE COAST AIRPORT,20/04/2018,2.5,8.0, ,26.5,19.5,98,70,3.35,10.87
SUNSHINE COAST AIRPORT,21/04/2018,3.1,5.2, ,26.2,18.7,97,64,4.42,13.45
SUNSHINE COAST AIRPORT,22/04/2018,3.9,0.2, ,26.3,18.2,86,60,5.92,14.80
SUNSHINE COAST AIRPORT,23/04/2018,4.5,0.4, ,26.5,19.0,90,48,5.32,18.34
SUNSHINE COAST AIRPORT,24/04/2018,3.7,0.0, ,25.4,15.4,93,47,3.21,18.36
SUNSHINE COAST AIRPORT,25/04/2018,3.2,0.0, ,25.6,16.5,96,57,2.50,17.46
SUNSHINE COAST AIRPORT,26/04/2018,3.1,0.0, ,26.0,15.8,97,61,2.16,18.09
SUNSHINE COAST AIRPORT,27/04/2018,4.2,0.0, ,26.4,16.4,97,50,6.08,16.77
SUNSHINE COAST AIRPORT,28/04/2018,3.9,0.0, ,24.9,17.7,91,48,6.21,12.81
SUNSHINE COAST AIRPORT,29/04/2018,4.1,1.0, ,24.7,17.2,84,51,5.93,16.41
SUNSHINE COAST AIRPORT,30/04/2018,4.1,0.0, ,24.2,16.0,87,51,6.09,17.09
Totals:,,123.2,58.8, ,,,,,, 
